country,gender,direct_correlation,indirect_correlation,same_correlation
Nigeria,male,-0.7124708772026317,-0.007534057103540725,True
Nigeria,female,-0.5379032543256734,-0.00469785810711913,True
Nigeria,boy,-0.37806837496575846,-0.059989412603796276,True
Nigeria,girl,-0.5768695014552994,-0.100884164072243,True
Nigeria,man,-0.9057974350564489,-0.06166243981511207,True
Nigeria,woman,-0.602561721211686,-0.01608723081285037,True
Ethiopia,male,-0.3202743787684133,-0.0581047471305558,True
Ethiopia,female,0.1267173831293262,0.14988836306065742,True
Ethiopia,boy,-0.16680266292750393,-0.036385290306155504,True
Ethiopia,girl,-0.25597096392298435,0.07483297984654318,False
Ethiopia,man,-0.26462517967981963,-0.02098915902453203,True
Ethiopia,woman,0.24206685421258428,0.1767405726014073,True
Egypt,male,-0.10220993217411112,-0.06156422738611485,True
Egypt,female,0.4081495739887113,0.170386035292003,True
Egypt,boy,0.5647544674667516,0.020036848888368534,True
Egypt,girl,0.5761004744501057,0.16982912562036076,True
Egypt,man,0.07820854658818165,0.01903081234639186,True
Egypt,woman,0.3698203668122227,0.20705719785223037,True
Congo,male,-0.4136979762965085,-0.021862950803048096,True
Congo,female,-0.178114946083351,0.07511788917981983,False
Congo,boy,-0.15082207838656356,-0.07973595904172393,True
Congo,girl,-0.327628422965387,-0.049703962643396576,True
Congo,man,-0.4887954316937413,-0.04595399389898167,True
Congo,woman,-0.14033398353519924,0.08198241993561706,False
Tanzania,male,-0.3283128739385648,-0.03877778638922435,True
Tanzania,female,-0.5507983947410063,0.060265524857149866,False
Tanzania,boy,-0.42318545785867584,-0.06847225335402249,True
Tanzania,girl,-0.6786505529707068,-0.02539683258047336,True
Tanzania,man,-0.8712111694766171,-0.050687217310926895,True
Tanzania,woman,-0.742870876938993,0.06529759596881476,False
South Africa,male,-0.31320137630975536,-0.1457122748315668,True
South Africa,female,-0.5121281539333441,0.05145117602918986,False
South Africa,boy,-0.7872332618155998,-0.23646265274023662,True
South Africa,girl,-0.9274220539946717,-0.06743243619948493,True
South Africa,man,-1.1837246123565428,-0.22580166571310512,True
South Africa,woman,-1.0675411173996274,0.013666411313857724,False
Kenya,male,-0.9196460177967188,-0.1355135751278157,True
Kenya,female,-0.796125053570248,0.08451220464459458,False
Kenya,boy,-0.46685275995507125,-0.19523016863677717,True
Kenya,girl,-0.6618134152851152,-0.045947798212704005,True
Kenya,man,-0.9630980403259393,-0.18797790269275755,True
Kenya,woman,-0.8329212803517833,0.07046487947667447,False
Uganda,male,-0.5917445481446282,-0.07365404997698806,True
Uganda,female,-0.411035672690658,0.05306313822066169,False
Uganda,boy,-0.37180754189066095,-0.12075423758317332,True
Uganda,girl,-0.4852777428823413,-0.04965842550028716,True
Uganda,man,-0.9068490861231978,-0.11885497994482842,True
Uganda,woman,-0.49880809160036493,0.0415186634199033,False
Sudan,male,-0.34359635827715346,-0.07467405556193103,True
Sudan,female,0.23577614906510838,0.12177932391701145,True
Sudan,boy,0.08683954469930998,-0.05947368394948198,False
Sudan,girl,0.21143469629242856,0.08038904546882886,True
Sudan,man,-0.2856048737770462,-0.0462598142302718,True
Sudan,woman,0.2501312934446975,0.1399690832621854,True
Algeria,male,-1.1013505604106346,-0.19424130107605475,True
Algeria,female,-0.8716145742449627,0.2312206302053767,False
