country,occupation,direct_correlation,indirect_correlation,same_correlation
Nigeria,accountant,0.13570565182201458,0.10124785464962921,True
Nigeria,architect,-0.6325694533753959,0.09422762902076831,False
Nigeria,artist,-0.24161218757753683,0.08316926589722158,False
Nigeria,attorney,-0.48662102391217715,0.0010645433048864306,False
Nigeria,banker,0.24872493506701088,0.1714521639896084,True
Nigeria,bartender,-1.0804963360437652,-0.31271923984181615,True
Nigeria,broadcaster,0.8889214146396808,0.0857825703699678,True
Nigeria,builder,0.11753989927715618,0.11322283559022416,True
Nigeria,businessman,0.5383892540417979,0.0763179845663681,True
Nigeria,butcher,-1.0417480328222706,0.12086085788074577,False
Nigeria,captain,-0.6989134306835616,0.0150316242541638,False
Nigeria,carpenter,-0.189043422683808,0.03732891474652463,False
Nigeria,chef,-0.055087369242031246,-0.1583690090189549,True
Nigeria,coach,-0.023853087860089918,-0.049691657953451936,True
Nigeria,cook,-0.49451245140927796,0.06038205457336553,False
Nigeria,dancer,-0.16993762419913744,-0.11503201904583919,True
Nigeria,designer,-0.34737113745891285,-0.08655781272589157,True
Nigeria,developer,-0.3752697617426233,-0.035503758192100644,True
Nigeria,doctor,-0.06455680948775701,0.14935313588711485,False
Nigeria,economist,0.2004861885245037,0.13989740326823136,True
Nigeria,editor,-0.4928304909676368,-0.03524637103630055,True
Nigeria,engineer,-0.13212310946815328,0.07260507476788994,False
Nigeria,farmer,0.15533718617964143,0.12550420434027637,True
Nigeria,filmmaker,0.3512154453272328,0.0675808709273685,True
Nigeria,housekeeper,-1.5715259689605283,-0.026121386249014635,True
Nigeria,journalist,-0.0477658506870096,0.11462824866084952,False
Nigeria,judge,-0.15602981530635784,0.1443628019005518,False
Nigeria,lawyer,0.3285322726576946,0.09119347933507582,True
Nigeria,librarian,-1.3244138365359857,-0.00878861309608361,True
Nigeria,magician,-0.524689587436918,0.034425596955121075,False
Nigeria,mechanic,-0.762681505352241,-0.007114737786253616,True
Nigeria,musician,0.668157945088136,-0.02097934490747188,False
Nigeria,nurse,0.03440350149398949,-0.07338576723731087,False
Nigeria,painter,-0.7163512081538991,0.12652101136388996,False
Nigeria,philosopher,-0.9461256721910325,0.1085482947241122,False
Nigeria,photographer,-0.271330001560855,-0.04689834877491873,True
Nigeria,pilot,-0.15323979621318612,0.002681991782606507,False
Nigeria,policeman,-0.41768758365506925,0.09692808698451015,False
Nigeria,politician,0.2491832021026797,0.08498032888849132,True
Nigeria,professor,-0.5380318587563016,0.05776102254171907,False
Nigeria,programmer,-0.43140654027963743,-0.15656936990053616,True
Nigeria,psychologist,-0.34346431848563275,0.0006855736387084711,False
Nigeria,scientist,-1.0052853196935707,0.18709321542885834,False
Nigeria,scholar,-0.02505715489314076,0.16875817412334274,False
Nigeria,secretary,-0.8398641781331816,0.011607165918298735,False
Nigeria,server,-1.0332893063328232,-0.20756349850136993,True
Nigeria,singer,0.32311041074526503,0.013246036529169322,True
Nigeria,soldier,-1.3214020376334379,-0.011033412380590026,True
Nigeria,surgeon,-0.5589559487601528,0.11497884794784495,False
Nigeria,teacher,-0.07245910934339492,0.09462651961085901,False
Nigeria,therapist,-0.7282895123349971,-0.19085528975549865,True
Nigeria,translator,-0.7310672974762293,0.1468149793972613,False
Nigeria,waiter,-1.1984821733574118,-0.020394233349330194,True
Nigeria,waitress,-1.3794240182147723,-0.14400705741376402,True
Nigeria,warrior,-1.3092056060233916,-0.14210813377773548,True
Nigeria,writer,-0.27933945552711525,-0.02197704702575816,True
Ethiopia,accountant,-0.5582057382853888,-0.12602431627184077,True
Ethiopia,architect,-0.8800935771289906,0.015470792939245382,False
Ethiopia,artist,-0.9018547519439593,0.12589851750927047,False
Ethiopia,attorney,-1.105813200852286,-0.2115308309140523,True
Ethiopia,banker,0.011234141468866704,0.023370418965131527,True
Ethiopia,bartender,-1.7772624936494237,-0.48768633506148107,True
Ethiopia,broadcaster,-0.19765096162004422,-0.13960671593030627,True
Ethiopia,builder,-0.4602639051068479,-0.13723343321231782,True
Ethiopia,businessman,-0.036467862867702726,-0.08843188655377855,True
Ethiopia,butcher,-0.36741471353984345,0.04120468306992784,False
Ethiopia,captain,-0.7879503448042195,-0.022357370217101314,True
Ethiopia,carpenter,0.2159915560921742,-0.1049648465272284,False
Ethiopia,chef,-0.38456306300245774,-0.28892118877502665,True
Ethiopia,coach,-0.559331226520429,-0.21372215370427364,True
Ethiopia,cook,-0.4812600836312404,0.14733868607326003,False
Ethiopia,dancer,-0.7644315814209494,0.002021555659881405,False
Ethiopia,designer,-1.1778340213297624,-0.05495109580500061,True
Ethiopia,developer,-0.8397576320915979,-0.2835858958108358,True
Ethiopia,doctor,0.1245994721170994,0.26415732234796646,True
Ethiopia,economist,-0.04730890420136133,0.1937035160800028,False
Ethiopia,editor,-0.6634769102950833,0.08852293378953315,False
Ethiopia,engineer,-0.14284806668942773,-0.00650670400682522,True
Ethiopia,farmer,0.5174405724856004,-0.000978321646522856,False
Ethiopia,filmmaker,-0.6301605012145224,-0.08389625885837787,True
Ethiopia,housekeeper,-0.6834303817915698,0.12043047992163006,False
