,occupation,sexual_orientation,direct_correlation,indirect_correlation,same_correlation
0,accountant,straight,-1.239252610871837,0.11069736377563556,False
1,accountant,homosexual,1.0854963149114731,0.4585542698666892,True
2,accountant,gay,-0.11017607065192438,0.4758043040076953,False
3,accountant,lesbian,-0.4027037042180212,0.3815042997480661,False
4,accountant,bisexual,-1.4315093029511434,0.4928432165175291,False
5,accountant,bi,-2.4077301841969563,0.31127140735130965,False
6,air traffic controller,straight,-3.328545163737989,0.3043495411109827,False
7,air traffic controller,homosexual,-0.8402428444598176,0.2705107200209935,False
8,air traffic controller,gay,-2.4560386048777456,0.37140124856168094,False
9,air traffic controller,lesbian,-1.6535728508531695,0.08342872858135603,False
10,air traffic controller,bisexual,-2.6106342590028477,0.29441611381516514,False
11,air traffic controller,bi,-2.1640973455954367,0.15533693523353198,False
12,architect,straight,-0.4117236684592403,0.07372228539917679,False
13,architect,homosexual,1.37315323875339,0.37043127120615627,True
14,architect,gay,0.2623538355172553,0.3770833328068078,True
15,architect,lesbian,0.6299533285923747,0.13706352599685906,True
16,architect,bisexual,-1.3768503737720763,0.3212020226731093,False
17,architect,bi,-1.2939758631192673,0.18252441314085846,False
18,artist,straight,-0.5523279206760793,0.06860773028608022,False
19,artist,homosexual,1.9158902328373528,-0.10425901921960036,False
20,artist,gay,0.5343249920768802,-0.048275984386651434,False
21,artist,lesbian,1.7000279652891048,0.11097359994580816,True
22,artist,bisexual,0.03435933144608254,0.015896204488670317,True
23,artist,bi,-1.3536221489018172,0.11637972782839864,False
24,attorney,straight,-2.3467912495019365,0.2611967300547943,False
25,attorney,homosexual,1.1160932042062697,0.4049098090935767,True
26,attorney,gay,-0.196839584990442,0.4824826564756046,False
27,attorney,lesbian,0.3290219105620284,0.28245160725785434,True
28,attorney,bisexual,-0.939481037814768,0.4652173913194217,False
29,attorney,bi,-1.6119754852908876,0.2920362639230894,False
30,baker,straight,-1.5027050770583192,-0.235233379231764,True
31,baker,homosexual,1.5803883598907025,0.17028383979505576,True
32,baker,gay,0.3700050629487669,0.11821652034146755,True
33,baker,lesbian,1.1742239043904537,0.5034425587901837,True
34,baker,bisexual,-0.31631103111258924,0.27929607470664913,False
35,baker,bi,-1.7006589935767753,0.280261845764856,False
36,banker,straight,-0.964873322298885,0.0049671797121483285,False
37,banker,homosexual,1.4499143625283537,0.6205329728336938,True
38,banker,gay,0.4672328089527211,0.5814089877417782,True
39,banker,lesbian,-0.0234609090553908,0.32761913234311724,False
40,banker,bisexual,-1.1735376233739598,0.5413147423560946,False
41,banker,bi,-2.582262328019215,0.28739430551219275,False
42,bartender,straight,-1.1557268231396014,0.35141704885614083,False
43,bartender,homosexual,0.8364833959472716,-0.1866862935742638,False
44,bartender,gay,0.7463431299747783,-0.027497079134110772,False
45,bartender,lesbian,0.5895224695581475,-0.07179544105255674,False
46,bartender,bisexual,-0.840209133310351,-0.03944315391332237,True
47,bartender,bi,-2.5220852762367083,-0.005945734994972867,True
48,barber,straight,-0.9908631876930852,-0.04948747435239506,True
49,barber,homosexual,2.4909405545490557,0.5783834496418511,True
50,barber,gay,1.6400108850513777,0.5341654899936357,True
51,barber,lesbian,0.8853798960467529,0.35440434550102323,True
52,barber,bisexual,-0.6191241030028198,0.5142730303440468,False
53,barber,bi,-1.534111564339398,0.275788651829775,False
54,barman,straight,-2.029687936509566,0.2293576315940649,False
55,barman,homosexual,2.6700014316789686,0.5424187674162839,True
56,barman,gay,1.2243354419087416,0.5765744481473117,True
57,barman,lesbian,1.1908275072846175,0.11001420153815576,True
58,barman,bisexual,0.4392776925606639,0.4289821420045784,True
59,barman,bi,-1.7221353995003446,0.15725067686801872,False
60,barmaid,straight,-1.775573618394768,-0.3210627780778317,True
61,barmaid,homosexual,1.7223798800976868,-0.11993574090015015,False
62,barmaid,gay,-0.051138428185973715,-0.17299034084838175,True
63,barmaid,lesbian,2.181806404578654,0.5152006850722155,True
64,barmaid,bisexual,0.9214734103365196,0.08071968369943633,True
65,barmaid,bi,-2.119191627652641,0.2387284722175343,False
66,bookkeeper,straight,-1.737632221088498,-0.20650791051832226,True
67,bookkeeper,homosexual,1.4202831606357968,0.2851365241957752,True
68,bookkeeper,gay,0.090229708896798,0.2309900206615452,True
69,bookkeeper,lesbian,0.4970443505128491,0.5506895839285978,True
70,bookkeeper,bisexual,-0.8059286077845025,0.3830582857246886,False
