beverage,country,direct_correlation,indirect_correlation,same_correlation
water,Nigeria,0.2399453559236357,-0.04370024180951456,False
water,Ethiopia,1.158158078920706,0.10231019719122303,True
water,Egypt,0.9778880072057242,0.1354031550494636,True
water,Congo,0.8859972076737582,-0.054193256482911185,False
water,Tanzania,0.5868245471382462,0.10807072795130825,True
water,Kenya,0.370665466128244,-0.0039574400861318824,False
water,Uganda,0.17642697730664897,0.028245383194091624,True
water,Sudan,1.2485214038424508,-0.008132474283500106,False
water,Algeria,-0.011501054879182638,-0.01612347795620468,True
water,China,0.22354686450565792,-0.011878079479019333,False
water,India,0.3834369497167995,0.016079667135262588,True
water,Indonesia,0.41496029046338945,0.006524181779864564,True
water,Pakistan,0.6962616000030344,0.025294553283061197,True
water,Bangladesh,0.9418057134123227,0.031516522245937977,True
water,Japan,0.008744002395327284,0.036619337285975814,True
water,Philippines,1.2298723239115301,0.157296393849152,True
water,Vietnam,0.5053178857678364,-0.06542687027564581,False
water,Iran,-0.3514683880653662,-0.06116197104021816,True
water,Turkey,0.010385551173576759,0.07523404857004479,True
water,Russia,-1.0254185723694127,-0.08937946585160099,True
water,Germany,-1.0328566810371347,0.007527773924831612,False
water,France,-0.7703881178702516,-0.008431499553660576,True
water,Italy,-0.9311680680712654,0.05072308559082254,False
water,Spain,-1.0864546454304251,0.08918144334843217,False
water,Ukraine,-0.7668194053342731,-0.016477769378873797,True
water,Poland,-0.7541892846556552,-0.023077081571478315,True
water,Romania,-0.747408423111638,0.07264528092079635,False
water,Netherlands,-0.3663763921639719,0.09831620521711763,False
water,Austria,-0.09538476531343759,0.05380267615928028,False
water,Mexico,-0.6354608406959866,0.10047781021533901,False
water,Canada,-0.6926079511281558,-0.07295627468275438,True
water,Guatemala,-0.21681494103968776,0.09875072754231745,False
water,Haiti,-0.22385712577231626,-0.045373807145966866,True
water,Cuba,-1.148769031247914,-0.005173382518578517,True
water,Honduras,0.007235946022629472,0.06250978448462549,True
water,Nicaragua,0.16522342340464347,0.07771875326958153,True
water,Brazil,-0.39701581660551016,0.08442129375294623,False
water,Colombia,-0.409550268279495,0.07091506904792516,False
water,Argentina,-0.5051504887849442,0.05863065905834668,False
water,Peru,0.5596306257319869,0.10078481337793138,True
water,Venezuela,0.3924057247662115,0.13193860041009384,True
water,Chile,-0.23882826094377277,0.16470486514457347,False
water,Ecuador,0.6298482531929844,0.17689397741776072,True
water,Bolivia,0.32003002208563275,0.13465125919576232,True
water,Paraguay,0.0968010409347825,0.07810068424672577,True
water,Uruguay,-0.4472730316503742,0.07897518317599386,False
water,Australia,-0.25424675991189427,-0.048465190281067654,True
water,Fiji,0.5677183748789095,-0.0559898199526384,False
water,Samoa,-0.16084621677299854,-0.033462815317975333,True
water,Tonga,0.37156681593728047,0.05246905322834806,True
coffee,Nigeria,0.26629517106598116,0.17747496009190414,True
coffee,Ethiopia,-0.26420317093174717,0.09613589990453579,False
coffee,Egypt,-1.1248165477478207,0.013856223542436727,False
coffee,Congo,-0.5368587941346769,0.06429070419809421,False
coffee,Tanzania,-0.1839363864834126,0.09563299412470314,False
coffee,Kenya,0.4873759167926708,0.256885086653883,True
coffee,Uganda,0.2915700493495074,0.2083050246103412,True
coffee,Sudan,-0.5226655031166001,0.08712645211049977,False
coffee,Algeria,-1.4564780587322135,-0.06854140610859191,True
coffee,China,-0.5127415002758249,0.2664005047669174,False
coffee,India,-0.4682151052335658,0.237070535706953,False
coffee,Indonesia,0.374719192823152,0.16131027532393635,True
coffee,Pakistan,-0.1221409789385566,0.201890707217964,False
coffee,Bangladesh,-0.052389879929272624,0.23407779420964034,False
coffee,Japan,-0.06298738722038377,0.3205228614074779,False
coffee,Philippines,0.12093301594431909,0.048295399050236915,True
coffee,Vietnam,-0.6200746210457868,0.2543298332696726,False
coffee,Iran,-0.8250925511497392,0.16515819526418607,False
coffee,Turkey,-0.9942901265574151,0.10121249680923709,False
coffee,Russia,-1.3062376173189774,0.20461763148580314,False
coffee,Germany,-0.7102847882618178,-0.013711075846572773,True
coffee,France,-0.9176435972264643,0.030268977314741905,False
coffee,Italy,-0.6796770594064208,0.014686795556645963,False
coffee,Spain,-0.8361755191250642,-0.07422107270472672,True
coffee,Ukraine,-0.557986165114356,0.20485381801249633,False
coffee,Poland,-0.7792107444698296,0.1900043003557954,False
coffee,Romania,-1.3126977964194344,0.03079330753554212,False
coffee,Netherlands,-0.5240662766786858,-0.07702302509284972,True
coffee,Austria,-1.0803029712368688,0.01785569393036922,False
coffee,Mexico,-0.499168882453303,0.0004003477735072213,False
coffee,Canada,0.7049627063818519,0.3518955910773369,True
coffee,Guatemala,0.35837192704103904,0.029388257038253398,True
coffee,Haiti,0.021533384682277033,0.15288663884530435,True
coffee,Cuba,0.053850345981637654,0.13832071338016128,True
coffee,Honduras,0.60147301770011,0.04890820871224017,True
coffee,Nicaragua,0.4424780303381983,0.013835755779486564,True
coffee,Brazil,-0.258280226357567,-0.03617681603475917,True
coffee,Colombia,0.3758731727545102,0.014157471626621784,True
coffee,Argentina,-0.6925000842835792,-0.07143630708715132,True
coffee,Peru,0.34388969663114427,0.06253868313822071,True
coffee,Venezuela,-0.18248881505513656,-0.062475132372722675,True
coffee,Chile,-0.261485847683595,-0.12329774535241474,True
coffee,Ecuador,0.1760002823900788,-0.07327726526179558,False
coffee,Bolivia,-0.20052924780798864,-0.07510009002936205,True
coffee,Paraguay,-0.7176969112069749,0.020148389161592076,False
coffee,Uruguay,-0.656960669218344,-0.10915361744580364,True
coffee,Australia,-0.2686387844397738,0.2791987478356309,False
coffee,Fiji,-0.10949309689459487,0.2434971667418887,False
coffee,Samoa,-0.4256537593452506,0.13951664428471358,False
coffee,Tonga,-1.6919392251995946,-0.026985153666243957,True
tea,Nigeria,-0.019040335058795235,0.12447738222570506,False
tea,Ethiopia,0.020158707896962294,0.26901918926008006,True
tea,Egypt,0.020193811800579612,0.27212217838469016,True
tea,Congo,-0.6502263274521668,0.1070530201387873,False
tea,Tanzania,0.7317450797887659,0.3296068468800094,True
