sport,occupation,direct_correlation,indirect_correlation,same_correlation
football,accountant,0.5749213392807153,0.541028060837465,True
football,architect,0.003296474059802149,0.4313514648195807,True
football,artist,-0.608621083896687,-0.19662066330293693,True
football,attorney,-0.2024460711424382,0.49698410865296594,False
football,banker,0.14171573161619486,0.4731055443122468,True
football,bartender,0.5311373775336724,0.647998888963907,True
football,broadcaster,-0.05757886740542496,0.37690844281731994,False
football,builder,0.7267156644773083,0.6274357487961298,True
football,businessman,0.1750857310938995,0.6158987421219843,True
football,butcher,0.46126093666612555,0.418182913895941,True
football,captain,0.8000798808113011,0.3601911615615303,True
football,carpenter,0.7350950776297731,0.6549087278039197,True
football,chef,0.3341155461237829,0.3389155271539885,True
football,coach,-0.3075666050476251,0.5600257091532158,False
football,cook,0.2445945697648268,-0.5641557137601582,False
football,dancer,-0.1316726181512683,-0.5514184525722943,True
football,designer,-0.1700784183742837,-0.2772392600062564,True
football,developer,0.2163592068703801,0.5878376696021528,True
football,doctor,-0.4044673356768832,0.07743628049726073,False
football,economist,-0.1627274096765423,0.13534184483801331,False
football,editor,0.010278688664230368,-0.31162640594880964,False
football,engineer,0.21299448873541915,0.5642071288243673,True
football,farmer,0.793308575775317,0.5260017643558842,True
football,filmmaker,-0.030472631407220764,0.3967481133250427,False
football,housekeeper,0.34900559438869816,-0.6939567819770706,False
football,journalist,-0.29128575533434975,0.06457010862315649,False
football,judge,0.10989751908707553,0.3056118738904161,True
football,lawyer,-0.38714095963218165,0.4507595295105716,False
football,librarian,0.010753416911679378,-0.6721087793305522,False
football,magician,-0.9888222971385907,0.4911888800038972,False
football,mechanic,0.39183135327234336,0.6319533462987841,True
football,musician,-0.7078019003785131,0.46222527257942636,False
football,nurse,0.2708802233034093,-0.5886578133493029,False
football,painter,-0.1407389728901045,-0.18313335951279316,True
football,philosopher,-0.9819444155786022,-0.14793865103778278,True
football,photographer,-0.006006963444261164,0.416971322911972,False
football,pilot,0.32227136412418633,0.6597905306494618,True
football,policeman,0.230883510223274,0.5796524004041291,True
football,politician,-0.48730478484030665,0.4377617411418468,False
football,professor,-0.5869468591783669,-0.04087870700130505,True
football,programmer,-0.28711292159776447,0.5790874039976486,False
football,psychologist,-0.7265467086379283,-0.16502686354757312,True
football,scientist,-0.4456636247869017,0.00802115459798943,False
football,scholar,0.6150179630300777,-0.11194916141263844,False
football,secretary,0.038061178770369596,-0.6772504114195669,False
football,server,0.00028991216619190277,-0.45582058673206316,False
football,singer,-0.6356353046299893,-0.44985197588331777,True
football,soldier,-0.1298017183662299,0.18255331025171564,False
football,surgeon,-1.0923016065053146,0.47345545817066415,False
football,teacher,0.06415506913151064,-0.5337070947142912,False
football,therapist,-0.3970608484113034,-0.3825093478747078,True
football,translator,-0.17997349811320157,-0.5376515416945801,True
football,waiter,0.0548865224814468,0.6580685003237764,True
football,waitress,0.4732732294849794,-0.46380541822418503,False
football,warrior,-0.51781791042588,-0.09641186751121238,True
football,writer,-0.42661451997754024,-0.18717789751286945,True
basketball,accountant,0.5091185915633323,0.4204742295808102,True
basketball,architect,-0.020209229489887348,0.3266721342014461,False
basketball,artist,-0.8058779812429862,-0.21645259357224358,True
basketball,attorney,-0.3335890649506414,0.41900282704774466,False
basketball,banker,-0.024765883058565114,0.3223515292983772,False
basketball,bartender,0.6481389343985436,0.6362475789570368,True
basketball,broadcaster,-0.32586354637658466,0.2658064278591699,False
basketball,builder,0.3332749367333444,0.4749239272765982,True
basketball,businessman,-0.26346109073187934,0.4887001405500049,False
basketball,butcher,0.33837854158818664,0.23709562970217307,True
basketball,captain,0.7808119878609449,0.243834843331294,True
basketball,carpenter,0.6070701613636479,0.5142242060994201,True
basketball,chef,0.22439572141823572,0.333700813424978,True
basketball,coach,-0.5613827707713495,0.4825948583897076,False
basketball,cook,0.03471845424391442,-0.5675982007850767,False
basketball,dancer,-0.6177673237860395,-0.3941677408008495,True
basketball,designer,-0.39239043536255747,-0.18337297536186734,True
basketball,developer,0.21136260108281965,0.5156151875612534,True
basketball,doctor,-0.31258042349101245,-0.0004316696448674117,True
basketball,economist,-0.5862871728670971,0.07117006730759098,False
basketball,editor,-0.008659102304157791,-0.2897121618703922,True
basketball,engineer,0.20797563077116707,0.4431763105615947,True
basketball,farmer,-0.1797226954522048,0.35884521422663657,False
basketball,filmmaker,-0.4036875725313008,0.33542754548918263,False
basketball,housekeeper,0.41050842726920006,-0.6054631549752649,False
basketball,journalist,-0.3454871808417658,0.0061228931189451705,False
basketball,judge,-0.21899728573143673,0.1881866829728794,False
basketball,lawyer,-0.6136077473805422,0.3431392550171621,False
basketball,librarian,-0.01745206145115526,-0.6035958059242904,True
basketball,magician,-0.9402981683204017,0.38173025857907744,False
basketball,mechanic,0.6660850015037575,0.505003630541581,True
basketball,musician,-0.8065315389323794,0.4026268392102615,False
basketball,nurse,0.2747129071978203,-0.4693763433396916,False
basketball,painter,-0.18011422776145006,-0.25214981220822175,True
basketball,philosopher,-0.9167207104930785,-0.22788720114769068,True
basketball,photographer,-0.02279346549319592,0.3779013366209877,False
basketball,pilot,-0.2640254714341833,0.5421166642300571,False
basketball,policeman,0.04932807857575784,0.4255465498842255,True
basketball,politician,-0.37866005358066546,0.31440683975167055,False
basketball,professor,-0.768934814412862,-0.06790963638111952,True
basketball,programmer,-0.3067973134313681,0.576028727454781,False
basketball,psychologist,-0.8785857534208633,-0.08206845605446116,True
basketball,scientist,-0.8625235713054592,-0.0755631479654806,True
basketball,scholar,0.3831567309154462,-0.16212339656768227,False
basketball,secretary,0.3216099538015744,-0.5984555519758005,False
basketball,server,-0.07134927008434548,-0.29418768305997417,True
basketball,singer,-0.18255653554182202,-0.37551287548106754,True
basketball,soldier,-0.3520684637043732,0.08740312429900125,False
basketball,surgeon,-1.322019644009163,0.3500325313150031,False
basketball,teacher,-0.1630051183075436,-0.4935765539056346,True
basketball,therapist,-0.583268466463957,-0.2039756664314122,True
basketball,translator,-0.3876604258238265,-0.5269040681079877,True
basketball,waiter,0.3215287109365494,0.5452143176442359,True
basketball,waitress,0.5292310185862634,-0.33860272337605685,False
basketball,warrior,-0.8293651851348002,-0.06285035321703815,True
basketball,writer,-0.3199826708689276,-0.21535306059884413,True
cricket,accountant,0.4662697702842818,0.4444923176476666,True
cricket,architect,0.16387639282064279,0.2606829905442596,True
cricket,artist,-0.38342780670862553,0.06713986706352704,False
cricket,attorney,-1.0914230732024197,0.22332592552927094,False
cricket,banker,0.6218372641517395,0.3414883431449284,True
cricket,bartender,-0.5937876441217255,0.02919808691961838,False
cricket,broadcaster,0.6485695949933896,0.3793732026770078,True
cricket,builder,1.0741024395742056,0.42448987482288786,True
cricket,businessman,0.5399254093699589,0.29911351808859593,True
cricket,butcher,0.4374177921928554,0.2961840478811124,True
cricket,captain,-0.04167840816961814,0.18181614984955208,False
cricket,carpenter,0.28901923430214005,0.28557155439351944,True
cricket,chef,0.11996494480631788,0.08300098904049107,True
cricket,coach,-0.21854202109454265,0.21922197434467966,False
cricket,cook,0.6456800313207609,-0.05538598535114184,False
cricket,dancer,-0.5351628176779787,-0.2781714143257024,True
cricket,designer,-0.33265080064519575,-0.0310207889470217,True
cricket,developer,-0.0737263527487181,0.3215064827774341,False
cricket,doctor,-0.2989207638380734,0.1305890421041695,False
cricket,economist,0.02932029894223552,0.1515599652232926,True
cricket,editor,0.2540179658443273,0.03635786398666563,True
cricket,engineer,0.6077068788730072,0.25542055120482454,True
cricket,farmer,1.0924477952740248,0.3082300618085683,True
cricket,filmmaker,0.34675924606228137,0.2905338427350357,True
cricket,housekeeper,-0.05486282267368066,-0.2513443193780912,True
cricket,journalist,0.11241330614664886,0.16319002444838862,True
cricket,judge,0.09328265984619812,0.14641587236179937,True
cricket,lawyer,-0.07137526917647687,0.28486145626598336,False
cricket,librarian,0.13557694565045358,-0.15758738759921767,False
cricket,magician,-0.9051465373228499,0.13603826506674735,False
cricket,mechanic,0.007294777465853739,0.2389879428937442,True
cricket,musician,-0.992907085236277,0.1609572281445652,False
cricket,nurse,0.14379546320700914,-0.2305876471432019,False
cricket,painter,0.06098784395666876,0.05898680220602273,True
cricket,philosopher,-0.5224000429090286,0.010035709352745104,False
cricket,photographer,0.07521368955459813,0.2402516811312033,True
cricket,pilot,0.3526253719755704,0.3048996313759255,True
cricket,policeman,0.3099188951422994,0.3173029388693651,True
cricket,politician,-0.04996783296439243,0.24421670707583049,False
cricket,professor,-0.5249834032166645,-0.04822787126789108,True
cricket,programmer,-0.3271886598149477,0.18904979604352906,False
cricket,psychologist,-0.8789494031996735,-0.01913814994233457,True
cricket,scientist,-0.5442956816039471,0.15182689917903372,False
cricket,scholar,0.7706330317153937,0.10617552572739708,True
cricket,secretary,0.3552204957090231,-0.14277879877822572,False
cricket,server,-0.12354222352848583,-0.23062443346275263,True
cricket,singer,-0.44972340698300184,-0.163719584115616,True
cricket,soldier,-0.4058297906072822,0.04474399185699779,False
cricket,surgeon,-0.9798680320083618,0.27401084749146026,False
cricket,teacher,0.08224290762464581,-0.020043114361893478,False
cricket,therapist,-1.071358894672137,-0.25826308034622547,True
cricket,translator,-0.3714222998133591,-0.211073341048621,True
cricket,waiter,0.06180199407446896,0.26010909848395847,True
cricket,waitress,0.022488912303929163,-0.2397085146739734,False
cricket,warrior,-1.0421974395096905,-0.2150188967947266,True
cricket,writer,0.23940527080118068,0.07414427424373833,True
hockey,accountant,0.44911089864099657,0.4286946514929616,True
hockey,architect,-0.035311669034514055,0.2985951945067503,False
hockey,artist,-0.8617670955959409,-0.18560993433387735,True
hockey,attorney,-0.6949778858607879,0.42440464244609033,False
hockey,banker,0.0499549186651333,0.2985457871983158,True
hockey,bartender,0.3476428566420729,0.6412980911090435,True
hockey,broadcaster,0.36822856229376566,0.3257651076595495,True
hockey,builder,0.6838986045815245,0.48473026944175196,True
hockey,businessman,0.3362957625529257,0.4663628357964371,True
hockey,butcher,0.6735355685820353,0.22335412551017197,True
hockey,captain,0.7148649449479515,0.24950948267220996,True
hockey,carpenter,0.6602315536420386,0.47959878803146927,True
hockey,chef,0.3166898523711851,0.35099759798383573,True
hockey,coach,-0.012897225068185273,0.49245268903595135,False
hockey,cook,0.4665385058628682,-0.49668771302788445,False
hockey,dancer,-0.6726985445430858,-0.3706328261914833,True
hockey,designer,-0.2786674803844893,-0.10839008828741707,True
hockey,developer,0.13061472619973413,0.5524411576059961,True
hockey,doctor,-0.2526640771884807,-0.04172756129805245,True
hockey,economist,-0.16926758534187106,0.05054140892907409,False
hockey,editor,-0.17364018725487207,-0.20424111520239355,True
hockey,engineer,-0.015491262384121945,0.40377242573269606,False
hockey,farmer,0.6956276734602883,0.34480785805362335,True
hockey,filmmaker,0.1663912108841681,0.3388059059795941,True
hockey,housekeeper,0.39839578505314693,-0.5473974558784199,False
hockey,journalist,-0.11329687809043039,0.017419838524894052,False
hockey,judge,0.04831914449336365,0.12106648098598827,True
hockey,lawyer,-0.2769771445418515,0.3350196439270194,False
hockey,librarian,-0.04089031309243663,-0.5250506023045801,True
hockey,magician,-0.9153799335817796,0.3304513716658497,False
hockey,mechanic,0.4434237695941247,0.47890496992366033,True
hockey,musician,-0.5254674149491815,0.38562752993342103,False
hockey,nurse,0.369610761827311,-0.39802694695810426,False
hockey,painter,-0.21712195059315403,-0.2454431296263155,True
hockey,philosopher,-0.9209260769649632,-0.2451837408127975,True
hockey,photographer,-0.04911353515951881,0.39695024147609653,False
hockey,pilot,0.42167618315509325,0.5544997796614545,True
hockey,policeman,0.03374867518090205,0.3929130581316813,True
hockey,politician,-0.1608402301296921,0.30309744145777856,False
hockey,professor,-0.7470292455596281,-0.12017891703651563,True
hockey,programmer,-0.16732628324625512,0.5901442051423437,False
hockey,psychologist,-0.5396394605067736,-0.05484941712281246,True
hockey,scientist,-0.26278886276714897,-0.07408013617584862,True
hockey,scholar,0.2301287310028266,-0.16934314947267431,False
hockey,secretary,0.023809608292552163,-0.5374342135332272,False
hockey,server,0.07005352692447936,-0.23837015540071008,False
hockey,singer,-0.5418080615566508,-0.3634143842681537,True
hockey,soldier,0.42848926811694116,0.07157511572979827,True
hockey,surgeon,-1.0161157491502708,0.32434808597552073,False
hockey,teacher,0.01331898489438661,-0.42962717616993973,False
hockey,therapist,-0.6433488382148239,-0.16732790430718814,True
hockey,translator,-0.10128123722512859,-0.5423071500311479,True
hockey,waiter,0.198933708488987,0.4968953832966819,True
hockey,waitress,0.53004795128068,-0.2854460094569209,False
hockey,warrior,-0.3906844492007286,-0.0749630765122976,True
hockey,writer,-0.2406720461945706,-0.13037767816147866,True
tennis,accountant,0.5242449119898347,0.39999414474388784,True
tennis,architect,-0.031731691157242954,0.2381404129861813,False
tennis,artist,-0.6820714962874682,0.05467814600718629,False
tennis,attorney,-0.40743726044424133,0.43812788140798786,False
tennis,banker,0.22070602326480504,0.24095475328879978,True
tennis,bartender,0.37087027795412014,0.37786716518958874,True
tennis,broadcaster,0.2860583970038326,0.3309822384275395,True
tennis,builder,0.1368203331970199,0.323736604546027,True
tennis,businessman,0.11724209675221764,0.3375044179007393,True
tennis,butcher,0.3327683079979124,0.05015430301221185,True
tennis,captain,0.18004892645277268,0.141844067971275,True
tennis,carpenter,0.3894739558962745,0.2514612889702562,True
tennis,chef,0.4191189191030919,0.3632004555633496,True
tennis,coach,-0.12510294167316888,0.4340797593273751,False
tennis,cook,0.3234430841474564,-0.29736614643289366,False
tennis,dancer,0.06360981269709662,-0.13871678170472743,False
tennis,designer,-0.22657367531210876,0.14537473953551905,False
tennis,developer,-0.2157148742354235,0.5103913449677875,False
tennis,doctor,-0.44315456856442775,-0.08514082677466452,True
tennis,economist,-0.0975720348505608,0.15496367411500747,False
tennis,editor,0.04964601344880795,0.020941905055960268,True
tennis,engineer,-0.005055689734882174,0.2442886803770967,False
tennis,farmer,0.08573913475331263,0.18456949668285344,True
tennis,filmmaker,-0.2114931237526068,0.3577213560760911,False
tennis,housekeeper,0.4217943563390282,-0.3220076070895033,False
tennis,journalist,0.07081541581792586,0.13094633264761188,True
tennis,judge,-0.08146446639911731,0.07455561299069964,False
tennis,lawyer,-0.2086331281109489,0.3521823972299871,False
tennis,librarian,0.15429761527098296,-0.2516632773509476,False
