,occupation,yob,direct_correlation,indirect_correlation,same_correlation
0,accountant,1920,0.2677690338216875,0.25875584440953403,True
1,accountant,1921,0.2658328828986601,0.2883745463515001,True
2,accountant,1922,0.4115836519560584,0.3674608255815862,True
3,accountant,1923,0.3919541204850035,0.3169253748223196,True
4,accountant,1924,0.3394253216048229,0.2942573445003905,True
5,accountant,1925,0.2220279304607599,0.2578531388359317,True
6,accountant,1926,0.3068708235583173,0.24896989131131306,True
7,accountant,1927,0.212374814912787,0.17809790353543706,True
8,accountant,1928,0.2810706472216606,0.22687772846005186,True
9,accountant,1929,0.3773905916830093,0.29312507048057096,True
10,accountant,1930,0.23944665053364084,0.3089944479153981,True
11,accountant,1931,0.2898998363129792,0.3001870019472421,True
12,accountant,1932,0.2888559070821558,0.229986786844724,True
13,accountant,1933,0.2420389408399295,0.23180831519783895,True
14,accountant,1934,0.2987864396137081,0.3371049010944584,True
15,accountant,1935,0.30564619411920585,0.3620418265325456,True
16,accountant,1936,0.2712096219266734,0.3232506659263649,True
17,accountant,1937,0.3610258276751237,0.4142457188290768,True
18,accountant,1938,0.301434592593759,0.4393314208413088,True
19,accountant,1939,0.3215375155345729,0.4591440405758469,True
20,accountant,1940,0.16940226651712847,0.40631269608303006,True
21,accountant,1941,0.16389813932889288,0.38073072725978174,True
22,accountant,1942,0.2679249430734257,0.3996247974228875,True
23,accountant,1943,0.06397831323486343,0.2651735035732016,True
24,accountant,1944,0.05298483173778687,0.27997266389614445,True
25,accountant,1945,0.2811131815779651,0.493642450906829,True
26,accountant,1946,0.40503811384976224,0.4172289585061244,True
27,accountant,1947,0.2792391800732914,0.3211055842267936,True
28,accountant,1948,0.3226975446713302,0.3259416383816996,True
29,accountant,1949,0.34703999888540793,0.4530512011925625,True
30,accountant,1950,0.3548575351029592,0.4230001881053272,True
31,accountant,1951,0.4218656746658092,0.4765694057603016,True
32,accountant,1952,0.3922757483918136,0.38170183664617,True
33,accountant,1953,0.4551536216631654,0.3857892995336368,True
34,accountant,1954,0.4580911413511042,0.4802326123337861,True
35,accountant,1955,0.3395213100038206,0.3980545783542416,True
36,accountant,1956,0.3056934295019596,0.4114634518034133,True
37,accountant,1957,0.3959173658063541,0.4273922426662076,True
38,accountant,1958,0.3758047549024518,0.4605154689519727,True
39,accountant,1959,0.410438399414476,0.5088235253240619,True
40,accountant,1960,0.4148495135159288,0.4657422086786644,True
41,accountant,1961,0.4703903689051012,0.4380684284594069,True
42,accountant,1962,0.4409780614204701,0.4953828438685701,True
43,accountant,1963,0.3717189195771509,0.33091743436885745,True
44,accountant,1964,0.4101092853535771,0.4067383846309701,True
45,accountant,1965,0.3363993800475373,0.3803316589299389,True
46,accountant,1966,0.19929429680453775,0.3659666316341805,True
47,accountant,1967,0.2596166316472092,0.3050299662305289,True
48,accountant,1968,0.22206091097308414,0.30345366657778683,True
49,accountant,1969,0.2388925301163045,0.4053769642050147,True
50,accountant,1970,0.2333897502751603,0.3600900868618292,True
51,accountant,1971,0.2666915881898362,0.4054252902465009,True
52,accountant,1972,0.27487806109221435,0.3235274117523467,True
53,accountant,1973,0.3026422021704476,0.2987300639072871,True
54,accountant,1974,0.2104903360884404,0.296137757334159,True
55,accountant,1975,0.19102930006424054,0.21496228783594065,True
56,accountant,1976,0.09066012542421666,0.1908890213106129,True
57,accountant,1977,0.10046513615789482,0.20951927217048916,True
58,accountant,1978,0.11711622075145013,0.11377249851302075,True
59,accountant,1979,0.14009158490436385,0.10559994733319968,True
60,accountant,1980,0.10989393313258533,0.0979038010326858,True
61,accountant,1981,0.13382916628569738,0.10470984354427308,True
62,accountant,1982,0.12576194115513187,0.08141340461168463,True
63,accountant,1983,0.1178981558041686,-0.00839103780439937,False
64,accountant,1984,0.04409780987469259,0.007129886230897054,True
65,accountant,1985,0.09175295564078152,-0.051798179405929984,False
66,accountant,1986,0.07725232018373074,-0.041341824568320105,False
67,accountant,1987,0.03134987335706637,-0.0506913124644193,False
68,accountant,1988,-0.01673058955323882,-0.0480120870286954,True
69,accountant,1989,-0.0029270793516036077,-0.07594024615834788,True
70,accountant,1990,-0.036713304801461656,-0.05610901256422892,True
71,accountant,1991,0.019646308158629642,-0.11405829562021395,False
72,accountant,1992,-0.049103661951116775,-0.13966870662267689,True
73,accountant,1993,0.029525453238501725,-0.10052183552121018,False
74,accountant,1994,-0.07046306689306123,-0.19366814254944653,True
75,accountant,1995,-0.04168638984375948,-0.14687887662837373,True
76,accountant,1996,-0.07620124408383312,-0.19625782289988408,True
77,accountant,1997,-0.027346917137546483,-0.1828350262366552,True
78,accountant,1998,-0.13572366797800586,-0.1986506158732969,True
79,accountant,1999,-0.09996762488245202,-0.21617483832923926,True
80,accountant,2000,-0.10484857032205036,-0.21970895579586047,True
81,accountant,2001,-0.06042837065984979,-0.1978963462026253,True
82,accountant,2002,-0.12622807488643434,-0.2257898610577633,True
83,accountant,2003,-0.15569905520170774,-0.25073615305415337,True
84,accountant,2004,-0.19922362608958274,-0.30985638836757873,True
85,accountant,2005,-0.18765815299083552,-0.26957561558929305,True
86,accountant,2006,-0.15720796103989151,-0.21144695138715172,True
87,accountant,2007,-0.2182913597797939,-0.2857074172358301,True
88,accountant,2008,-0.184895787196956,-0.2726548426099607,True
89,accountant,2009,-0.24421156231037,-0.2865926188334804,True
90,accountant,2010,-0.19237460344202914,-0.3052189719902574,True
91,accountant,2011,-0.180457945372645,-0.3286990639647178,True
