country,age,direct_correlation,indirect_correlation,same_correlation
Nigeria,1,1.143076215672876,0.22395200567261964,True
Nigeria,2,0.7149770687097573,0.13333955686904048,True
Nigeria,3,0.5015778164681954,0.13110326937195924,True
Nigeria,4,0.5397379555559967,0.12504189295528292,True
Nigeria,5,0.508784716812323,0.11968289019969211,True
Nigeria,6,0.34853390009952717,0.1160388511628436,True
Nigeria,7,0.29797278349933376,0.14110052183955826,True
Nigeria,8,0.2456324676190977,0.10404032132096702,True
Nigeria,9,0.27760477835369785,0.1174774635102495,True
Nigeria,10,0.1804446121757839,0.09671000604278501,True
Nigeria,11,0.19965108656903788,0.10388587424745942,True
Nigeria,12,0.047817371167566056,0.10711129685181708,True
Nigeria,13,0.1166848870067075,0.09667937118219316,True
Nigeria,14,0.09811081917570523,0.09855952717671902,True
Nigeria,15,0.15875018004495314,0.09368895404581795,True
Nigeria,16,0.1527135641788491,0.0493695286819348,True
Nigeria,17,0.14052739806790376,0.06276972029285095,True
Nigeria,18,0.12418994325575512,0.06535094572729137,True
Nigeria,19,0.18286856954072778,0.08681730253260038,True
Nigeria,20,0.11094382438465071,0.10934796909779342,True
Nigeria,21,0.177997005403655,0.09563186234043287,True
Nigeria,22,0.12237892401834105,0.09792392127866635,True
Nigeria,23,0.16425634400004854,0.11418753427544688,True
Nigeria,24,0.2096037061433227,0.10178953694415879,True
Nigeria,25,0.14283564853229078,0.11515746998776492,True
Nigeria,26,0.14662439832103003,0.1353232880291274,True
Nigeria,27,0.11660657674919811,0.14291620085760198,True
Nigeria,28,0.1288955225291832,0.15435000809777694,True
Nigeria,29,0.10808313400970906,0.15950292802611307,True
Nigeria,30,0.10402048653501039,0.19153137252707303,True
Nigeria,31,0.1531958786550629,0.15088145770686964,True
Nigeria,32,0.14305575422286632,0.14488489119433987,True
Nigeria,33,0.1317465121735402,0.18108902705574592,True
Nigeria,34,0.18167442771656245,0.1739314320542341,True
Nigeria,35,0.11244515646969853,0.1707957045764858,True
Nigeria,36,0.15364467503548002,0.2136640467758404,True
Nigeria,37,0.08950703530039762,0.18499047387534856,True
Nigeria,38,0.08801751805142839,0.19203569379555707,True
Nigeria,39,0.12273746339822764,0.18773009516480227,True
Nigeria,40,0.05952913544623177,0.20634226423186075,True
Nigeria,41,0.12175662482374662,0.18264336342444515,True
Nigeria,42,0.08631401860878232,0.1945516395392505,True
Nigeria,43,0.12933918878461287,0.2018707551258159,True
Nigeria,44,0.13838563051461236,0.1939663126335297,True
Nigeria,45,0.030465365654867276,0.21668214287059648,True
Nigeria,46,-0.0008421601413630961,0.2131101252954847,False
Nigeria,47,0.03726367148775139,0.22362285319238479,True
Nigeria,48,-0.036543442060572896,0.21282318849363616,False
Nigeria,49,0.05860150397782356,0.21867436057722237,True
Nigeria,50,-0.013958851289759778,0.23605104402137844,False
Nigeria,51,0.049347343714938964,0.22084262099686527,True
Nigeria,52,0.024153619256458553,0.23231924489730424,True
Nigeria,53,0.010962779477245058,0.2209136413169931,True
Nigeria,54,0.06536639957073676,0.20858172063458075,True
Nigeria,55,0.04706866966517187,0.21917928436011924,True
Nigeria,56,0.02405635183976974,0.2243668889443635,True
Nigeria,57,0.0024799004549819624,0.24137400833119016,True
Nigeria,58,0.05605967817861,0.24142224610704477,True
Nigeria,59,-0.005926269305409364,0.2296239647083975,False
Nigeria,60,0.0021512376911397894,0.2578143549047084,True
Nigeria,61,-0.02198049516188357,0.2507523484120499,False
Nigeria,62,0.01744653402582116,0.2323300736822218,True
Nigeria,63,0.014988029493082975,0.2513270580206896,True
Nigeria,64,0.03617165442753017,0.24533173155185237,True
Nigeria,65,-0.04056259915787707,0.2425850506033199,False
Nigeria,66,-0.03031895234640113,0.25508212569190913,False
Nigeria,67,-0.01780507352451715,0.2531999908259543,False
Nigeria,68,-0.030836548254637365,0.25004651308697307,False
Nigeria,69,-0.18855164703250468,0.25015204250150946,False
Nigeria,70,-0.04900064576367679,0.27310852847018424,False
Nigeria,71,-0.023611931390958955,0.24041588223182495,False
Nigeria,72,-0.04244469047014108,0.24263678201134076,False
Nigeria,73,-0.07512139321407138,0.25064115268321585,False
Nigeria,74,-0.04978481086309758,0.25405826085337246,False
Nigeria,75,-0.06988489950031569,0.25480385124392047,False
Nigeria,76,-0.00979184215376723,0.2548304995092447,False
Nigeria,77,0.07823550964919625,0.2407943757977579,True
Nigeria,78,0.06444496348344382,0.2465055062897286,True
Nigeria,79,0.04625703145639548,0.24130211339714622,True
Nigeria,80,-0.03612722866560053,0.26987336487499286,False
Nigeria,81,0.04772204946068909,0.23654967774286498,True
Nigeria,82,0.06472831781476922,0.24285406430657167,True
Nigeria,83,0.1780348607047978,0.24186615721425372,True
Nigeria,84,0.16556118559034216,0.24301924372800945,True
Nigeria,85,0.14766394885405806,0.23818835337717517,True
Nigeria,86,0.05369169600128784,0.22930179742995777,True
Nigeria,87,0.027288879350074364,0.24043050505461702,True
Nigeria,88,0.058149061692782875,0.26307542782117993,True
Nigeria,89,0.02607515335185048,0.24473575346479914,True
Nigeria,90,0.007090180271147113,0.2550227692509427,True
Nigeria,91,0.10578449245055235,0.23528119020756755,True
Nigeria,92,0.16382680996927643,0.2507573970500106,True
Nigeria,93,0.05644226329530857,0.24264500197067898,True
Nigeria,94,0.13022278012523997,0.25501103963459687,True
Nigeria,95,0.08994923788235651,0.22920887318579677,True
Nigeria,96,0.11144791669864687,0.2424531865025505,True
Nigeria,97,0.20614049850369315,0.2489277022331784,True
Nigeria,98,0.17346844342598722,0.2504092498615428,True
