,occupation,age,direct_correlation,indirect_correlation,same_correlation
0,accountant,1,-0.6743768364688421,0.18703933434399075,False
1,accountant,2,-1.999062182093021,0.059012748476190736,False
2,accountant,3,-2.212738462928349,0.052452460258898666,False
3,accountant,4,-2.334361308808073,0.08387958903566392,False
4,accountant,5,-1.980446599104108,0.07150330015319305,False
5,accountant,6,-2.677645131808311,0.09526835683560704,False
6,accountant,7,-2.9772721297288487,0.08828376445997811,False
7,accountant,8,-3.1197667580746025,0.0667908561846037,False
8,accountant,9,-2.7132035754208337,0.1506673867032018,False
9,accountant,10,-2.8097328291713595,0.06961382580129191,False
10,accountant,11,-2.8417983974686654,0.09878001892301533,False
11,accountant,12,-2.8774242386734508,0.10468207541977162,False
12,accountant,13,-2.6555957414383484,0.11078435719413353,False
13,accountant,14,-2.4636988417828767,0.1547159658330263,False
14,accountant,15,-2.2162931928321936,0.1552010724199663,False
15,accountant,16,-2.067545887173922,0.19028006561429564,False
16,accountant,17,-1.8194783599124789,0.1972988895078731,False
17,accountant,18,-1.5777793348021636,0.24523662413006275,False
18,accountant,19,-1.2261454843701145,0.28402042410134826,False
19,accountant,20,-1.0551309876523594,0.27289378537127434,False
20,accountant,21,-0.7531555092926747,0.3706080091069083,False
21,accountant,22,-0.5684844860868233,0.3954655431808088,False
22,accountant,23,-0.4248518387451729,0.35896581698898816,False
23,accountant,24,-0.3048326310950725,0.3945536647514147,False
24,accountant,25,0.0358283663531143,0.4095208313175847,True
25,accountant,26,0.2918184559706896,0.5039610585930933,True
26,accountant,27,0.3181212265775691,0.4756302812862153,True
27,accountant,28,0.3870597142021808,0.5126454170404298,True
28,accountant,29,0.5271793740316689,0.5262944094563287,True
29,accountant,30,0.2685442489747974,0.4806919185032046,True
30,accountant,31,0.612754626819037,0.5294646729795448,True
31,accountant,32,0.7177824576978146,0.5450940502141236,True
32,accountant,33,0.7479044289281886,0.5163550934961055,True
33,accountant,34,0.666491301535543,0.5551002384606832,True
34,accountant,35,0.6371858576564312,0.5507692155163386,True
35,accountant,36,0.6490974511354792,0.5562508491017499,True
36,accountant,37,0.7506410146325817,0.5377376269004878,True
37,accountant,38,0.7859161788955096,0.5820239402320377,True
38,accountant,39,0.6700518020401888,0.5521421340153395,True
39,accountant,40,0.3734934702754282,0.4936445294645466,True
40,accountant,41,0.6435943213758869,0.5746364357606485,True
41,accountant,42,0.675286789151546,0.5627896902445803,True
42,accountant,43,0.6931827609783608,0.5696844006527672,True
43,accountant,44,0.5878084322405485,0.6102016367310552,True
44,accountant,45,0.7137144807039606,0.5985511088032581,True
45,accountant,46,0.48302424267414296,0.5778029376761424,True
46,accountant,47,0.4936293642529281,0.5439999470933287,True
47,accountant,48,0.4335740834656546,0.5717572944719646,True
48,accountant,49,0.4751492589835513,0.5781900115567583,True
49,accountant,50,0.4851810791579848,0.5296150827633096,True
50,accountant,51,0.5385650523946239,0.6006985145684017,True
51,accountant,52,0.5836643410742038,0.5618527047103998,True
52,accountant,53,0.5241648652408021,0.5816484895888502,True
53,accountant,54,0.599120882437849,0.606222780417131,True
54,accountant,55,0.5824816282484501,0.6054969475309336,True
55,accountant,56,0.4010138895466812,0.6052906408613627,True
56,accountant,57,0.3965740913672508,0.5953819574274436,True
57,accountant,58,0.6739493931542474,0.5855854123837212,True
58,accountant,59,0.5396194099820684,0.5932679598314634,True
59,accountant,60,0.4554163632808476,0.5265504346597161,True
60,accountant,61,0.6840460327888589,0.5635388929086581,True
