,occupation,race,direct_correlation,indirect_correlation,same_correlation
0,accountant,Arab,0.5654422509128249,0.06087480712993679,True
1,accountant,Asian,0.021820577759752026,0.1613098629386372,True
2,accountant,Black,1.1164267422197405,0.18653952087011452,True
3,accountant,Hispanic,0.8544769121889702,0.18776840939674524,True
4,accountant,Latino,0.11754611428333918,0.16541280048502566,True
5,accountant,White,0.4563478388383654,0.10696896792045073,True
6,air traffic controller,Arab,0.037069947891839726,-0.037606349833465405,False
7,air traffic controller,Asian,0.08344328678378482,0.0711482026270591,True
8,air traffic controller,Black,-0.2471731065654544,-0.02296386815660508,True
9,air traffic controller,Hispanic,0.3289437988401133,0.0241473242083704,True
10,air traffic controller,Latino,0.1619348377001496,0.06951478134752734,True
11,air traffic controller,White,-0.42283668397978974,-0.06105326970704136,True
12,architect,Arab,1.1419313922036274,0.15467325660250686,True
13,architect,Asian,0.6492891370790861,0.07639545168427546,True
14,architect,Black,1.4601097415702111,0.10010188648740632,True
15,architect,Hispanic,1.3271300271094737,0.18319856695707928,True
16,architect,Latino,0.5444244438516429,0.17028000561223194,True
17,architect,White,1.1089684816112853,0.03744415612834764,True
18,artist,Arab,0.8932420314435203,0.1765184510930664,True
19,artist,Asian,1.0415975378174216,0.023298133321355767,True
20,artist,Black,1.0918989400402357,-0.18250297230980256,False
21,artist,Hispanic,1.8375196560975882,0.06420983413966089,True
22,artist,Latino,1.3838236879547925,0.09144103336616656,True
23,artist,White,0.5996506752214698,-0.2269674335391799,False
24,attorney,Arab,0.2601744136403757,-0.044041792656048434,False
25,attorney,Asian,-0.4078823181088535,-0.024677140039644253,True
26,attorney,Black,1.603142899680866,0.13315225039889192,True
27,attorney,Hispanic,1.1739513284218617,0.014779084368883796,True
28,attorney,Latino,0.031436851818162664,-0.01931346608061071,False
29,attorney,White,0.9821168427027476,0.1252007640504935,True
30,baker,Arab,0.04893242132094544,0.1273275777258472,True
31,baker,Asian,-0.6996657060733469,0.14032272837066845,False
32,baker,Black,0.4699328043380415,0.12683396445119252,True
33,baker,Hispanic,0.9236723289421078,0.2015189231462694,True
34,baker,Latino,0.30079022147980444,0.10611429201528584,True
35,baker,White,-0.5868742034372618,0.06946352160805849,False
36,banker,Arab,0.7170256350227415,0.09309829579945436,True
37,banker,Asian,0.2501369877320894,0.06186619297876941,True
38,banker,Black,0.9778881983600052,0.1512231952979711,True
39,banker,Hispanic,0.4350904290654517,0.1965419769408969,True
40,banker,Latino,-0.2789110635541602,0.17481946190519165,False
41,banker,White,-0.02599363586778598,0.10936609274384572,False
42,bartender,Arab,1.0118399611712006,0.04390998306975931,True
43,bartender,Asian,0.9508270701799156,0.16066391433128874,True
44,bartender,Black,2.0554653400941123,0.14403073761017446,True
45,bartender,Hispanic,2.4299894268834423,0.04727955871685613,True
46,bartender,Latino,1.5031197663434073,0.042436806834098575,True
47,bartender,White,0.545721653158334,0.07628944022794595,True
48,barber,Arab,0.8537476908212149,0.09089767241676174,True
49,barber,Asian,0.5712535237360952,0.09202878701611217,True
50,barber,Black,1.5263389972938903,0.2200065078196809,True
51,barber,Hispanic,0.9808704542561876,0.192650328327784,True
52,barber,Latino,0.3466502424701945,0.1340651425926966,True
53,barber,White,0.2085263251640056,0.1836046989867784,True
54,barman,Arab,1.2520371609954393,0.11181752435284044,True
55,barman,Asian,1.1833875054544016,0.10864198401876976,True
56,barman,Black,1.5725726823356216,0.21393845941022008,True
57,barman,Hispanic,1.7847310104107164,0.15810918829966664,True
58,barman,Latino,1.1196486690710092,0.14303537345061254,True
59,barman,White,0.2283809492875573,0.1630495139018413,True
60,barmaid,Arab,1.1076759243152126,0.05755010129447567,True
61,barmaid,Asian,1.0033709714488144,0.1025631932676142,True
62,barmaid,Black,1.5215782619977718,0.10884800875570487,True
63,barmaid,Hispanic,1.7533678258629408,0.11867170507603292,True
64,barmaid,Latino,0.7206854626207838,-0.019001447375970863,False
65,barmaid,White,0.16925520884915612,0.09137069364962656,True
66,bookkeeper,Arab,0.135539803067165,-0.02353453517482824,False
67,bookkeeper,Asian,-0.1442770532716311,0.09689193143619597,False
68,bookkeeper,Black,1.145964047545792,-0.0030959894488964607,False
69,bookkeeper,Hispanic,0.9592016220886423,0.09219130814294653,True
70,bookkeeper,Latino,0.09440639553153922,0.010262129622758704,True
71,bookkeeper,White,-0.005298379938592111,-0.045151402141513385,True
72,broadcaster,Arab,1.186721460788683,0.014359989253391875,True
73,broadcaster,Asian,0.5759263244555713,0.049826083859845986,True
74,broadcaster,Black,0.4077701381562117,-0.027707763975123048,False
75,broadcaster,Hispanic,0.8838840311785109,0.059779147636082525,True
76,broadcaster,Latino,0.9477639240902545,0.13157373201005634,True
77,broadcaster,White,-0.5743550489428616,-0.0952148567599506,True
78,builder,Arab,0.2219646064970933,0.183202836899144,True
79,builder,Asian,0.11408830845578467,0.11745893673355676,True
80,builder,Black,0.7581966551108986,0.2390619840648369,True
81,builder,Hispanic,0.7031969539027827,0.1918097524850684,True
82,builder,Latino,0.0939249729921594,0.15262943965127693,True
83,builder,White,-0.11174218139759808,0.17289627565799282,False
84,businessperson,Arab,0.20283541054276247,0.034079402216260934,True
85,businessperson,Asian,0.3934690320010576,0.16897105218819747,True
86,businessperson,Black,0.7485341721608239,0.14939846947430194,True
87,businessperson,Hispanic,1.5398167980841793,0.17864992534289462,True
88,businessperson,Latino,0.5747495619966417,0.1778770294233368,True
89,businessperson,White,-0.15152054586733252,0.05865236108897705,False
90,businessman,Arab,1.1011696950907206,0.10835302583920864,True
91,businessman,Asian,0.4487403243804489,0.0793319448563058,True
92,businessman,Black,1.1538023967294535,0.14124559209404194,True
