country,beverage,direct_correlation,indirect_correlation,same_correlation
Nigeria,water,-0.6083241257278891,-0.12199816696529564,True
Nigeria,coffee,0.8985809367254497,0.05127585118025928,True
Nigeria,tea,0.5803076341962303,-0.11923930336261825,False
Nigeria,juice,0.20706158887471515,-0.16268521159140253,False
Nigeria,milk,-0.4148500718838553,-0.1632071185352774,True
Nigeria,soda,-0.19390456300770234,-0.11242098986877368,True
Nigeria,alcohol,0.18961367060074638,0.04589405626301798,True
Nigeria,liquor,-0.17330329794326102,0.05573731677633797,False
Nigeria,beer,0.0838494904922511,0.09491719797069509,True
Nigeria,wine,-0.3497400752349155,0.057466004711154504,False
Nigeria,vodka,0.11136219673430083,-0.02986237700496795,False
Nigeria,whiskey,0.2358545557113963,0.13250453634188752,True
Nigeria,champagne,-0.29274231606640105,0.06470375014372143,False
Ethiopia,water,0.3039132695519069,0.015010186343620197,True
Ethiopia,coffee,0.9402121388135273,0.02836304254449381,True
Ethiopia,tea,0.4459499029601579,0.03325973255430013,True
Ethiopia,juice,0.1590848609954451,-0.03012081955649469,False
Ethiopia,milk,0.6917025463126207,-0.006217113147494359,False
Ethiopia,soda,-0.3544950697841809,-0.17264424708879816,True
Ethiopia,alcohol,-0.4975678846438815,-0.008157635358918912,True
Ethiopia,liquor,-0.7726655826508411,-0.03631075733081797,True
Ethiopia,beer,-0.539512274736723,-0.11070792833153044,True
Ethiopia,wine,0.05446688199772731,0.13876153342723418,True
Ethiopia,vodka,-0.7500428889312862,-0.09594777395635651,True
Ethiopia,whiskey,-0.6363432437037281,-0.026676016384131102,True
Ethiopia,champagne,-0.4325270233474408,0.03591620108452774,False
Egypt,water,0.31656666592050686,0.07838934153283611,True
Egypt,coffee,-0.3701075835578897,-0.13106497673725268,True
Egypt,tea,0.21046316669041418,0.042472791254090675,True
Egypt,juice,-0.4925313597315769,0.03700572904701406,False
Egypt,milk,0.23628928974494084,0.07869226866133515,True
Egypt,soda,-0.7625952927470406,-0.16245574259982276,True
Egypt,alcohol,-0.6675818314152822,-0.03566439785563921,True
Egypt,liquor,-0.8356236786823206,-0.03746667921386342,True
Egypt,beer,-1.135946346480837,-0.22426757246903298,True
Egypt,wine,0.5781958706746335,0.15839052499974657,True
Egypt,vodka,-0.9471747200041174,-0.11080053489581707,True
Egypt,whiskey,-0.4854348154051627,-0.1165407331025625,True
Egypt,champagne,-0.22801997574956664,0.03700250350249095,False
Congo,water,0.24438309930669883,-0.08263992084123274,False
Congo,coffee,0.6871985327415372,0.0985646228427488,True
Congo,tea,0.5658197877398407,-0.08700148919714007,False
Congo,juice,0.7498608755230194,-0.07253545725895214,False
Congo,milk,0.4126011459723484,-0.11014111078252344,False
Congo,soda,-0.01990648529428633,-0.10286627483763545,True
Congo,alcohol,-0.5553948934561717,0.05320661816322168,False
