sport,country,direct_correlation,indirect_correlation,same_correlation
baseball,Kenya,-1.0915793655548787,0.05547167122867193,False
baseball,Uganda,-0.6161271608552027,-0.00955804510512639,True
baseball,Sudan,-0.9242571602255569,-0.03336325329203996,True
baseball,Algeria,-1.2885053901533596,-0.2019810407769106,True
baseball,China,-0.3123022633208888,0.1346935855699465,False
baseball,India,-0.9280210959566221,0.04751889743765343,False
baseball,Indonesia,-1.1545218894166118,-0.04352989970194113,True
baseball,Pakistan,-0.5431001282129885,0.0915308820786531,False
baseball,Bangladesh,-0.4401542005814328,0.0610223935271791,False
baseball,Japan,0.06745209353471611,0.08357552967528914,True
baseball,Philippines,-0.1602111007049135,-0.003856860064493325,True
baseball,Vietnam,-0.561521521923966,0.1481867333070001,False
baseball,Iran,-0.8515773337886605,0.03432697692688196,False
baseball,Turkey,0.49749761285188276,-0.05961499175448088,False
baseball,Russia,0.17047200252568542,-0.06991757146070104,False
baseball,Germany,-0.20349288417948314,-0.030211675720478802,True
baseball,France,-0.9249176465899452,-0.18103164114510054,True
baseball,Italy,-0.5733619373356784,-0.21490696894554442,True
baseball,Spain,-0.3591048440402436,-0.20575479900052893,True
baseball,Ukraine,0.6567491372396757,-0.07140256369280386,False
baseball,Poland,0.411370471339545,-0.04383201122930565,False
baseball,Romania,-0.35387552327073396,-0.20921883059316435,True
baseball,Netherlands,-0.9237240517942186,0.015527409081713415,False
baseball,Austria,0.040342739047933125,-0.1334831155120062,False
baseball,Mexico,0.42787309994094674,-0.08509581420006869,False
baseball,Canada,0.4009042272566219,0.1413731592619889,True
baseball,Guatemala,0.07007352645138971,-0.17516049688329982,False
baseball,Haiti,-0.5000178911370092,-0.17831965808934527,True
baseball,Cuba,0.3995964707717223,-0.06534436274851164,False
baseball,Honduras,0.16351348638756472,-0.06229463293074902,False
baseball,Nicaragua,-0.07036781696200392,-0.06623744636249897,True
baseball,Brazil,-0.6518070502285861,-0.13383771724560328,True
baseball,Colombia,-0.3568403327057798,-0.12302669121844559,True
baseball,Argentina,-0.08787846002132996,-0.10962664814220167,True
baseball,Peru,-0.017739937009545768,-0.13572030887809972,True
baseball,Venezuela,0.18950947667605264,-0.10703585055660049,False
baseball,Chile,0.19939753177649333,-0.1585226656286796,False
baseball,Ecuador,-0.43497883504259116,-0.12379788358860812,True
baseball,Bolivia,-0.13593967070755508,-0.12058239489314537,True
baseball,Paraguay,0.39412811449751933,-0.10801942996849821,False
baseball,Uruguay,-0.08381187251618646,-0.09584212725281656,True
baseball,Australia,-0.5037685671006399,0.11007354640461905,False
baseball,Fiji,-0.6072835262931322,0.02653062467311495,False
baseball,Samoa,-0.0941918196512604,-0.046499941420452454,True
baseball,Tonga,-0.10332151556891277,-0.026013691975189875,True
american football,Nigeria,0.6237978007354482,0.0026386096412796926,True
american football,Ethiopia,-0.9389293702945581,-0.26234167368016564,True
american football,Egypt,-2.0531455363855,-0.24106377968484283,True
american football,Congo,-1.053982165916753,-0.17615585095357614,True
american football,Tanzania,-0.6456398650090095,-0.13730048311549728,True
american football,Kenya,-0.3950032296557595,-0.006515426808137461,True
american football,Uganda,-0.6798765235539557,-0.10762414247977951,True
american football,Sudan,-1.3171102445914675,-0.15475712573868686,True
american football,Algeria,-0.6265923553256222,-0.17910260094766164,True
american football,China,-0.7966082949594879,0.027120755204814714,False
american football,India,-0.8994034296083575,-0.04502034256363684,True
