index,Nigeria,Ethiopia,Egypt,Congo,Tanzania,South Africa,Kenya,Uganda,Sudan,Algeria,China,India,Indonesia,Pakistan,Bangladesh,Japan,Philippines,Vietnam,Iran,Turkey,Russia,Germany,United Kingdom,France,Italy,Spain,Ukraine,Poland,Romania,Netherlands,Austria,United States,Mexico,Canada,Guatemala,Haiti,Cuba,Dominican Republic,Honduras,Nicaragua,El Salvador,Brazil,Colombia,Argentina,Peru,Venezuela,Chile,Ecuador,Bolivia,Paraguay,Uruguay,Australia,Papua New Guinea,New Zealand,Fiji,Solomon Islands,Vanuatu,Samoa,Kiribati,Micronesia,Tonga
water,-0.6083241257278891,0.3039132695519069,0.31656666592050686,0.24438309930669883,0.3421593188469466,-0.49184519531866877,0.1918508707002652,0.156068095039483,0.22112793543688106,-0.5599544849499991,0.038131258106995664,0.18242149563713028,-0.41369794955884104,-0.16566221996127625,0.1709778875201958,-0.5294202012047695,-0.2739310997773952,-0.4650616635012311,-0.08140112617966462,-0.3983875084715582,-0.627274571151343,-1.359035452406328,-0.7538807309062191,-0.8901091601674878,-1.0862339733266193,-1.0656907240853868,-0.5294379270475688,-0.8612970880213127,-0.47155251228139194,-0.9803841286004555,-1.3591962098663377,-0.689739429990964,-0.2795965924078033,-0.6983026913504021,0.02266028059331908,0.2556887048760189,-0.41628792518225793,-0.5331434995934172,0.08725429597938081,-0.24102902301979565,-0.389399246445314,-0.2759054560397718,-0.9647781879058145,-0.7691161187388372,-0.010999584446998204,-0.4281894479471804,-0.18658239234462842,-0.19433844794835928,0.27375086788601183,-0.28759758908451494,-0.35311162301659543,-0.609059071521572,0.026236935927992124,-0.49319026152567974,0.06318055845990975,0.03495347236928243,0.19220478877577277,-0.26536782867300873,-0.018389359790498327,0.38388322770852207,-0.2739648805894182
coffee,0.8985809367254497,0.9402121388135273,-0.3701075835578897,0.6871985327415372,0.5735993015093275,0.38955831932565965,0.8789905976362475,0.7236417235209901,0.524268074294343,0.3434393494754891,-0.30653679273707113,0.03422122464237903,0.44841707999613173,0.3054111721395321,0.34755952205041585,0.19535733421182147,0.2519874232627895,0.14315333242603462,0.5471975026400777,0.15893388227207525,-0.6465361131096783,0.0728861393876202,0.26870670002666436,0.019498209131891008,-0.1699983064061481,-0.3109055344079882,-0.4711348956623539,-0.5319270829328956,-0.07467927278130043,0.32185340312188315,-0.25535318617825,0.5824103855747997,0.31299616561156307,0.09852453018975964,0.8314575033760224,0.7154012579962928,0.39682582732839294,0.35407858324881586,1.3288537924510881,1.086189510521177,1.0587533811608474,1.0625285152980528,0.5997397637483305,0.2917525207328437,0.565698161560478,0.538171964597491,0.9870788788082365,1.0534372145319484,1.0915429954364306,0.5846499073224977,0.7014656625040349,0.3597751290627532,0.5925715880793722,0.5778904506911514,0.39524429607986505,0.04356282536926214,0.28234037323659655,0.8655466985291878,0.34217901671081025,0.4407524342713868,0.2854993144025051
tea,0.5803076341962303,0.4459499029601579,0.21046316669041418,0.5658197877398407,1.1847362536313752,0.32395423339145935,0.9725582056485184,0.9372801442394114,0.7079597228142143,-0.05278937743895987,1.222687059753756,1.2699961518988163,0.21582266953518944,1.5481914532776648,1.2013341556725037,0.9964897410627251,0.03477008658575467,0.30159774477819923,0.7231046451957391,0.12928930913488348,-0.21649826307275194,-0.39955572585352017,0.5017408140878669,-0.3754975571036581,-0.8046553538831319,-0.6276873237066734,-0.21116010897095883,-0.5018500283456463,-0.4590781766301617,-0.3149025283915125,-0.3659018172816296,-0.050043819455938776,-0.6035005384697835,0.0412960945327107,0.20294303536991776,0.3265931030919622,0.08268489820880716,-0.3761101244154829,0.5264014426085217,0.13341675567122108,-0.36714754927168974,-0.39792166258623984,-0.6086326638996367,-0.8376672453956846,0.2622987824562902,-0.07393748935663055,-0.0013667163316110756,0.16767907754338787,0.39577666527870964,-0.4387890760729729,-0.5192976693225074,0.3523976575383989,0.7171689786016187,1.010791706906791,0.8520029637099803,0.606203546252995,0.5250558194565981,0.7472160048260589,0.562335014619307,0.3036002338354754,0.891257632708885
juice,0.20706158887471515,0.1590848609954451,-0.4925313597315769,0.7498608755230194,0.6846088831168589,0.29638608893825846,0.8111112377365688,0.7351185760455626,0.1404223681636563,-0.5255031210295605,0.4921277759727378,-0.10245796087240502,0.24474867572579048,-0.67744918149433,-0.4188412837546563,0.37153309199346835,0.7675922714341072,-0.45927909737000905,-0.7813960893136507,-0.3639680906386238,-0.6823761454357198,-0.9418338751747681,-0.29919570579524235,-0.5113061019404828,-0.5768111321108962,-0.49171243993233293,-0.443219150247697,-0.26194763781629044,-0.12938884998046152,-0.19510660453256387,-1.080023119321761,-0.3567721617453051,-0.01785245598535969,-0.02074861884494813,-0.06155661601706733,0.06123088857993026,0.12199027324876208,0.036037933877744184,0.38544520559316575,0.04459324951531177,0.20204492235877103,0.02881406847324815,-0.21514619436004886,-0.022621913535299062,0.08667222298451249,0.024996473778464583,0.4961842066018861,0.16080049695580434,-0.2273897370483278,0.0630024145305903,0.257628810684185,0.07465459500191408,0.3269948600801736,0.103409806397024,-0.04298936439576762,-0.025456960699907164,0.27909390177465065,0.03675383602255857,0.404152721729336,0.39092920639342477,0.010822538643274504
milk,-0.4148500718838553,0.6917025463126207,0.23628928974494084,0.4126011459723484,-0.5900779954737662,-0.3689022095383208,-0.02187523347769924,0.047179604580807076,0.03259893969658059,-0.8867061719277288,0.26320418997814565,-0.055365210413375096,-0.5009899343541062,0.33426434852925374,0.7389897545689451,0.38564178108510255,0.07225867443769174,-0.5617200152790052,-0.20699066851242087,-0.3425772294594675,-0.7461169195804984,-0.7259838867580218,-0.34853448449618524,-0.6666154505929722,-0.8351120139938447,-1.3540682967633582,-0.3064344594492154,0.1553325663731783,0.189135466748564,-0.42244624462129976,-0.1771407786956176,-0.5860445463158928,-0.28382692690544103,-0.0325642697424658,-0.21702082869723316,0.0508358510487216,-0.6060456721528772,-0.8104947319788387,0.05549730909567254,-0.3398997522104748,-0.7618263768408385,-0.3083612071985831,-0.49773685228381187,-0.3571879828017968,-0.13133378194662096,-0.1874578015607827,0.2464839029092302,-0.3926548954000042,0.3722927950442325,0.3968169969603543,0.22821678533672746,0.016328461147353167,0.17846723369521175,-0.015063728396077773,-0.16850770953926764,0.01655506420498233,-0.1361735497856875,0.6043244380168966,0.03911733205225846,0.4422700414262924,0.39580636588686463
soda,-0.19390456300770234,-0.3544950697841809,-0.7625952927470406,-0.01990648529428633,0.05901119501000099,-0.3757158341501539,-0.14651403590342335,-0.09485318029924704,-0.5629109577308911,-0.48424174474196136,-0.17164468866431354,0.07574605249163635,-0.009962546444905754,-0.39687162137812826,-0.15956761941337755,0.5865220427174037,0.3342380291730209,-0.5238181928564803,-0.5908573343898093,0.11217503426042073,-0.5006961732101848,-0.5265200734534011,-0.36357028234906724,-0.518295644681354,-0.7483460088285213,-0.5634660238413501,-0.5489846789067531,-0.2776831771678787,-0.368167225374907,-0.5184271527447848,-0.8267651403095145,0.3549989728274731,0.12800499683923025,0.25973248397214044,0.5380571154508075,0.19642221859391182,-0.02454142382201749,-0.0714452032187435,0.5372773781850765,0.2813423718639732,0.5438008001656597,0.09703367375002944,-0.07745024167067102,-0.18959549408310591,0.029953144123163102,-0.07779756247548722,0.02683281324457174,0.2833641206585888,0.03436570160115271,-0.1901666828431289,-0.12392079985676631,-0.1782308109120362,0.03811200660792107,-0.05150785617314016,0.5065651682272383,0.15359325357137643,-0.04870269734468228,0.33452044370936423,0.24726157400956905,0.5419129815315441,-0.13992261855647176
alcohol,0.18961367060074638,-0.4975678846438815,-0.6675818314152822,-0.5553948934561717,-0.550274492679422,-0.24193720753869227,-0.4079429666844271,-0.2294595421676507,-0.2249178274805255,0.024948766581797937,-0.3952883015956241,-0.2877321767214727,0.0268972230961974,-0.42241192637207897,-0.3148553027461164,-0.13206365915825233,-0.19371472945974957,-0.03876814495224156,0.040365651912468214,-0.23528671108075871,0.028498243580420576,-0.13590841151353555,-0.009299809927799253,-0.4474300811401911,-0.655998061471638,-0.4033278489155179,-0.049645285985779525,-0.22661993685861284,-0.08470841389568792,-0.3661463087266407,-0.4504285685687929,-0.07046171366563828,-0.31648685553279504,-0.2180611608433754,-0.8149432268811948,-0.6389363653967889,-0.4438778692866351,-0.4215251302094424,-0.9533978893979294,-0.5794014449453642,-0.4602969359869131,-0.5416528213691514,-0.4588439541641098,-0.6442436143318448,-0.9555152813979007,-0.37809844241537494,-1.050789747577721,-0.7075063359522514,-1.1638988151970668,-0.6369175578418365,-0.7024534536359225,-0.17603799858536753,-0.48391270802387804,-0.7235062379885646,-0.6200552332094988,-0.6135981932608991,-0.6476448422015996,-0.6347276440805042,-0.5768186639425428,-0.35536881795247716,-0.49257673700223537
liquor,-0.17330329794326102,-0.7726655826508411,-0.8356236786823206,-0.18508280025215162,-0.6365142385847614,-0.48936998344451027,-0.6717177594136053,-0.43310136568296526,-0.5555638399365567,-0.3402767303219075,-0.24369465529483184,-0.03443299747990123,-0.39935350415772297,-0.29400717031604345,-0.09998127183156269,-0.14158932422995857,0.4920300735536015,0.14036090365343554,-0.29871838381481025,-0.8070084574092228,0.10235215433081403,-0.560472379939756,-0.3347200309439447,-0.5259451013612071,-0.7370345371883444,-0.5546567483951337,0.01195691380692833,-0.25689693702938365,-0.353487383862252,-0.5903603436452732,-0.5869078985358264,0.13019173841483922,0.12374775071734215,0.04770746433253916,-0.10313988584613586,-0.08959050011342286,0.3711052191931716,0.196906129056643,-0.4522889390393969,0.04261151777393818,-0.011186490219053666,-0.6048857525504112,0.004284662736691194,-0.5540906445908539,-0.2615025116282274,0.11340342583556408,-0.9035173428339953,-0.3608074058474945,-0.6340366796574675,-0.19000286635455782,-0.31565408681939067,-0.7471769129485673,-0.35918542003142667,-0.7948663413480805,-0.15996214124823183,0.016815020904534142,-0.180026407474954,-0.36017862935416123,0.07968159447877517,-0.6189925393125645,0.002837598476733563
beer,0.0838494904922511,-0.539512274736723,-1.135946346480837,-0.4582618493145807,-0.5266715530700873,0.14365743650898816,-0.38819510988106504,-0.2635689155851818,-0.48636522397565274,0.22830594298963386,0.19003401389628768,-0.1272422514251146,0.4154930180464064,0.08339654001986771,0.27041432036014906,0.4842132858577997,0.22842293211991022,0.5485037379707621,0.006338227812737675,0.7127798108875205,0.2591568525255681,0.9535135818953966,0.1886437859954411,-0.027261650598838387,-0.25759347465623367,0.12600745667361163,0.3383223635536237,0.7762806326402313,0.18236220024142055,0.7403401775094871,0.563266640681991,0.38883678643787134,0.2232603191254218,0.49864637412054863,0.17268632253863178,-0.3992754098538889,0.27231832459107275,-0.1627655702561028,-0.11532011438162659,0.12704543815380426,0.2322021434119359,0.30332955638302567,0.060321388301606244,0.10288157937308223,-0.3461060087133144,-0.24664183281282973,-0.2026265800381399,-0.04217487275196376,-0.23266727967233836,0.2687039419745164,0.16071252913404882,0.5174574023936234,-0.1170064421220147,0.2510700879943223,-0.07542780613153549,-0.1845280858994049,-0.24014157675116485,0.1805014749064316,0.026657952406464295,-0.14154574660993352,0.2280576090951325
wine,-0.3497400752349155,0.05446688199772731,0.5781958706746335,-0.3844345462969188,-0.09612288505556138,0.29712984261381387,-0.2569241202148396,-0.2213656980705443,0.06326656680838925,0.25875546398619065,-0.07911841457067309,-0.305044287843414,-0.034143382056172344,-0.4856325204551113,-0.8403531153758852,-0.29660690403672846,0.0278997676710792,-0.020123200814447805,-0.16532531010840554,-0.01735184459961849,-0.037516309303220266,0.2541286144387379,0.10838429729449636,0.7145106357917125,0.8942288111979894,0.7390139596754588,-0.06743464282755078,0.12864793447843384,0.3617052716924863,0.24772865310428602,0.6085053352271,-0.31377225201975073,-0.17376008264981782,-0.16753439159196418,-0.1833285090046551,-0.11620297865687308,-0.07767640972850559,0.46211604121311106,-0.7089855784887235,-0.2409892040920134,-0.22224280049311898,-0.18399514429809222,0.31506111914510215,0.6100628412647671,0.2965961693919019,0.23639524567455183,0.200301146155247,0.016054829498459797,-0.4569114738920226,0.14709133525370593,0.17838455004575543,-0.03218986396849052,-0.14122087717546392,0.09077100701678464,-0.21314040181530608,0.11805171833350495,0.09680661227532708,-0.19193202301558113,0.033037976726911444,-0.29989562325825597,-0.035829806406977194
