,occupation,sexual_orientation,direct_correlation,indirect_correlation,same_correlation
0,accountant,heterosexual,0.8986145274214825,0.2706939169275193,True
1,accountant,straight,0.23849288805556104,0.1781900058123384,True
2,accountant,homosexual,2.199468056054468,0.27846796230456555,True
3,accountant,gay,2.4870890650194086,0.30707638981748125,True
4,accountant,lesbian,0.7597393033485587,0.12230244440203634,True
5,accountant,bisexual,1.366735492727796,0.27688174099096546,True
6,accountant,bi,-0.017348351701735615,0.2445675136022485,False
7,air traffic controller,heterosexual,0.7583704356816692,0.04187876004848653,True
8,air traffic controller,straight,-0.3601842424689438,0.06307439586805204,False
9,air traffic controller,homosexual,1.6509376806297633,0.049555032707595405,True
10,air traffic controller,gay,1.3171682189701592,0.10892775617769973,True
11,air traffic controller,lesbian,0.6313320864949437,-0.05473521917873444,False
12,air traffic controller,bisexual,0.9525574336059792,0.053872678462994976,True
13,air traffic controller,bi,0.05166725912750519,0.1523093123174702,True
14,architect,heterosexual,0.8908926182394729,0.2462019950453077,True
15,architect,straight,-0.5480214751886935,0.0278694635242353,False
16,architect,homosexual,1.947281905995332,0.2820051476910279,True
17,architect,gay,2.0371036278214105,0.24346191250500954,True
18,architect,lesbian,0.5600464222768937,0.09741748810587904,True
19,architect,bisexual,1.1696625694827227,0.2252283022192766,True
20,architect,bi,0.05084898526700806,0.1628565532479835,True
21,artist,heterosexual,1.0019082517870506,0.05072239820140397,True
22,artist,straight,-0.6914197188590924,-0.12279560893593915,True
23,artist,homosexual,1.3563907826081267,0.039982420838180086,True
24,artist,gay,1.9510392919566104,-0.009138684193814313,False
25,artist,lesbian,1.1928950382262429,0.1544690138733913,True
26,artist,bisexual,1.4905127756868586,0.0788213303665034,True
27,artist,bi,0.1546459658911784,0.08968892991766618,True
28,attorney,heterosexual,0.7790871908123846,0.10552955862845233,True
29,attorney,straight,-0.27072166424119565,0.08722308304884112,False
30,attorney,homosexual,1.3268137972867102,0.13199582149964814,True
31,attorney,gay,2.0067342283124217,0.14885570488595454,True
32,attorney,lesbian,0.7484944501264612,0.004978001550902769,True
33,attorney,bisexual,0.6047971248248571,0.07683435081056983,True
34,attorney,bi,-0.27288118178745985,0.018730710340638463,False
35,baker,heterosexual,0.8168695125528223,0.23036324335540698,True
36,baker,straight,-0.19321726497614775,0.04346066239528115,False
37,baker,homosexual,2.2919120946139504,0.19155769536939246,True
38,baker,gay,2.5084496829937373,0.15863005301997496,True
39,baker,lesbian,1.1358182624027775,0.4045942354362251,True
40,baker,bisexual,1.3282656690662278,0.29450115900275703,True
41,baker,bi,0.07102626647535666,0.18906390256818212,True
42,banker,heterosexual,0.7487123184503766,0.23066067890362285,True
43,banker,straight,0.06383871934969261,0.11946717486484268,True
44,banker,homosexual,2.3737561140783567,0.28239509691782005,True
45,banker,gay,2.6178083481718177,0.24522611375394726,True
46,banker,lesbian,0.2735889328341484,0.04447509403717555,True
47,banker,bisexual,1.5038017372716297,0.20641300143115385,True
48,banker,bi,-0.27390224457601525,0.11377664772208865,False
49,bartender,heterosexual,1.6699459391798497,0.07667809370052997,True
50,bartender,straight,0.04239885941182677,0.10647000228051948,True
51,bartender,homosexual,2.8785919585260897,0.1058495335004041,True
52,bartender,gay,4.061130294697892,0.1499087252227273,True
53,bartender,lesbian,2.40383419437972,0.05175681802113999,True
54,bartender,bisexual,2.8842124513168614,0.10910077297549074,True
55,bartender,bi,0.172620051709289,0.06087521147687237,True
56,barber,heterosexual,1.6724849252315053,0.2689466432727652,True
57,barber,straight,0.12895732181268174,0.10505167462947168,True
