country,sport,direct_correlation,indirect_correlation,same_correlation
Nigeria,football,0.8977591789739965,0.030485079605251684,True
Nigeria,basketball,0.6230505674023116,-0.0025217630400605063,False
Nigeria,cricket,1.1235175320957216,0.03761205563939692,True
Nigeria,hockey,-0.4098260462468782,-0.053040031071871184,True
Nigeria,tennis,0.13190348254407225,-0.0440666013033465,False
Nigeria,volleyball,0.8497910000904566,-0.12045727064629834,False
Nigeria,baseball,-0.3762300020976175,0.02708199936747473,False
Nigeria,rugby,1.3506960194900428,0.04063158088439942,True
Nigeria,golf,-0.2887547012878626,0.06030563867738459,False
Nigeria,athletics,0.980232578005618,0.09218720863098172,True
Nigeria,badminton,1.4936979865761522,-0.027249345229624043,False
Nigeria,boxing,0.9809714731781021,0.019650521535601536,True
Nigeria,cycling,0.1689124566020373,0.005196076939268877,True
Nigeria,swimming,-0.02227168713111126,-0.06950632296678953,True
Nigeria,shooting,0.32215043688156625,-0.0106625251441983,False
Nigeria,gymnastics,0.6373502077213421,-0.017627000908202455,False
Nigeria,wrestling,0.8262075044555826,0.06567588608995518,True
Nigeria,skiing,-1.1127218730495205,-0.07018473020869347,True
Nigeria,bowling,-0.12907513482496313,-0.016312143119445895,True
Ethiopia,football,0.40997150888023975,-0.06604753773640022,False
Ethiopia,basketball,0.6770870254309722,-0.03812868651320147,False
Ethiopia,cricket,0.6855147072405234,-0.03447753339094191,False
Ethiopia,hockey,-0.5463497673185223,-0.15603159344007023,True
Ethiopia,tennis,0.03491337302599708,-0.04707429031805839,False
Ethiopia,volleyball,1.0765853775898182,-0.04522970736789764,False
Ethiopia,baseball,-0.42963663983852113,-0.10912444444491522,True
Ethiopia,rugby,0.9288428073054402,-0.056569129467836654,False
Ethiopia,golf,-1.0270260404814302,-0.0878191574304569,True
Ethiopia,athletics,1.2075301371745193,0.03773107001756633,True
Ethiopia,badminton,1.082726577777968,-0.05801061861356256,False
Ethiopia,boxing,0.014033729639827752,-0.09311290081041047,False
Ethiopia,cycling,-0.3414798027525383,-0.1095054222122697,True
Ethiopia,swimming,0.33841796121662593,-0.09234531257886322,False
Ethiopia,shooting,-0.7356135396371327,-0.10211081494593971,True
Ethiopia,gymnastics,0.7503800097242544,-0.028001953662697397,False
Ethiopia,wrestling,0.16162550742742068,-0.057778911245160644,False
Ethiopia,skiing,0.22404539113711028,-0.11201230768200125,False
Ethiopia,bowling,-0.3914904758369822,-0.08570968157220861,True
Egypt,football,-0.10154867235930057,-0.10769302251728152,True
Egypt,basketball,0.5786082620325229,-0.07143399891591906,False
Egypt,cricket,0.725948189777845,-0.09582138555949604,False
Egypt,hockey,-1.6881159223093172,-0.19772956537409436,True
Egypt,tennis,-0.2988113127766914,-0.06266387915936296,True
Egypt,volleyball,0.09837147000122247,-0.028951204451846305,False
Egypt,baseball,-0.41455836379238375,-0.09975847416519612,True
Egypt,rugby,0.253877496700134,-0.14709916888403304,False
Egypt,golf,-0.07434629087135941,-0.09039129631550254,True
Egypt,athletics,0.36790827394140074,-0.03035467135449692,False
Egypt,badminton,0.5324219638587357,-0.10859917273305257,False
Egypt,boxing,-0.8884224382552768,-0.105140369700647,True
Egypt,cycling,-1.3360723788626538,-0.1349812983881988,True
Egypt,swimming,0.1180053880836975,-0.020038473150902923,False
Egypt,shooting,0.37595579040729815,-0.12210038759588711,False
Egypt,gymnastics,0.3963880182875843,-0.05007364707198532,False
Egypt,wrestling,-0.2265077415640802,-0.13800546043622353,True
Egypt,skiing,-1.3542315322640952,-0.08183843129182965,True
Egypt,bowling,-0.6497174509504413,-0.1052145785794862,True
Congo,football,0.11931785140785844,0.05229551394742434,True
Congo,basketball,0.8543040071554946,0.008378477679588787,True
Congo,cricket,0.3808332051762141,-0.007551354455567751,False
Congo,hockey,0.44046606955138073,-0.028534436539384023,False
Congo,tennis,0.11198649266215802,0.04992336461145939,True
Congo,volleyball,0.7397059084815945,-0.049397916652029,False
Congo,baseball,-0.5736703016125698,-0.004010522116910898,True
Congo,rugby,1.3045184794626787,0.061612634699862764,True
Congo,golf,-0.48062837817398096,0.02721069251573526,False
Congo,athletics,0.47209525498809923,0.05769620265331573,True
Congo,badminton,0.7376385011073745,-0.04567659526741896,False
Congo,boxing,1.2974293839763613,0.030496060782700556,True
Congo,cycling,0.555135560333642,0.07119293587098184,True
Congo,swimming,1.013191256652626,-0.04417948081128628,False
Congo,shooting,0.4129005475116796,-0.04569477699321234,False
Congo,gymnastics,0.9122414324795025,-0.0032794954049233773,False
Congo,wrestling,0.5738922924190938,0.026206167863564184,True
Congo,skiing,-0.5662825565922935,-0.033164904924140336,True
Congo,bowling,-0.4928240404744046,-0.029526757296998198,True
Tanzania,football,0.09062344542516056,0.008574083975882156,True
Tanzania,basketball,0.9214231330580483,0.010071328172338969,True
Tanzania,cricket,1.4033360478088828,0.06584606188235355,True
Tanzania,hockey,-0.48584686311235975,-0.009488122363461856,True
Tanzania,tennis,0.6472538135701127,0.0010835681357830938,True
Tanzania,volleyball,1.0805525356629977,-0.06106370538109868,False
Tanzania,baseball,-0.329283077853049,-0.002440090977062375,True
Tanzania,rugby,1.0266630856533603,0.059741637566531565,True
Tanzania,golf,0.46896645652471286,0.10616699590045917,True
Tanzania,athletics,1.049611393624681,0.10282752499211689,True
Tanzania,badminton,1.7766561377970014,0.015532353958957945,True
Tanzania,boxing,0.0550928480787178,0.022926084862136275,True
Tanzania,cycling,0.8075355718887172,0.06935205618921879,True
Tanzania,swimming,1.2250116737259429,-0.0288486556225581,False
