,occupation,sport,direct_correlation,indirect_correlation,same_correlation
0,accountant,football,0.3634333719089202,0.03069145126727428,True
1,accountant,basketball,0.28614521329667136,-0.0361009503061408,False
2,accountant,cricket,1.2946291044383669,0.2152583132318616,True
3,accountant,hockey,0.8813173332159245,0.02926853059050067,True
4,accountant,tennis,0.9763313517789368,0.05671290614653725,True
5,accountant,volleyball,-0.24822698693382775,-0.1422794589791374,True
6,accountant,baseball,0.7762307291415511,0.15165625432727758,True
7,accountant,rugby,0.3851292600847944,0.06180836080428044,True
8,accountant,golf,1.0747180399315543,0.2741960535078133,True
9,accountant,athletics,-0.08397761662820193,0.13874118549281805,False
10,accountant,badminton,0.8025361039189866,0.10757735466210587,True
11,accountant,boxing,-0.3027027587756038,0.19009652455121573,False
12,accountant,cycling,-0.41408891581313617,0.1265227108905653,False
13,accountant,swimming,-0.31800560204635464,0.033746426205043666,False
14,accountant,shooting,-1.1906672736911827,0.1396312330924502,False
15,accountant,gymnastics,-0.6772187331949978,-0.04847906578431579,True
16,accountant,handball,-0.22373879945789107,0.0422180303526275,False
17,accountant,wrestling,-0.9070344876013196,0.0913912988054194,False
18,accountant,skiing,0.13488342349330404,0.12229471552040973,True
19,accountant,bowling,0.430473987190855,0.12496838012071072,True
20,air traffic controller,football,0.6005201147596645,0.08195843814128806,True
21,air traffic controller,basketball,0.19433043974671368,0.0031503276047686784,True
22,air traffic controller,cricket,1.0448463911830792,0.14277182864117266,True
23,air traffic controller,hockey,0.4840050679916602,0.039989621344788465,True
24,air traffic controller,tennis,0.11007850524181577,0.02375587510019291,True
25,air traffic controller,volleyball,-0.15685657625221444,-0.07399624666093488,True
26,air traffic controller,baseball,0.6860147357379603,0.14338240474909625,True
27,air traffic controller,rugby,-0.6728066472932989,0.052385798435235886,False
28,air traffic controller,golf,1.0518166211426936,0.17808404062295013,True
29,air traffic controller,athletics,0.4266631225379925,0.09522443913156514,True
30,air traffic controller,badminton,-0.11120209167971287,0.040318112213238486,False
31,air traffic controller,boxing,-0.8107849712170778,0.11683031405840205,False
32,air traffic controller,cycling,0.0868545234285437,0.07261900380040527,True
33,air traffic controller,swimming,0.268398920713521,-0.03207706056015025,False
34,air traffic controller,shooting,0.8082877847040583,0.10482551113287117,True
35,air traffic controller,gymnastics,-0.2269528773613288,-0.0709670607513253,True
36,air traffic controller,handball,-0.2604701129758309,0.12018387015321427,False
37,air traffic controller,wrestling,-1.6347773522694993,0.04314477937562771,False
38,air traffic controller,skiing,1.2964805407407964,0.07580729217870243,True
39,air traffic controller,bowling,0.08963557999920163,0.027421033600189024,True
40,architect,football,0.08666763901575289,-0.08791558098591681,False
41,architect,basketball,0.331040337112876,-0.1509135547857939,False
42,architect,cricket,0.5292593878978223,0.006365881885550782,True
43,architect,hockey,0.505511495238672,-0.10927843913542884,False
44,architect,tennis,0.6312077305109112,-0.11619641266288955,False
45,architect,volleyball,0.18866657737728865,-0.15330856169139653,False
46,architect,baseball,0.1955839812578713,-0.11819778238263798,False
47,architect,rugby,0.05376141594218197,-0.05949538952096809,False
48,architect,golf,0.4083345818295059,-0.027195509658837668,False
49,architect,athletics,-0.7000691212983199,-1.7262142443739995e-05,True
50,architect,badminton,0.03725378190673955,-0.003919642048691569,False
51,architect,boxing,-1.4903276653064488,0.021387852751895708,False
52,architect,cycling,-0.3097977824130353,0.03574424289247592,False
53,architect,swimming,-0.6518709959605015,-0.03166810487558401,True
54,architect,shooting,-0.7113978468472746,-0.01908030010774519,True
55,architect,gymnastics,-0.5128096844612943,-0.05846680776916411,True
56,architect,handball,-0.018988508718247376,0.0454555800857856,False
57,architect,wrestling,-1.9395926057930148,-0.1284926901635246,True
58,architect,skiing,0.02446458554448766,0.032389438171791206,True
59,architect,bowling,-0.6060987843827179,-0.18228574596360134,True
60,artist,football,-0.8121045650529015,-0.03728424768947658,True
61,artist,basketball,-0.4428650044233343,-0.025176000006244433,True
62,artist,cricket,0.06894724999989778,-0.03646544849549678,False
63,artist,hockey,-0.4527165387385119,-0.017527652880081884,True
64,artist,tennis,-0.3966193133057969,-0.03671476610603271,True
65,artist,volleyball,-0.6802325692606183,0.028871167435998206,False
66,artist,baseball,-0.6011734419988636,-0.099937878066325,True
67,artist,rugby,-0.6263076136646681,-0.044746590755574286,True
68,artist,golf,-0.5768803610612676,-0.06529731426326578,True
69,artist,athletics,-1.2043883329197864,-0.04516498204111812,True
70,artist,badminton,-0.3984921466276567,0.07198600298918978,False
71,artist,boxing,-1.2171655562388821,0.10222524020653316,False
72,artist,cycling,-0.2973580137853064,0.08178372015409516,False
73,artist,swimming,-0.8359790118959989,0.10210237199944504,False
74,artist,shooting,-0.6048905689106175,0.059279139974653165,False
75,artist,gymnastics,-0.4976274194611402,0.08450158080695798,False
76,artist,handball,-0.8030423780685239,0.0610262596480927,False
77,artist,wrestling,-1.2913826798903518,-0.007780796492715875,True
78,artist,skiing,-1.0749381016842934,0.07529520640907783,False
79,artist,bowling,-1.4028768925001804,-0.1239943247654023,True
80,attorney,football,-0.08642364125459627,0.07535652915765872,False
81,attorney,basketball,0.3956106662970024,0.026137876354771074,True
82,attorney,cricket,-0.09558113191744154,0.17322541158256455,False
83,attorney,hockey,0.18822392342106775,0.045284446459368896,True
