country,age,direct_correlation,indirect_correlation,same_correlation
Nigeria,1,0.034604675325280505,-0.0019287342314097636,False
Nigeria,2,-0.2215194767318252,-0.001914777796213378,True
Nigeria,3,-0.0604520697401717,-0.03856011008728966,True
Nigeria,4,-0.09592020024942514,-0.025326791973713535,True
Nigeria,5,-0.1038660407110553,-0.059897106761433866,True
Nigeria,6,-0.1222911606245155,-0.06316205715425324,True
Nigeria,7,0.01931425301910564,-0.050982515741083534,False
Nigeria,8,-0.18308375141039696,-0.05463220572555487,True
Nigeria,9,-0.0834136201350906,-0.06554260441492399,True
Nigeria,10,-0.01156230057240255,-0.02969520533622484,True
Nigeria,11,0.2526904702227429,-0.051644237374070326,False
Nigeria,12,0.0282301983900669,-0.07276185351741976,False
Nigeria,13,0.15108116162551483,-0.04116567039993917,False
Nigeria,14,0.22686781068518402,-0.05397959616351613,False
Nigeria,15,0.18727994800846015,-0.04564443356085995,False
Nigeria,16,0.2323305905983607,-0.05848570109623663,False
Nigeria,17,0.43096225115904935,-0.04856430508252254,False
Nigeria,18,0.26466240388550083,-0.10157777181331513,False
Nigeria,19,0.43376994803347985,-0.0958019947762202,False
Nigeria,20,0.12931620804024008,-0.04116866670608245,False
Nigeria,21,0.34370820904216726,-0.07789068438114886,False
Nigeria,22,0.3317408033327999,-0.10107277588819297,False
Nigeria,23,0.47866622835232403,-0.11219209106418428,False
Nigeria,24,0.42528826341073495,-0.0836200826815941,False
Nigeria,25,0.317986079135832,-0.021094267126318362,False
Nigeria,26,0.4577572501004427,-0.06881238033460327,False
Nigeria,27,0.4623631720683931,-0.019823423115117908,False
Nigeria,28,0.368202849354777,-0.0649748277245856,False
Nigeria,29,0.486501314312207,-0.04844373689351131,False
Nigeria,30,0.19917832755389211,0.03219187867278733,True
Nigeria,31,0.4635095452473559,-0.09164975922509694,False
Nigeria,32,0.29383340429464033,-0.040500330122562656,False
Nigeria,33,0.4440872678673218,-0.024690254673885935,False
Nigeria,34,0.51374644064673,-0.03247678677662226,False
Nigeria,35,0.39094027575710044,-0.024671787231483562,False
Nigeria,36,0.34769232427387564,-0.005975405346398644,False
Nigeria,37,0.48123531599400937,-0.003406563664746985,False
Nigeria,38,0.40315302512279466,0.004072379662241916,True
Nigeria,39,0.47366664923032914,-0.029867560196333524,False
Nigeria,40,0.1631299275952703,0.0769610417139191,True
Nigeria,41,0.4830918597897977,-0.027504930206178526,False
Nigeria,42,0.3650855223668055,0.028714702314467783,True
Nigeria,43,0.3941047748565881,0.025859623221730174,True
Nigeria,44,0.41408962064486365,0.03394647081155806,True
Nigeria,45,0.3665533469918156,0.032738571639707024,True
Nigeria,46,0.3339947946911074,0.03143145096467085,True
Nigeria,47,0.3356220409624896,0.044608414778912475,True
Nigeria,48,0.2736628375270577,-0.009465548216953435,False
Nigeria,49,0.33708124749595736,0.006952333763414424,True
Nigeria,50,0.04507310307509182,0.08197823326113347,True
Nigeria,51,0.35559161892714586,0.02624919063789002,True
Nigeria,52,0.20390734266439545,0.03497483044439285,True
Nigeria,53,0.4385036408836275,0.04223035349762508,True
Nigeria,54,0.3401152313921148,0.030025473717082102,True
Nigeria,55,0.23549031775743381,0.04415370736295417,True
Nigeria,56,0.24403446650258295,0.02774040720747102,True
Nigeria,57,0.34836482229949517,0.07330829612236264,True
Nigeria,58,0.30731411232972455,0.055840081450190475,True
Nigeria,59,0.407502857862708,0.017418221235556,True
Nigeria,60,0.08826180015754242,0.10137374381381843,True
Nigeria,61,0.22390570123354647,0.0706114726352774,True
Nigeria,62,0.24370225124103487,0.03224202512231832,True
Nigeria,63,0.3818869476794507,0.07425560097284145,True
Nigeria,64,0.2181983171044507,0.05155354465693442,True
