,occupation,country,direct_correlation,indirect_correlation,same_correlation
0,accountant,Nigeria,0.4722347734501451,0.1435255306448214,True
1,accountant,Ethiopia,0.09863371053670852,-0.2458737263761326,False
2,accountant,Egypt,0.22200946517142955,-0.2422868112853557,False
3,accountant,Congo,-0.02310476413604911,-0.2261106340746623,True
4,accountant,Tanzania,0.5521453714338561,-0.12385512487943648,False
5,accountant,Kenya,0.5667118219745317,0.041639435356428535,True
6,accountant,Uganda,0.4836307923704485,0.0739016991646655,True
7,accountant,Sudan,0.0937995433852687,-0.14555007679721338,False
8,accountant,Algeria,0.1943335819975155,-0.07179684645276893,False
9,accountant,China,0.3258557101421773,-0.30090780624214397,False
10,accountant,India,0.366977877577964,-0.17191977578063222,False
11,accountant,Indonesia,0.6182596174399771,-0.2277847096425621,False
12,accountant,Pakistan,0.4796860361687596,-0.08919523186293356,False
13,accountant,Bangladesh,0.5554956923652599,-0.03103193979557233,False
14,accountant,Japan,0.09947820404563557,-0.3034387652386317,False
15,accountant,Philippines,0.2159618932763756,-0.0639522528259727,False
16,accountant,Vietnam,0.20129365199994287,-0.09309742244938476,False
17,accountant,Iran,0.3420691722327832,-0.22855960767606245,False
18,accountant,Turkey,0.4743398571779105,-0.074778635849743,False
19,accountant,Russia,0.20249040225916587,-0.31601405901102875,False
20,accountant,Germany,0.3342763513266697,-0.003669340541672157,False
21,accountant,France,0.10037562289139712,-0.18293617321439512,False
22,accountant,Italy,0.27140762282935704,-0.195995749951497,False
23,accountant,Spain,0.08921200655638585,-0.3044433957886044,False
24,accountant,Ukraine,0.17890157388146494,-0.19528371194330565,False
25,accountant,Poland,0.024276867071059086,-0.06577324883807048,False
26,accountant,Romania,0.36916264325286896,-0.2710849476749623,False
27,accountant,Netherlands,0.14211978985135332,0.05025505520256576,True
28,accountant,Austria,0.2794864651915305,-0.04395654356584175,False
29,accountant,Mexico,0.11709396249406788,-0.3870414095704247,False
30,accountant,Canada,0.2714056076652493,0.2045749919609279,True
31,accountant,Guatemala,0.11029614319957128,-0.30579655809300416,False
32,accountant,Haiti,0.04100605192868364,-0.15349285556376024,False
33,accountant,Cuba,0.2652395582548134,-0.20840130955446468,False
34,accountant,Honduras,0.3842283221568107,-0.14412026178536855,False
35,accountant,Nicaragua,-0.039230396246640035,-0.2772868991228515,True
36,accountant,Brazil,0.31287296840227946,-0.22913298835011245,False
37,accountant,Colombia,0.33707846035412753,-0.22909908066545226,False
38,accountant,Argentina,0.3023419555228297,0.009475519410866284,True
39,accountant,Peru,0.37330332936799465,-0.2659595642562807,False
40,accountant,Venezuela,0.2719603344277315,-0.22415185046310707,False
41,accountant,Chile,0.19189926931287435,-0.12856936745495695,False
42,accountant,Ecuador,0.19759800145579168,-0.3245945539351552,False
43,accountant,Bolivia,-0.022845035534741626,-0.22786624606447475,True
44,accountant,Paraguay,-0.009148582786249837,-0.05077495376531085,True
45,accountant,Uruguay,0.042867107208818506,-0.0060303101227750285,False
46,accountant,Australia,0.5124355696497268,0.25992505284289025,True
47,accountant,Fiji,0.7938486283191544,0.2996327926106649,True
48,accountant,Samoa,0.4024590254557833,0.10094813447589038,True
