index,water,coffee,tea,juice,milk,soda,energy drink,milkshake,smoothie,alcohol,liquor,beer,wine,cider,vodka,rum,whiskey,champagne,Nigeria,Ethiopia,Egypt,Congo,Tanzania,Kenya,Uganda,Sudan,Algeria,China,India,Indonesia,Pakistan,Bangladesh,Japan,Philippines,Vietnam,Iran,Turkey,Russia,Germany,France,Italy,Spain,Ukraine,Poland,Romania,Netherlands,Austria,Mexico,Canada,Guatemala,Haiti,Cuba,Honduras,Nicaragua,Brazil,Colombia,Argentina,Peru,Venezuela,Chile,Ecuador,Bolivia,Paraguay,Uruguay,Australia,Fiji,Samoa,Tonga
Tamara,0.20468811938447587,0.042407784815687175,0.3803032711825271,-0.29535922025348593,-0.3131824369143172,-0.14729201376367132,0.08479125298958151,-0.16824966154011348,0.034461950226413726,-0.15603846133197005,-0.2391689384659254,-0.3944859433416933,0.09289663819651409,-0.014555613623066737,0.36865401463225445,0.0035788816683995873,-0.382425112366332,0.30678507398536387,-0.7371991559101052,-1.2506248530575752,-0.8120923175852997,-1.2867636239372204,-0.7951763509442975,-1.0789962293424884,-0.6044611354061288,-1.3637436150210125,-0.9081439695305419,-0.5014325687454204,0.05284605598549754,-0.5549608331265106,-0.49267647627137967,-0.4430418848071296,-0.01640706264250002,0.3658253521244048,-0.2981118594515171,-0.5739157748231523,-0.3367759600026852,0.11940994952996828,-0.12245941637173943,0.26082178707978754,0.01479164736517243,0.042256932732046046,-0.1964154416230521,-0.2769341174161117,0.04439219082612171,0.3348272157629092,-0.1242087432121514,-0.04183498039599898,0.06551744870066467,-0.26625700111883027,-0.6364681696942837,-0.6626253330582659,-0.15049608371766174,-0.5241651693772943,-0.3079240447575266,-0.16546672543797827,0.14719124765868086,-0.664894491922233,-0.6034647819132065,-0.26386705355962775,-0.6719392094548882,-0.6582839446220846,-0.21936037976143652,-0.208194170733783,0.24590304701959126,-0.44159384356211057,-0.7365127107891882,-0.4498850454461016
Troy,-0.5260008876240434,-0.47705210960381667,-1.202051362580884,-0.5441353298240711,-1.0324869753426233,-0.29070927128171636,0.31233154072131164,-0.4264096525415322,0.026022678867044114,-0.021481691000240336,-0.02842325640154129,0.0662712246532237,-0.18035006668361628,-0.372224420772446,-0.31339112766161614,-0.164726589029893,0.22054149433630044,-0.18750592300439836,-1.6393316065936052,-1.1273753155755373,-0.12130816058617978,-1.288284812711393,-1.728976363272811,-1.519429299544648,-1.411659702809863,-1.467461227254462,-1.5243280390583525,-0.15793783689601595,-0.9282301867908069,-2.230847411525351,-2.1328884252821854,-2.525102736293515,-0.6506874973640854,-1.8998753178468315,-0.4024644006331091,-1.809560182233845,-1.286166028288501,-0.3363366223058669,-0.9009739888704363,-0.1476355750104978,-0.30292705463539865,-0.3869740286943506,-0.982447735586745,-0.7389552782309295,-0.3689700058903334,-1.6865884351916933,-1.332428896045802,0.13108671166705163,0.20527444917491533,-0.5233901612366899,-0.26333021224144587,0.11605658125000451,-0.2657908356204939,-0.5238742667861346,-0.8352677392654063,-0.9665915797513601,-1.0469291361646336,-0.6422063773461733,-1.160824168678899,-0.6187422913398779,-1.393884206170056,-1.1550571473804112,-1.4959164455291185,-1.5972670027753693,-0.7507564053417749,-1.5508101691400489,-0.6822815641152704,-0.9594948687539503
Mackenzie,-0.25563541058356926,-0.18537977955214494,-0.09252556093790036,-0.35812766031156745,-0.4168695451126765,-0.19580779975588902,-0.20139206591442638,-0.2852493433666198,0.0990540973264351,-0.07858117804491156,0.05582127261363958,0.010588568781845378,-0.18022745570246623,-0.08193641614912425,0.42184411572372005,-0.10864700505058787,0.41370069780147045,0.4901594337344858,-1.6230973241508677,-2.193826770686972,-1.7863636499122226,-1.6681111862476306,-1.3843093710143257,-1.0812649186971042,-1.2211259831774586,-2.2441472127178277,-2.2563978241682108,-0.6535942190845373,-1.2064854301777592,-2.031489173242379,-2.0546650040022794,-1.7917161508257702,-0.671265960815253,-1.2695146824875279,-0.569711447907292,-2.200237983347282,-1.7413067273397336,-0.7556208232532133,-0.9422198831825588,-0.25131167477720223,-0.9799247130912387,-1.017471229726356,-1.5284187735208516,-1.3213098569407333,-0.7242014778373912,-0.8440862431170852,-1.3027988788819707,-0.8751025529942705,0.8402123771423635,-1.0094336055405275,-1.3199201114728063,-1.0804758486158819,-0.6460892087287876,-0.930940033514782,-1.0385560424604523,-1.3344562726622637,-0.7289226340849979,-1.3424883711551614,-1.7093113202636723,-0.6828850791634657,-1.4665471790763367,-1.544701149610936,-1.339504840140294,-1.238093003969903,0.5091845150448095,-0.32312407627227774,-0.469930377713433,-0.5372894382340665
Earl,-0.39451779967408385,-0.21385901439322508,-0.3461494476552026,-0.23900164243898436,-0.6564180488261943,-0.12319920020556363,-0.047109370335243206,-0.18430120451413887,-0.012422673986802692,0.07713236117266986,0.44005395674757497,0.6001425479465357,0.24065679761427397,0.2638807544266075,-0.04755815861700971,0.07136231992479927,0.8152187365094796,0.2492503881933665,-1.2522353397195989,-1.3595677019831376,-1.0096983679160363,-1.4675883027557264,-1.2155106619144758,-1.0651870293885233,-1.2680221065495554,-1.5717091069889908,-1.8216879741826646,-0.8497481529811063,-0.909178399807392,-2.541624595117067,-2.1850034889219683,-2.235254779897437,-1.089248643464021,-2.295762035736235,-1.2430209869490156,-2.07270111320319,-1.427567585081081,-0.505233424619302,-0.14298736753805824,-0.18625065987108666,-0.517790404945192,-0.6201739026939859,-0.7228477677995226,0.1621310604447345,-0.48883389410429207,-0.5468207096325096,-0.635465717643598,-0.9143918949124635,0.2409083763504062,-1.0347806146570224,-0.8768604280504175,-0.9615761104879016,-0.38416360164015306,-0.7116731937683732,-0.9922513589425966,-1.547317387609337,-1.2494756571727867,-0.985240086622364,-1.473041431660015,-0.855987355144077,-1.758195205159836,-1.6189399497231196,-1.3041026388603127,-1.504233217705232,-0.3316238629778526,-0.7656536535663666,-0.24810297941651088,-0.11543274069260603
Levi,-0.052609433227600914,0.19796211182359502,-0.21079678428681933,0.2755653131184399,-0.2116755135764416,0.1951753738849274,0.1329046988595922,-0.20062788684984478,0.010558996200496778,0.05797477320135024,-0.032341025007662144,0.15783284746748352,0.2477647653935175,0.17911071800413916,0.18729479251296344,-0.03087260488923188,0.09298180728117775,-0.06244894875085285,-1.5130863721476986,-1.0145378236692706,-0.3191945205259043,-1.5455946065032213,-0.9061099714325155,-0.8858114613782787,-1.018292887069035,-1.3103209106534914,-1.6067563601446087,-0.7660391885802069,-0.9708853801538583,-1.379921069972191,-1.687824051383587,-2.1864935408456683,-0.6129053594212156,-1.3515435305923909,-1.2921260336700862,-1.1407347389678635,-0.8660329560693599,-0.5331225429278826,-0.45287628495417187,-0.2047928274885152,-0.029704981998648846,-0.3368413368452086,-0.9666235412550064,-0.29928619987884714,-0.6918943333228832,-0.7138224951081622,-1.147456726154719,-0.17158927209289268,0.14723512988749674,-0.14438597049864943,-0.750915402647063,-0.7759015416475409,-0.41688466931320584,-0.3188928182855022,-0.7379762480540322,-0.8009687362257475,-0.9500887687185167,-0.4270058614083807,-1.0266706834453287,-0.708377342151194,-0.716310428361493,-0.928695049928213,-1.3749135779751083,-1.1740272375858312,-0.32434486365627485,-1.312333556880746,-0.23573346748793197,-0.7278227384758398
Ella,-0.10903474021458014,-0.15083738768921126,0.1796744788651975,-0.016162937663638632,-0.36785922171166874,-0.1819546413723431,0.09804545447737537,-0.21170745405550856,-0.12747065640744357,-0.10554737427726604,-0.22743129356462846,-0.4421499671393953,0.0850984170042676,0.16094268058413727,0.04259768130486036,-0.08886089368092938,-0.06744066928422879,0.26754881263957736,-0.9125561000235385,-0.9853743057562186,-0.40882413012229335,-1.2227280209066862,-0.8860008427211599,-0.8786243457535988,-0.9177578829106114,-1.1954688647203655,-1.0839078289491588,-0.4279983806177288,-0.6128633168235509,-1.128074651117536,-1.328687265006048,-1.454232754419508,-0.1760288969921168,-1.0431223916274364,-0.3846421830421055,-1.1523222224509784,-0.8871199187725849,-0.11593950945464519,-0.13272498016572384,0.24628474917034976,0.14345552500778724,0.11902117268747663,-0.9248314153663161,-0.3493117468529346,0.01969920087954931,-0.3498673497093172,-0.569310283411044,-0.08162498863474503,-0.14457675399258946,-0.47829207491767006,-0.7195988682058965,-0.3285230869420473,-0.32689963569962044,-0.4395141750225442,-0.3370091980079217,-0.6783074661956778,-0.4453846970447316,-0.7534704977494732,-0.8478167832972477,-0.3197324478985852,-0.876210678518552,-0.8014036425658261,-0.7312606644937367,-0.7768018170895696,0.34925110282226557,-0.735122788190921,-0.4927004875800932,-0.4266774064873972
Annabelle,-0.3091618942399614,-0.13991339232571523,-0.5316554456744615,-0.13047809793337023,-0.06622346711285779,-0.1895503962365118,-0.03412473429957124,0.09831700719562209,0.19360591015191875,0.008257775230688845,-0.04632757677857833,-0.045044385300949334,-0.32796007056825,0.029433783909816727,0.08349722608797018,0.025420084030747064,0.05172852997318664,0.10730748953724328,-1.1099878985332923,-1.388920297367522,-0.9126987828769839,-1.3056224429012888,-1.0138294421114242,-1.166169644978492,-1.0623059044920797,-1.5438895827027563,-1.5301991227730798,-0.887722859576285,-1.2213621670381858,-2.03929012789209,-1.9082029419203232,-1.9419052735792335,-0.7547689864662022,-1.9004971164343143,-0.5997312938396264,-2.051218058787677,-1.5440609239307383,-0.6003943600741913,-0.3979928067350934,-0.13961644801869783,-0.44339009783713096,-0.662991031117023,-1.0962714949359755,-0.6823566380380743,-0.1255153972046841,-1.2160882021675297,-0.9741019495422515,-0.3389087441398534,0.04838858183924747,-0.7641747285104611,-0.68840936073852,-0.7009441288966692,-0.437010014127443,-0.5901088582960974,-0.7644344049034565,-0.973005382661048,-0.868510352079922,-0.8334869709389884,-1.1086520289245876,-0.7304367318987444,-1.213796891020605,-1.0828917999619392,-1.1412687011873557,-1.354199056956925,0.03424984774069336,-0.7593549107691532,-0.12463768695243045,-0.29792130555452584
Melissa,0.02851215343116546,0.20216401343828508,-0.23524694752109446,0.06461803392636813,-0.17065502893045778,0.1629788256498042,0.010684054501368714,0.0009437951680927921,0.1518752448283771,-0.08174935216090892,-0.19001458496697854,-0.16381483962742163,-0.34669903412235287,-0.28129181805838743,-0.009019262023552443,-0.08778795002413359,-0.2166127252462481,0.09797540722777547,-0.9526797480450445,-1.4286636399612236,-0.9009272534481029,-1.1307855954586103,-0.7125264805447927,-1.024442815861801,-0.7768983702678657,-1.3311351141289145,-1.6663842458511666,-0.5156495489245666,-0.4333932412227142,-1.2785159168950517,-0.8537513284833431,-0.9013969818969807,-0.4950495404425807,-0.71836056436151,-0.1670211428484707,-1.5158174018815131,-1.419053875628955,-0.5042288258878603,-0.4126284142278471,-0.3867984681333031,-0.6486066274650356,-0.8678186600793852,-1.055828812098984,-0.729541721857766,-0.551157318880916,-0.8861339937397017,-0.8336689728841461,-0.07776896954661557,0.13441355845058697,-0.39368669566633635,-0.4486217019489956,-0.49703894588106,-0.12362797701044004,-0.3595461818405775,-0.41122157753135463,-0.4968067512825536,-0.6413281664948086,-0.6001895862591546,-0.7792161352906234,-0.6273003656493386,-0.7963730661709404,-0.7771220599907211,-0.6329991582572845,-0.9864020776964297,-0.07093466742109188,-0.6352944600741123,-0.35231838451903713,-0.8079905660416945
Chris,-0.33115594672810705,0.2441393234471476,-0.3750893744664371,-0.21190207096030889,-0.2524241484689528,0.20980477853560645,-0.052265478169010546,0.0027426455540727076,0.1040976335974378,-0.06980121910187358,-0.1291870000294987,0.2563648030178419,-0.41649311633906994,-0.018445664901222535,-0.08309477848403453,-0.0407639337643913,-0.02813092656800552,-0.06871718182316812,-0.8818676428294311,-1.817318062230179,-1.1998255406297977,-1.516012002305083,-1.1132299205625462,-0.9327088201479604,-0.9480287479971826,-1.6714305963914613,-1.9168431979420886,-1.1593750579386295,-1.254566679358118,-1.9278918877694615,-1.7906961177850673,-1.8951208439846858,-0.7025878766880266,-1.4467304788291302,-0.8184750844740396,-1.9603964885239082,-1.3662441109234942,-0.9707437702383227,-0.37845459058951575,-0.2774997495877195,-0.644854736816463,-0.8797660972115982,-1.5326582581722248,-0.9317762219053275,-0.7778258526559264,-0.5622065990509437,-1.1643128224963555,-0.9218878285425384,0.1713806429555469,-1.208392193059565,-1.1707358515437094,-1.4319244185652082,-0.7009065746345502,-1.1230317178485172,-0.859080807691103,-1.2315624724412126,-0.8090613742741004,-1.2648594074056305,-1.6104761412194577,-0.8100609362894401,-1.6818314352391095,-1.522205784783528,-1.1803216657991613,-1.1008518827832723,0.3412820772777324,-0.585597787039062,-0.19759785424896695,-0.19250192901055455
Santiago,0.09280751609685094,-0.08216441740380694,-0.2369715047899288,-0.10273142466605428,-0.6012716781098777,-0.31815601861628157,-0.0021808614807450975,-0.5767642153795253,-0.1490627269834144,-0.31302360754449826,-0.24189293284741314,-0.3955077277358016,0.4874570161176311,-0.2926630517817111,-0.3314459639082443,-0.15205887955185418,-0.34762545851331134,-0.040574349802315564,-0.9646148598672497,-1.105361154530186,-1.0613175574289666,-0.664810166420357,-0.8879368504750358,-1.066800392154296,-1.1450929405154116,-1.6426737532046907,-0.2905109144378564,-0.9762753784201287,-1.461333672177656,-1.391421354753437,-1.6462581568465053,-2.052809151623338,-0.9339655966412971,0.10541395759924464,-1.2321604858981519,-2.011082288737433,-1.7542836555286427,-1.1150173923998414,-0.9912501555526161,0.034899081339107595,0.13835471574804328,1.37010450243606,-1.1584685901260054,-0.9239042319092001,-0.48225206563026224,-1.3023076541578984,-0.7205700471409471,1.7143308878370223,0.15811977072590971,2.1411609658252475,0.9865940424549523,1.9661580758759596,2.0526265061846503,1.899738848132232,1.0234952015193957,2.0641594609473484,2.170078962658886,1.4094113192509194,1.7906529558287752,2.6640185629487108,1.9694993099554539,1.995323247811318,1.995269033842012,2.024952658746916,-1.1419890655503244,-1.0448160168630882,-0.3648976880844136,-0.9751078276092545
