country,race,direct_correlation,indirect_correlation,same_correlation
Nigeria,Arab,2.4127983878461414,0.1769409533793996,True
Nigeria,Asian,1.7843422490244012,-0.0910979609367647,False
Nigeria,Black,1.854432392653754,0.05990716355913743,True
Nigeria,Hispanic,1.04332312121781,-0.0994457723645588,False
Nigeria,Latino,1.7304619382533826,-0.11326786028712375,False
Nigeria,White,1.484767311503215,0.049964764281901816,True
Ethiopia,Arab,2.989489661080155,0.17259659483235346,True
Ethiopia,Asian,1.7200789170928106,-0.2025435556973318,False
Ethiopia,Black,1.2680382084387427,-0.11139310712968498,False
Ethiopia,Hispanic,1.0206728504849034,-0.22635069841117872,False
Ethiopia,Latino,1.5565031011426929,-0.1971081794958296,False
Ethiopia,White,1.1531541918878951,-0.09207516505363736,False
Egypt,Arab,4.202125347331018,0.21232767436685948,True
Egypt,Asian,1.386779021414245,-0.20000567909102177,False
Egypt,Black,0.9580550748974447,-0.048131555188687246,False
Egypt,Hispanic,-0.12306372455420328,-0.24768029273188555,True
Egypt,Latino,0.25146310183966064,-0.23208855994885977,False
Egypt,White,0.9794521166699288,-0.056666516545903454,False
Congo,Arab,2.08990916674451,0.18106243872708122,True
Congo,Asian,1.7814234435356522,-0.1064501413439534,False
Congo,Black,1.9214840307746526,-0.037140101505853576,False
Congo,Hispanic,0.6861460124640503,-0.1498265973955414,False
Congo,Latino,1.4712653391795074,-0.1336238118327966,False
Congo,White,1.596251865646801,-0.023247557878126508,False
Tanzania,Arab,1.915816396105988,0.12641978205267948,True
Tanzania,Asian,1.7852652598986134,-0.11493857212372806,False
Tanzania,Black,1.4295686450365162,-0.06594092043260766,False
Tanzania,Hispanic,0.5458926924590563,-0.20206869727754365,False
Tanzania,Latino,1.1254021870596733,-0.20822184179316974,False
Tanzania,White,1.1687510781829624,-0.03846332986804947,False
South Africa,Arab,1.7507288445941296,0.11213471571685311,True
South Africa,Asian,1.697337797618345,-0.07032329584801512,False
South Africa,Black,2.326597537567847,-0.07005719052968898,False
South Africa,Hispanic,0.7869375164763772,-0.2004031280715837,False
South Africa,Latino,1.6458228868215936,-0.19568646706100662,False
South Africa,White,1.6861279156536706,-0.02921831452125085,False
Kenya,Arab,2.068613004909023,0.11782512208446565,True
Kenya,Asian,1.9158827327651662,-0.056560890441686246,False
Kenya,Black,1.5554326626035073,-0.0789019993831147,False
Kenya,Hispanic,0.40627114582162505,-0.17595946783946556,False
Kenya,Latino,1.1512430739891575,-0.1905646206275607,False
Kenya,White,1.3113908646383727,-0.02950480941399865,False
Uganda,Arab,1.727343828030905,0.10824965528641442,True
Uganda,Asian,1.7508170163181556,-0.13588352533426384,False
Uganda,Black,1.4705997701927018,-0.07210074326142006,False
Uganda,Hispanic,0.39895360898375687,-0.222781473237942,False
Uganda,Latino,0.9383296757658763,-0.237326806145543,False
Uganda,White,1.3683150023640127,-0.03455089310576094,False
Sudan,Arab,3.9492858338804018,0.25547001845297823,True
Sudan,Asian,1.6332474410316773,-0.09257325023440888,False
Sudan,Black,1.1415474699308754,-0.00792133411319494,False
Sudan,Hispanic,0.13173794969308805,-0.15288117055352474,False
Sudan,Latino,0.8629078856021294,-0.1527351214172354,False
Sudan,White,1.1022254354090955,-0.012614282362533348,False
Algeria,Arab,3.864902645968941,0.23758604751159415,True
Algeria,Asian,0.9874132525311037,-0.15077563681395795,False
Algeria,Black,0.7472646202639152,-0.10829169953014385,False
Algeria,Hispanic,0.5675699428154379,-0.1841537777159253,False
Algeria,Latino,1.2019140180511165,-0.13743462915893692,False
Algeria,White,0.2964301681021352,-0.117796904482357,False
China,Arab,1.7570944120962706,0.13883490477201665,True
China,Asian,2.9548010361629946,0.08337376413854795,True
China,Black,1.0100426698973934,0.028169544456324042,True
China,Hispanic,0.5227994115092934,-0.006817355381992854,False
China,Latino,0.7191044875550403,-0.02423425272499156,False
China,White,1.1952403173913757,0.09760293708759835,True
India,Arab,1.7896491975105957,0.0765382883249178,True
India,Asian,2.261901246956431,0.01604436425004902,True
India,Black,0.9168311050205133,0.009396166621628236,True
India,Hispanic,0.5480208592210228,-0.1470335515575927,False
India,Latino,0.96511872677237,-0.18362576595215763,False
India,White,0.884841532833346,0.056594034492924966,True
Indonesia,Arab,2.054825132264579,0.13951950580502173,True
Indonesia,Asian,2.586454137554071,-0.016668336765999523,False
Indonesia,Black,0.7425679383500077,-0.06537198916239474,False
Indonesia,Hispanic,1.0796513598091697,-0.1406096699565161,False
Indonesia,Latino,1.4850676363654784,-0.11203042207540574,False
Indonesia,White,0.48656940610241317,-0.05337542848687116,False
Pakistan,Arab,3.088673479554067,0.1412202373526493,True
Pakistan,Asian,2.0712777726320417,0.03933638302870863,True
Pakistan,Black,1.0730329112730579,0.02553511462731822,True
Pakistan,Hispanic,0.19917199360771454,-0.10148780887527278,False
Pakistan,Latino,0.6573784189914331,-0.10631169042429248,False
Pakistan,White,0.7034009583394094,0.003292583224565347,True
Bangladesh,Arab,2.3355888487186607,0.1522658792980398,True
Bangladesh,Asian,2.4252929061445885,0.0377521701256882,True
Bangladesh,Black,0.912302759867534,0.003789431178366307,True
Bangladesh,Hispanic,-0.04486938539424437,-0.14739302515028851,True
Bangladesh,Latino,0.5366427168433666,-0.16660289554965352,False
Bangladesh,White,0.6407779076434207,0.02993284324308384,True
Japan,Arab,0.8584540456367094,0.09773598989075623,True
Japan,Asian,2.639994082933657,0.13316063833037317,True
Japan,Black,0.442939806855432,0.18547256322074077,True
Japan,Hispanic,0.9767396642890273,0.10542405019452726,True
