,occupation,age,direct_correlation,indirect_correlation,same_correlation
0,accountant,1,-0.7961834969428898,-0.18039605702258726,True
1,accountant,2,-1.2320894205717974,-0.4012042402915879,True
2,accountant,3,-1.1212134688050162,-0.40898109331500704,True
3,accountant,4,-1.1779990724121778,-0.41022961357402976,True
4,accountant,5,-1.0845702371038095,-0.3643658533315671,True
5,accountant,6,-1.1986535363383677,-0.3471512622567617,True
6,accountant,7,-0.9837970221582576,-0.3497431889714896,True
7,accountant,8,-1.1043704518147803,-0.3124292693729793,True
8,accountant,9,-1.0100486353954168,-0.3400032887288309,True
9,accountant,10,-0.8268929752147185,-0.3278021014660293,True
10,accountant,11,-0.7033937295167759,-0.2821336550416273,True
11,accountant,12,-0.7193190999816939,-0.30576926825833795,True
12,accountant,13,-0.5348659015696235,-0.25042651443799097,True
13,accountant,14,-0.3781677042123109,-0.20936526239945824,True
14,accountant,15,-0.3561859723180558,-0.25005555355377457,True
15,accountant,16,-0.17770509365110715,-0.11221742152368692,True
16,accountant,17,-0.0809414694151391,-0.11975606869896363,True
17,accountant,18,-0.17516266404875605,-0.18447601949704984,True
18,accountant,19,0.08503419922853314,-0.04361661379347047,False
19,accountant,20,0.07685243183264844,0.0457486729893102,True
20,accountant,21,0.18946740242412946,0.1576003799870964,True
21,accountant,22,0.2048481178096017,0.11975282219642674,True
22,accountant,23,0.341424200275754,0.13639986934267465,True
23,accountant,24,0.26628661075699617,0.14717691401731214,True
24,accountant,25,0.3335647734015243,0.3424858736043647,True
25,accountant,26,0.3734499319609871,0.3027650783605515,True
26,accountant,27,0.4503360106274531,0.34226038117531243,True
27,accountant,28,0.4300024309522558,0.35547629714464124,True
28,accountant,29,0.4463620543366802,0.32326364431411553,True
29,accountant,30,0.5668346014934751,0.4800718027733398,True
30,accountant,31,0.6394336279550518,0.4070967152911262,True
31,accountant,32,0.6976349958928671,0.5142289477271721,True
32,accountant,33,0.7458546931465388,0.5036305095878145,True
33,accountant,34,0.6270787317831665,0.4378688618977765,True
34,accountant,35,0.8313695719635287,0.5271495118032963,True
35,accountant,36,0.5875185459785617,0.4964355514694569,True
36,accountant,37,0.7018248850201478,0.4976187270282008,True
37,accountant,38,0.6193510768960618,0.5127913293510687,True
38,accountant,39,0.5329741065805516,0.4962442383654809,True
39,accountant,40,0.5649449642861247,0.5543704543106601,True
40,accountant,41,0.5273668855882387,0.5311258749719502,True
