index,gender_isomap_x,gender_isomap_y,gender_tsne_x,gender_tsne_y,gender_umap_x,gender_umap_y
accountant,-0.381238516587625,-0.34831541141857325,49.590540000000004,132.10308999999998,-2.8516114,13.662072
air traffic controller,-0.4453367381627566,-0.11520739383206426,-1524.151,230.60974,0.6273409000000001,9.331621
architect,-0.2482895921487312,-0.422118850513958,28.211565000000004,126.63246000000001,-2.577399,14.216436999999999
artist,0.09019550514974836,0.16452646159059162,-10.727414999999999,-44.800743,5.1408143,7.9830937
attorney,-0.43895330419655465,-0.3387341896447343,57.06041,134.1835,-2.9552824,13.398520999999999
baker,0.21154146058532444,0.0624173206297986,-44.3182,-52.13453,4.892589599999999,7.190587
banker,-0.6203942550472324,-0.3095474985585282,75.79234,143.54651,-3.0774345000000003,13.280188
bartender,-0.581249738115111,0.3630830096035472,118.39398999999999,-49.245525,-0.6583929000000001,6.843051400000001
barber,-0.1795885470442961,-0.06599295394441736,8.381718,74.20567,0.061232682000000004,14.6579
barman,-1.0882598609406262,0.09319010619703492,163.06714,-83.936584,0.40808174,6.214709
barmaid,1.071226072294462,0.02294582249021079,-166.70604,-80.56114000000002,8.655128999999999,1.8992755000000001
bookkeeper,0.050089788289877035,-0.02612998367172077,-32.410946,78.55201,-0.53421456,15.687287
broadcaster,0.10278607227644494,-0.13408978932224908,-47.08943,78.3337,-0.91455454,16.072976999999998
builder,-1.0190690588369296,-0.023003942510966616,173.32439,-85.96043,0.59075177,6.11397
businessperson,0.049760451619062736,-0.24500238947261355,-61.331269999999996,105.97985,-1.5669218,16.390068
businessman,-1.1388456556207531,-0.038110354443550265,189.70033,-88.54136,0.8592328000000001,6.2562733
businesswoman,1.3832258358150369,0.004612200141263048,-201.35973,-99.47476,9.471882,1.755961
butcher,-0.4315659913616514,-0.02011153198060381,93.97242,20.673412,1.1229403999999998,9.07146
captain,-0.8124348027489329,0.2868700757103478,127.75218000000001,-54.98965,-0.5086742999999999,6.6601214
carpenter,-1.0961903206255137,-0.028266955291698037,175.40187,-95.05964,0.7051868,6.088929
cashier,0.5098119517455344,-0.2120273729668005,-117.16773,-19.40823,5.702545,2.4380952999999996
chef,0.037493503212367406,0.14761028004692914,-6.1709830000000006,-38.89294,5.2710175999999995,7.917357000000001
coach,-0.7756663171977158,-0.025265421737920117,150.82327,-30.431067,-0.5232143,7.618922
cook,1.099381996489871,0.02493932335276908,-170.26949,-89.18366999999998,8.475378,1.712289
computer programmer,-0.4423943981851994,-0.05986695067587695,80.768326,27.884588,0.79197705,9.005647999999997
dancer,0.9337887753424882,0.4322388650022877,-158.60199,-104.6946,8.318388,1.7262163000000001
dental hygienist,0.1099796442515404,-0.2479284530898176,-52.00115200000001,106.6056,-1.5913948999999998,16.403374
dentist,-0.09118121616991906,-0.3476818358847755,8.277465,124.78976000000002,-2.1747360000000002,14.684023000000002
designer,0.36259990000276826,0.25102374659313625,-43.465412,-36.536495,4.7240357,7.6006045
developer,-0.8929977081771708,-0.012566776042882102,160.67488,-42.947174,-0.49457595,7.4303045
dietician,0.7402106756158331,-0.071169797714244,-139.5551,-42.541709999999995,6.4147234000000015,1.2542893999999998
doctor,-0.0658435566988749,-0.05560408480428025,-8.837864999999997,67.83277,-0.1646685,14.839375500000001
economist,-0.2937160375479372,-0.4737428736747062,31.308615000000003,134.54031,-2.6953397,14.076607999999998
editor,0.042395972163268784,-0.15898165507281573,-51.586506,88.89608,-1.109685,16.06549
electrician,-0.5608604832355113,-0.0071513166545790485,116.09926999999999,15.382654999999998,0.05938401,8.7920885
engineer,-1.0494054182333727,-0.03801777805253845,184.90921,-96.00949,0.7919168000000001,6.2070847
farmer,-0.5347880223950235,-0.05779483584125509,116.09361000000001,27.233482000000002,0.20803651,9.058455
filmmaker,-0.18776513838984504,-0.11215768306985764,-0.22238989,54.90759300000001,-0.5679198000000001,14.682845
financier,-0.18828213421485784,-0.3855239035202052,17.553984,129.72687,-2.3576965,14.4862
fireman,-1.001371638557715,0.26608192670001235,144.88593,-73.93648,-0.023144886,6.4759936
fisherman,-0.5175423563864042,-0.01870770859880936,108.05588999999999,18.224472,0.3435271,8.868917
flight attendant,0.28527231564699884,0.2210457851602072,-38.352615,-43.42333,4.864193,7.4256363
gardener,0.4626167299091071,-0.1746116140157422,-110.79036,-9.901157000000001,5.586535,2.6723871
guidance counselor,0.5153958074079917,0.34950340092283405,-85.738304,-66.416145,4.6017294,7.564077
hairdresser,1.2660892766665586,0.011077539048766136,-194.38396,-92.19214000000001,9.317533500000001,1.9630067
homemaker,0.8480329018142734,-0.014203933035707066,-146.96548,-60.403618,6.845039999999999,1.1931399999999999
housekeeper,1.2210684615340603,0.017500063456164634,-182.68268,-93.524574,8.999258,1.7419536
interior designer,0.005007561125536387,-0.13994104147100975,-64.6019,80.02639,-0.9721028,15.58756
jeweler,0.32266978705742994,-0.1557088245356139,-90.43196999999999,9.055421,5.300464,3.4860832999999998
journalist,0.35506656976030365,-0.17225673147381185,-96.27982,1.7753192,5.407100700000001,2.9979169999999997
judge,-0.3521313709758379,-0.06862673533294407,90.7835,30.4086,1.0802923,9.258388499999999
lawyer,-0.5074358517912461,-0.393846628805831,65.7141,141.06177,-3.0060825,13.305444
librarian,0.7767290369561924,-0.14450563461691746,-130.52913,-49.008026,6.4642944,1.2627549
maestro,0.13427411001532716,0.4452756616724661,16.853077,-72.70645999999998,4.047689,8.574784
magician,-0.08853394753066157,0.4503549642882279,30.292543,-80.84382,3.7951987000000003,8.818964999999997
mason,-0.6537670771412152,-0.032909683568132585,-885.8591,-138.99963,-0.37693894,8.36503
mechanic,-0.9791017009864852,0.20220191862782635,143.55882,-66.48487,-0.0621515,6.554456
musician,-0.2641660841760011,0.11358020084063858,37.050236,-22.535088000000002,2.608702,8.851894999999997
nanny,1.4758368485645197,0.04887397467614352,-211.20084,-77.17985999999998,9.125477,1.6013941999999999
nurse,1.2437363362263074,0.014275046120815878,-189.42398,-99.71404,9.217419999999999,1.8778199
nutritionist,0.4632386057340333,-0.1282229261560658,-118.10168,-6.4789495000000015,5.502530999999999,2.7812930000000002
optician,-0.044091929693163764,0.007882620537161341,-17.600555,72.33034,-0.31027755,15.197725
painter,0.33678270383472003,-0.0924808301576934,-84.77186999999998,2.7735937,5.403908299999999,3.2224617
pharmacist,0.05662437717574473,-0.2843771312804325,-56.627033,114.36216999999999,-1.6290858,16.49571
philosopher,-0.11691103440594293,0.2238268864614918,26.160944,-42.686577,3.2499027000000003,8.467152
photographer,-0.22236387064896093,-0.006618484818897072,36.600821999999994,-14.143846,2.5443037,8.934716
physiscian,0.21881804690351792,0.4079955849639789,9.093882,-69.46759,4.4587072999999995,8.13845
physician's assistant,-0.02721363943636869,-0.05698520772834378,-17.743551,63.06519,-0.15245606,15.071444
pilot,-0.7883214733502506,0.017797481749576818,145.43,-37.3149,-0.6158263,7.4321065000000015
plumber,-1.1023556838331026,0.0728250746242398,167.19116,-77.0826,0.26962948,6.310777
police officer,-0.695006265903634,-0.08045318705535663,1374.5225,255.86449,-0.36941999999999997,8.367230000000001
policeman,-0.4195846879532513,-0.08898098998649114,96.45375,38.39975,0.82411546,9.323398
politician,-0.0985220103583612,-0.3061064712784759,10.184806,134.48262,-2.2088063,14.623044
postman,-0.06300538213729137,-0.14996689298505522,-3.1610541000000003,88.38132,-0.010618346,14.740181
professor,0.06327884031004634,-0.28315045510387665,-71.10588,109.29891,-1.7505794999999995,16.502922
programmer,-0.8867858385273931,0.0044074830510622345,153.21379,-45.01019,-0.41408193,7.3146095
psychologist,0.2280119372975601,-0.20125525773072508,-82.092285,15.485558,5.2186303,3.4348435
receptionist,0.6250084311401206,-0.20364259328473985,-121.71486000000002,-29.42663,6.0933212999999995,1.8160553
salesperson,0.7648759289784638,0.04045429860049746,-147.71683000000004,-50.093647,6.754511,1.4531986000000001
scientist,-0.2887241569933797,0.24964839650446216,37.88655,-35.156659999999995,2.9500027,8.666473
scholar,0.021114476885229813,0.3057286084050421,18.463207,-51.202377,4.091577,8.2774725
secretary,0.8505147289795071,-0.21147661677260232,-129.6503,-60.70039000000001,6.7631172999999984,0.9799708
server,-0.21732650058234074,0.6229948086019966,35.830948,-86.41615,3.6965985,8.739965
singer,0.6335346605729401,0.33848542204227233,-93.62984,-67.26665,6.9941974,1.6854163
skipper,0.06138391293959158,0.11984497540217122,-16.29962,-33.251144000000004,5.2352669999999994,7.827428
soldier,-0.8475149677285357,0.4099126591037284,124.67851,-62.99272,-0.42319188,6.556847
socialite,1.1682415446946337,0.05855646267033662,-168.79222,-98.507416,8.620064999999999,1.7908837
stylist,0.6683213943928158,-0.07350329062666545,-147.19738999999996,-39.61567,6.615543,1.4816773
surgeon,-0.5856998782110489,-0.22191259099137595,76.96236,135.55678,-2.9441206,13.147843
teacher,0.9513656821615958,0.030737804442441438,-158.55911,-73.78088000000002,7.992634,1.5270655
therapist,0.1693958215377555,0.22319225097250986,-22.683726999999998,-41.716362,5.157525499999998,7.727517
translator,0.15545114615074138,0.29079801216206763,10.282621,-55.63923000000001,4.4271400000000005,8.175127999999999
undertaker,-0.10170360005245556,-0.11617510506591434,1.0979037,82.143486,0.034232434,14.705378
veterinarian,0.04166362572216949,-0.08356012644239978,-40.8193,84.18482,-0.79133534,15.918482000000001
videographer,-0.06564204572730792,-0.041839227645296566,-66.79749,71.69228000000003,-0.8021491999999999,15.399057999999998
waiter,-0.3418304378447441,0.005617786500408419,85.67369000000002,14.9830065,1.4826694999999999,9.051698
waitress,1.5501225845546598,3.154631427200663e-05,-214.90114,-83.73161999999998,9.264726,1.528166
warrior,-0.38303077663161705,0.9612725547401348,42.81622,-93.7768,3.8100076,8.839331
writer,0.489969221942781,-0.0591005067487167,-117.60378999999999,2.3314798,5.582317400000001,2.9073963
