,occupation,gender,direct_correlation,indirect_correlation,same_correlation
107,butcher,woman,1.6555661329056937,-0.3224727971452482,False
108,captain,male,0.8643565546581429,0.1293736943464079,True
109,captain,female,1.0560885197250272,-0.4392338527722188,False
110,captain,boy,1.9565394399251077,0.08735044022130549,True
111,captain,girl,1.1158162017779694,-0.4494241714360448,False
112,captain,man,3.2802544271523337,0.2166689450207427,True
113,captain,woman,2.1482464182326844,-0.44017517240247184,False
114,carpenter,male,1.3112408409710123,-0.003864388933590964,False
115,carpenter,female,0.994753600308359,-0.6199828581556539,False
116,carpenter,boy,1.3808734763918769,-0.03894564255791076,False
117,carpenter,girl,0.1854789340998526,-0.6297359789712066,False
118,carpenter,man,3.438630339569096,0.10164244961701373,True
119,carpenter,woman,1.8514138323283795,-0.5934387328675256,False
120,cashier,male,0.8649830146060946,-0.4320714555984898,False
121,cashier,female,1.4600768699361728,-0.11427741152260736,False
122,cashier,boy,1.2389097195660126,-0.3714221051215114,False
123,cashier,girl,1.6328350344433606,-0.0761703369473704,False
124,cashier,man,3.1715099176894044,-0.3167211021800518,False
125,cashier,woman,3.448959419449037,0.021907354282060254,True
126,chef,male,1.0246969712113188,-0.11077823206038384,False
127,chef,female,1.76399193044195,-0.15752668459570848,False
128,chef,boy,0.4163819026033705,-0.14981966684989778,False
129,chef,girl,-0.019772832957890275,-0.1849759312244937,True
130,chef,man,1.4481896166258386,-0.15067002234872434,False
131,chef,woman,2.6527650348969205,-0.15178664905245792,False
132,coach,male,1.2154587267844499,0.029586592679714814,True
133,coach,female,1.5766729169609968,-0.4677333919958882,False
134,coach,boy,1.4676633270754915,-0.02395101295191507,False
135,coach,girl,0.5954890397319808,-0.4755324398111097,False
136,coach,man,2.8161137065074406,0.053600219417704,True
137,coach,woman,2.2576991038366847,-0.4774053437772868,False
138,cook,male,1.5098773023864145,-0.4238628513959915,False
139,cook,female,2.2571354279095885,0.22831190365515125,True
140,cook,boy,1.6991663646275341,-0.3942977590857996,False
141,cook,girl,1.7608261258461655,0.21417005282321536,True
142,cook,man,3.0052867062723414,-0.4138297144570551,False
143,cook,woman,3.2879184149783485,0.317202646475055,True
144,computer programmer,male,0.85391269647507,-0.053941436885040966,False
145,computer programmer,female,1.036817132429834,-0.3761833057877801,False
146,computer programmer,boy,0.7536914760971811,-0.12156669980338244,False
147,computer programmer,girl,0.929745975081502,-0.40644866534129376,False
148,computer programmer,man,2.7844604567699656,-0.047311620329892314,False
149,computer programmer,woman,2.3908804897767943,-0.3753231866248198,False
150,dancer,male,3.2404164427707416,-0.21382940797374053,False
151,dancer,female,4.0067363400020914,0.3119726027432975,True
152,dancer,boy,2.27638713602334,-0.2210534469302556,False
153,dancer,girl,3.1125776366793643,0.2858373244088238,True
154,dancer,man,2.9280829781584736,-0.3043614445518062,False
155,dancer,woman,3.723563452318309,0.29735855382084625,True
156,dental hygienist,male,-1.3106271053105876,-0.313511562838754,True
157,dental hygienist,female,-1.0126345098781453,-0.2856691542976718,True
158,dental hygienist,boy,-2.4283369030511013,-0.3225168737860833,True
159,dental hygienist,girl,-2.2397939142268384,-0.289965245299533,True
160,dental hygienist,man,0.9347263569508202,-0.21232167980423214,False
161,dental hygienist,woman,1.180749773531797,-0.1814072413353784,False
162,dentist,male,1.6535238095822724,-0.2995449490216525,False
163,dentist,female,1.2091401538585225,-0.4085864728915488,False
164,dentist,boy,0.5343165955415774,-0.2817575122512651,False
165,dentist,girl,-0.35634000097971663,-0.3882771936852709,True
166,dentist,man,3.350541470086237,-0.18095767481272496,False
167,dentist,woman,2.8242626723025306,-0.3039926731722094,False
168,designer,male,1.9846536476331391,-0.13835054865027602,False
169,designer,female,2.2953031296191075,0.005159698509017752,True
170,designer,boy,1.0870113189573256,-0.1871272651215844,False
171,designer,girl,0.6814253719627791,-0.02532797561982457,False
172,designer,man,2.4050639205321334,-0.2462390538685001,False
173,designer,woman,2.9059528157713377,-0.020125064238578398,False
174,developer,male,0.3832959495198529,0.08694105142881446,True
175,developer,female,0.5382036823975901,-0.5051419073919527,False
176,developer,boy,0.06833700012572194,-0.010794339530859032,False
177,developer,girl,-0.38513014288072656,-0.5392251064489326,True
178,developer,man,2.0049738560419343,0.07391974824791478,True
179,developer,woman,1.8777598051377071,-0.543283500144879,False
180,dietician,male,1.968366882968288,-0.3992677036678743,False
181,dietician,female,2.503150871952815,-0.011325361717765188,False
182,dietician,boy,-0.5091512559547033,-0.3448682004970332,True
183,dietician,girl,0.2327717630127703,0.018215132056219656,True
184,dietician,man,2.7125270406744746,-0.32715891108779804,False
185,dietician,woman,2.589315060546384,0.09968979062273986,True
186,doctor,male,-0.139085571604419,-0.19658156118544545,True
187,doctor,female,-0.3005182253653805,-0.2805806787333049,True
188,doctor,boy,0.9817583501822328,-0.22580584192740896,False
189,doctor,girl,0.6972649622499973,-0.29299165467228777,False
190,doctor,man,3.401567170508292,-0.11458126126742435,False
191,doctor,woman,2.0997291405424297,-0.21559782642153116,False
192,economist,male,0.8817641344011559,-0.2557775533303947,False
193,economist,female,1.2671163164788064,-0.4322222380428489,False
194,economist,boy,-0.8450843656403201,-0.39266337774805626,True
195,economist,girl,-0.7162417909775038,-0.5206348972876479,True
196,economist,man,2.2892850309106016,-0.2457889135710309,False
197,economist,woman,2.0445429383047067,-0.400479970801454,False
198,editor,male,1.2999466459522595,-0.2556251683166973,False
199,editor,female,1.996395694631362,-0.2716320190783051,False
200,editor,boy,0.7740344243016094,-0.26642193761021066,False
201,editor,girl,0.4089278570073597,-0.2764650143253308,False
202,editor,man,2.275150040999211,-0.21314819287933615,False
203,editor,woman,3.7519788382068664,-0.20662127857362486,False
204,electrician,male,-0.2259935098477289,-0.05452619737982873,True
205,electrician,female,-0.141565702334357,-0.43937848660396295,True
206,electrician,boy,-0.11848184374762966,-0.07142325204412238,True
207,electrician,girl,-0.4389780748677375,-0.4389694817886928,True
208,electrician,man,2.7687948382614427,0.058019398502846514,True
209,electrician,woman,0.9286605980733612,-0.3888209751623851,False
210,engineer,male,1.185583654388645,0.07905483071763943,True
211,engineer,female,1.2747722674358286,-0.586841704424672,False
212,engineer,boy,0.9898773689616782,-0.046493423597417184,False
213,engineer,girl,0.21827171276318744,-0.6474159982403245,False
214,engineer,man,2.7895285984138947,0.11977892373012823,True
215,engineer,woman,1.8721421002758212,-0.6096141548632722,False
216,farmer,male,-0.3420589919832956,-0.10102989741877014,True
217,farmer,female,-1.2401165422569247,-0.4412022077995037,True
218,farmer,boy,0.0967552700360028,-0.1383929103635523,False
219,farmer,girl,-0.9485470699787464,-0.4601955931406494,True
220,farmer,man,2.2592088994859183,0.017862928184905827,True
221,farmer,woman,0.3556696252599724,-0.3818999036979839,False
222,filmmaker,male,0.0025949696428689845,-0.14663372079740244,False
223,filmmaker,female,0.5934472948201234,-0.3034986999175536,False
224,filmmaker,boy,-0.5845562835687327,-0.1940901961778502,True
225,filmmaker,girl,-0.4616074455463785,-0.3299889313881115,True
226,filmmaker,man,1.1346774799442454,-0.16565878664930725,False
227,filmmaker,woman,1.7075611114240137,-0.29853763999766664,False
228,financier,male,0.1389197428917431,-0.24644335399102016,False
229,financier,female,-0.3777029012748319,-0.3801887938718281,True
230,financier,boy,-1.1613001967028451,-0.35732982663862345,True
231,financier,girl,-1.058347170139077,-0.4502267339435501,True
232,financier,man,2.3284895931879213,-0.1878864138972008,False
233,financier,woman,1.900117187129779,-0.31763702710224445,False
234,fireman,male,1.1748876995653492,0.0839880699143284,True
235,fireman,female,0.8695960475972999,-0.5767308675038931,False
236,fireman,boy,2.2998212715726822,0.1308076821410614,True
237,fireman,girl,0.5728884577448705,-0.5178340007057156,False
238,fireman,man,3.6024777383096565,0.2443124639349949,True
239,fireman,woman,1.9860373453456197,-0.521387897116625,False
240,fisherman,male,1.3988018710030383,-0.0513367559396901,False
241,fisherman,female,0.4180540988367839,-0.4007534996950981,False
242,fisherman,boy,1.4638760543163731,-0.08951832478918374,False
243,fisherman,girl,0.4319198234732354,-0.422560402910188,False
244,fisherman,man,2.7214185840819543,0.038374414910787434,True
245,fisherman,woman,1.3531815530389626,-0.3736818283202317,False
246,flight attendant,male,0.4099272514044087,-0.18927307025690465,False
247,flight attendant,female,2.2208204128336764,-0.07078866158128315,False
