index,country_isomap_x,country_isomap_y,country_tsne_x,country_tsne_y,country_umap_x,country_umap_y
football,-1.8095966908979109,-0.8328161558033723,48.094116,85.5513,-1.3581336000000002,12.012224
basketball,-1.5555738912442358,-0.8341062569190131,86.29117,109.83268999999999,-1.6056172,11.613228999999999
cricket,-0.14462428432621652,1.6629248862536947,-179.93088,80.06019,-3.7111528,10.842321
hockey,-1.945986727695228,0.1381109956114501,-37.40271,168.51933,-2.8296852,12.041024
tennis,1.3021773554638079,0.20993218667656624,-120.29208999999999,-216.35654,9.855023,3.7947612
volleyball,1.2816074781132638,-0.8962031250325113,52.75642,-208.7538,9.4998255,2.8606849
table tennis,1.472991460671274,0.6515894856373265,-157.75583999999998,-203.2058,9.900089,4.23463
martial arts,1.9340418594068065,-0.3538124469069661,42.62251,-261.88742,9.096483000000001,2.5688019
baseball,-1.8414124452223652,-1.0092632856554442,80.06985999999999,60.31012,-1.4899387,12.110991499999999
american football,2.948178709056456,-0.9203345601779784,133.81583,-259.94982999999996,9.652008,2.3624392000000003
rugby,-1.8491308445201848,0.7396896816745471,-121.10628500000001,150.8782,-3.3856553999999996,11.762708
golf,-2.3479339249837765,0.6915714228620738,-71.32789,188.46895,-3.2243662,12.26603
athletics,0.3905909110609068,0.18430975906866925,-101.09054,-101.77241,8.422917,3.9947063999999997
badminton,1.106612094937898,1.5188212831496266,-166.58833,-270.8724,9.485184,4.4824019999999996
boxing,1.1250773050937548,-0.019151573691216853,-53.633590000000005,-156.14163,8.689652,3.4390552000000003
Formula One,-0.2028761123012925,-0.3264272588458087,237.40721000000002,183.50208,-1.061223,8.668569999999999
MotoGP,1.8380953360905221,-0.7034341544515196,79.748886,-242.99687000000003,9.517336,2.5759804
cycling,0.8598350735422704,0.6139912372821745,-142.65068,-147.14845,9.232526,4.261083999999999
swimming,1.837824988232692,0.12432233730312744,-72.195435,-212.87051,9.257816,3.3476405
snooker,-1.2485276808171009,1.1679559927314889,-149.9642,121.95132,-3.5738703999999997,11.255817
shooting,-0.2902929224899468,-0.5259925620230468,253.48514,231.22025,-1.111451,8.990065
gymnastics,2.126840575262104,-0.11371456393077052,-231.04227000000003,-224.09991000000002,10.176696000000002,3.4446955000000004
handball,1.6409050485319283,0.5741096753806066,-196.48868000000002,-175.15695,10.149392,4.0297675
wrestling,-1.040947404050072,-0.7902607151539515,116.94528999999999,144.43368999999998,-1.6874369999999999,11.196464
skiing,-0.27564698758231965,-0.15508134575243668,207.18321,245.24367999999998,-1.4657040000000001,9.256877000000001
horse racing,-1.0932898687455177,-0.07100267536965342,85.762314,214.10463,-2.399463,10.999239
horling,-0.22985072103414714,0.6864958970624101,-104.50543,-53.17699,-3.0139632,10.49607
pickleball,-1.6702207858950613,-0.4931751073529189,73.03519,174.43944,-2.1627528999999996,11.4068365
water polo,0.31650787557468857,-0.8590062267224692,277.2077,197.81569,-1.482327,8.7774515
bowling,-2.6353747792329947,-0.060042826904687235,-45.615307,227.7295,-2.599552,12.451503
