index,trait_isomap_x,trait_isomap_y,trait_tsne_x,trait_tsne_y,trait_umap_x,trait_umap_y
Nigeria,1.7787558434989843,-2.414119307235623,197.00502,29.854252000000002,1.5100552,6.34984
Ethiopia,0.09771650712060187,-3.0699490021159064,-103.75957,-103.20191,3.3153137999999998,7.0755835000000005
Egypt,-3.2191159449080384,-2.950383154199854,-107.686935,-42.868829999999996,4.5293856,7.336243
Congo,-1.2422305270243863,0.8807049652565841,-210.55657999999997,-34.854485,7.205065299999999,5.1853905
Tanzania,2.092243019612464,-1.5069143608786897,176.33116,0.7366683,1.5325497,5.7517676
South Africa,3.5665770511838724,1.0029855002555492,129.29856999999998,-97.25953,-1.6226791,5.2053113
Kenya,2.898907380601862,-0.03243233838257113,146.96443,-59.589817000000004,-0.8671325000000001,5.371775
Uganda,2.8338198801579515,-1.6264546064832417,175.39908,-20.77176,1.0987656000000001,5.6749540000000005
Sudan,-0.07038584050992594,-3.153272429734114,-99.60882600000001,-89.23036,3.5418913,7.265016
Algeria,-2.877673431517904,-1.0747240398937967,-142.84293,25.633934,6.5134373,7.836656
China,2.0599564803651105,-2.018110064889199,228.72829,5.244139,0.9977248,6.163303400000001
India,-0.08781217456543798,-3.2652638132424974,-79.59348,-83.63846600000001,3.4395373,7.1460853
Indonesia,1.5774946429057062,0.6579268831261815,285.5778,-63.74684,-0.23485279999999997,4.1335726
Pakistan,1.596149870110779,-2.471666358822962,180.73657,26.220623,1.8370696,6.3137307
Bangladesh,2.8440639641453416,-2.050623433606682,198.37134,0.5775226999999999,1.197568,5.944298000000001
Japan,1.3199077559507841,-0.06535176143794268,264.07614,-45.725163,0.02329373,3.9343112000000002
Philippines,1.9719977108836368,-1.5282644344058365,160.07872,9.647449499999999,1.7085664,6.0565457
Vietnam,1.447557884662637,0.1603412220139399,266.30292000000003,-63.325413,-0.29788285,4.0069027
Iran,-1.6289656692695047,-2.62867018729618,-102.73865500000001,-64.563705,3.792554,7.154007000000001
Turkey,0.2353350783813293,0.20613801540165905,304.41544,-92.57991,0.057486508,3.836475
Russia,-2.2297031668849248,-0.7862866938097228,-92.6875,112.74508999999999,7.741519,8.837922
Germany,1.0750779069465748,3.5956113941851116,23.499876,-148.41426,3.7552673999999997,3.2282298
United Kingdom,4.942215267696559,0.3626063382720892,117.13815,-155.47288999999998,-2.4792147,5.4289365
France,-0.8130419271708298,1.8970003501068564,16.156597,-201.6126,4.112411,3.0202475
Italy,-4.158510616395777,0.6995377359952755,-141.04532,186.49438,8.550246000000001,8.863648
Spain,-3.554017177246185,0.8444933647283259,-139.03217,168.68805,8.3941765,8.697944999999999
Ukraine,-1.190298903132834,-0.007348581515690958,-214.61357,-12.51285,7.255709599999999,5.5956187
Poland,0.4932804873620594,1.6112532579747396,18.645785999999998,-187.2877,3.6571597999999996,2.9796216
Romania,-2.2356017600170954,0.3476899955670189,-237.76015,39.443670000000004,7.0623856,6.45507
Netherlands,2.4504771452061633,3.576908882378078,46.35606,-133.10593,3.7619777,3.4818922999999997
Austria,1.0005807668832305,3.187392728596036,25.453356,-131.59663,3.8209440000000003,3.111988
United States,4.989716076366957,-0.18579775351629296,131.94328000000002,-165.17754,-2.4571702,5.4762073
Mexico,-3.7407090562733374,0.09375541660323476,-85.49363000000001,163.10766999999998,8.293434,9.231233
Canada,3.878896247755067,1.7092203650803073,120.74375,-126.06458,-2.314994,5.248775
Guatemala,-2.838015633280601,0.1224896060981572,-138.62437,79.111,7.151657000000001,8.284788
Haiti,-1.309894099272468,1.3883695771984814,364.26056,-42.623207,7.093634,5.078804
Cuba,-3.521309638937733,0.2808898241579532,-109.1238,159.24998,8.258533,9.136492
Dominican Republic,-2.687548891601905,0.6666102612804169,-199.19476,101.156746,7.8132220000000006,7.0783453
Honduras,-2.374834786213211,0.2234241235917405,-108.62588999999998,68.07028000000001,7.236297599999999,7.8637570000000006
Nicaragua,-2.8399711319696923,-0.12481624376586782,-145.23027,52.902359999999994,6.8070273,7.967006
El Salvador,-3.319957678622936,0.14596999103406366,-119.57786999999999,145.06451,8.204642,8.853858
Brazil,-3.241073035779653,-0.0952055841106154,-90.2688,144.5892,8.005179,9.077328999999999
Argentina,-2.8901915780995355,0.4874212743709205,-149.13466,107.194115,7.931699000000001,7.9668206999999995
Peru,-2.9044512852000675,0.3290304843596009,-128.29332,105.215675,7.6938705,8.385766
Venezuela,-2.8204260246686936,0.012934273076799252,-128.75536,65.752,7.250577000000001,8.078292
Chile,-2.965828719257607,1.0937761994697652,-172.87878,113.918304,7.9629188,7.3847830000000005
Ecuador,-2.205709097734016,0.5310508636048309,-206.12483,55.92699,7.2587720000000004,6.363904499999999
Bolivia,-2.6324534676586246,0.5221596927775951,-227.46909,58.61065,7.120245,6.6771245
Paraguay,-2.5750263652278,0.3884915584637181,-217.37827000000001,72.80204,7.455264,6.621492
Uruguay,-2.535716890360366,0.8953605718470417,-234.15232999999998,84.94633,7.4817038,6.582093700000001
Australia,3.8196412657509082,0.8085586603528555,111.66386999999999,-108.57603,-2.0970904999999997,5.3156123
