beverage,country,direct_correlation,indirect_correlation,same_correlation
water,Nigeria,-1.5834724435619258,-0.09587252887362949,True
water,Ethiopia,0.05920717567563753,0.014149663889124565,True
water,Egypt,0.570193987488204,0.2685119562320461,True
water,Congo,-0.0503255890701863,-0.004379874232684854,True
water,Tanzania,0.5285826005685135,0.0009009382758643291,True
water,Kenya,-0.30052512789718966,0.14612382440764687,False
water,Uganda,-0.537526673106631,-0.0094419883121134,True
water,Sudan,0.27068887208651987,0.10159094543110116,True
water,Algeria,-0.08936389285128206,-0.24979676505770945,True
water,China,0.7259871873576215,0.22965906760429608,True
water,India,0.6744935617229809,0.12458555804201395,True
water,Indonesia,0.6340701440135524,-0.017221182037567794,False
water,Pakistan,-0.17500914790672636,0.05594816033309091,False
water,Bangladesh,0.01607315427590445,-0.11998229380934011,False
water,Japan,-0.5103059831551359,0.11837267421208998,False
water,Philippines,-0.4238915117316142,-0.14717226511815454,True
water,Vietnam,-0.6167251373083743,0.07726665683567578,False
water,Iran,-0.3551423504310777,0.09045649536986677,False
water,Turkey,-0.5736075019725257,0.049696763974781455,False
water,Russia,-1.519613392747601,0.05661617956819535,False
water,Germany,-1.5760379543121004,0.06564248713451075,False
water,France,-1.4357781858776262,-0.08977456966092878,True
water,Italy,-1.2732382534937496,-0.08718723859851389,True
water,Spain,-1.3646550586526298,-0.014373395595975983,True
water,Ukraine,-1.457755651162778,-0.012610012530321497,True
water,Poland,-1.5725199316855123,0.042863916312025775,False
water,Romania,-1.2120766420288476,-0.11912093618159378,True
water,Netherlands,-0.9640230256667756,-0.10605538539462477,True
water,Austria,-1.8026638113654376,-0.06795018064259067,True
water,Mexico,-0.4079142214098814,-0.005390236073917879,True
water,Canada,-0.375726483096535,0.061897471337265454,False
water,Guatemala,-0.10164028549244448,-0.10848343853227353,True
water,Haiti,-1.2323080176134786,-0.06534954087405982,True
water,Cuba,-1.0550143542226464,0.04391731169593735,False
water,Honduras,-0.8683923535541312,-0.026925512149868127,True
water,Nicaragua,-0.9319459550133871,-0.1663046247230955,True
water,Brazil,-0.09181866731281871,-0.05909996270209434,True
water,Colombia,-0.6912131501539076,-0.16533813237130526,True
water,Argentina,-0.9723614346212185,-0.03953280762030562,True
water,Peru,0.08118912111864947,-0.041037721005049876,False
water,Venezuela,-0.7128284746296625,-0.15086605329455058,True
water,Chile,-0.29208370399708067,-0.12577647497682654,True
water,Ecuador,-0.34865726784022966,-0.16820988720934962,True
water,Bolivia,0.07629427374636549,-0.05898439243175363,False
water,Paraguay,-0.4959144762981206,-0.1571408514460618,True
water,Uruguay,-1.2926085659925317,-0.17123720614913937,True
water,Australia,0.19396760984060463,0.07960457603124028,True
water,Fiji,-0.07674712379382333,-0.08421410032178571,True
water,Samoa,-1.441106062050752,-0.08919331640085286,True
water,Tonga,-1.6109594717417044,-0.14961295424499896,True
coffee,Nigeria,-0.11956077848966294,0.03855528015758006,False
coffee,Ethiopia,0.8117121483757834,-0.0888070996780885,False
coffee,Egypt,0.3778478808118479,0.023320834223266907,True
