country,yob,direct_correlation,indirect_correlation,same_correlation
Nigeria,1920,0.12025153160632884,0.07618613255448113,True
Nigeria,1921,-0.536427999731306,0.08156690399025772,False
Nigeria,1922,0.20090017738725885,0.08869200426641916,True
Nigeria,1923,0.0618921688146043,0.06655138754669551,True
Nigeria,1924,-0.6738481556965438,0.07663864303927921,False
Nigeria,1925,-0.20444836710576259,0.08122306056788195,False
Nigeria,1926,0.38226410982959597,0.07327639251148119,True
Nigeria,1927,-0.18328954647704448,0.06711295529189529,False
Nigeria,1928,0.1991664574310047,0.0844449539212993,True
Nigeria,1929,-0.047725337796210764,0.07024391306601127,False
Nigeria,1930,0.4740468359631428,0.06211583821386039,True
Nigeria,1931,0.4107293058041298,0.07854334815027736,True
Nigeria,1932,0.8684434541467329,0.07584041024918717,True
Nigeria,1933,0.4385129943427265,0.08787210372866339,True
Nigeria,1934,0.5488453059425537,0.04889864706478321,True
Nigeria,1935,0.7401755994113652,0.06841271592637126,True
Nigeria,1936,1.0562902962578347,0.06223180846207306,True
Nigeria,1937,0.47875002450007637,0.05732388311469783,True
Nigeria,1938,-0.11452359851537615,0.048101088770844624,False
Nigeria,1939,0.2736602790515899,0.04787968624393405,True
Nigeria,1940,0.5347311229347662,0.064410258714006,True
Nigeria,1941,-0.09974258977425902,0.06022605279800894,False
Nigeria,1942,0.30606232194080274,0.05505275046185759,True
Nigeria,1943,0.03779989519365864,0.044532842294297985,True
Nigeria,1944,-0.26111947783616024,0.01623256983836149,False
Nigeria,1945,-0.1703380268344565,0.03345445301014713,False
Nigeria,1946,0.10893453153347682,0.03940351261051499,True
Nigeria,1947,0.2639169809845691,0.059504981377911575,True
Nigeria,1948,0.3723042506403264,0.11080333483951726,True
Nigeria,1949,-0.11721229203198136,0.05815539902785809,False
Nigeria,1950,0.23270685467862412,0.045803843651869014,True
Nigeria,1951,0.2874773744606363,0.046210723629833445,True
Nigeria,1952,0.5684493182582874,0.05676493603561928,True
Nigeria,1953,0.0859213415074005,0.048615028234629716,True
Nigeria,1954,0.6397459374773915,0.029536543520207754,True
Nigeria,1955,0.09548153323477232,0.034856882858096766,True
Nigeria,1956,0.37234359606493617,0.05876545771604733,True
Nigeria,1957,0.4839405582390053,0.05562225747804971,True
Nigeria,1958,0.4839055516200504,0.029223069174364767,True
Nigeria,1959,0.37051552154043177,0.01875189838677034,True
Nigeria,1960,1.1288879587736689,0.0244770310494898,True
Nigeria,1961,0.8543478620650002,0.0352323850398176,True
Nigeria,1962,0.809350852175103,0.033406069183262485,True
Nigeria,1963,0.6686395348925066,0.06327200674677753,True
Nigeria,1964,0.863080767322583,0.03281135436922003,True
Nigeria,1965,0.5083422898515819,0.04219321202639212,True
Nigeria,1966,1.1503421994893654,0.028260493060448557,True
Nigeria,1967,0.7387657874189368,0.059382949186504976,True
Nigeria,1968,-0.1649225687406025,-0.011126509690471527,True
Nigeria,1969,0.08350248005420935,0.010329474088677995,True
Nigeria,1970,0.3606313553662416,0.018512493491141573,True
Nigeria,1971,-0.33173242016212756,0.03218819553939487,False
Nigeria,1972,-0.024991027761994612,0.012776369739002641,False
Nigeria,1973,-0.10996577305193282,0.021930769971237045,False
Nigeria,1974,0.3740885853135809,0.017230725136703644,True
Nigeria,1975,0.49153439168976715,0.008886609153397812,True
Nigeria,1976,1.3167464158866484,0.01575693678092768,True
Nigeria,1977,0.6535545782586896,0.0133214245622444,True
Nigeria,1978,0.6247539492302276,0.012808107789214391,True
Nigeria,1979,0.3680599552901429,0.052438281325524215,True
Nigeria,1980,0.7515767490651952,0.024821197755351184,True
Nigeria,1981,0.8407622284037167,0.04884276226664709,True
Nigeria,1982,0.8446868527387825,0.01919391789201406,True
Nigeria,1983,1.1213812286535516,0.022007521109549125,True
Nigeria,1984,1.0445877596388602,0.010882189943668467,True
Nigeria,1985,0.9222563292420602,0.0030891288630071397,True
Nigeria,1986,1.112324621547355,0.004709025438933878,True
Nigeria,1987,0.6241429191851934,0.007933674805480174,True
Nigeria,1988,0.664562110361237,0.020935061526925786,True
Nigeria,1989,0.272319281846533,-0.015719534768707827,False
Nigeria,1990,0.6809717393193311,0.0019591050062574933,True
Nigeria,1991,0.5614693542121784,0.011926088129200377,True
Nigeria,1992,0.4383033311456302,0.0019261583636259482,True
Nigeria,1993,0.8048622850626401,0.002364305714483676,True
Nigeria,1994,0.853639284957248,-0.01106323450428942,False
Nigeria,1995,0.6790611308222393,-0.017428563832719946,False
Nigeria,1996,0.8990666405355817,0.011258396043874457,True
Nigeria,1997,0.7081680930913123,-0.00552181856609708,False
Nigeria,1998,0.8592573879125155,-0.009678747380352607,False
Nigeria,1999,1.269305741171904,0.006481726579042537,True
Nigeria,2000,0.6889938709101422,0.056870356264662074,True
Nigeria,2001,0.12661041680740281,0.00688185374572924,True
Nigeria,2002,1.1106184556490395,-0.007881437011028966,False
Nigeria,2003,0.9175646580261596,0.004443599356333944,True
Nigeria,2004,0.849727190880637,0.035888866668850355,True
Nigeria,2005,1.1008225028339276,0.03856875114731997,True
Nigeria,2006,1.2793644914653342,0.030934243911221775,True
Nigeria,2007,1.1788154506689,0.04562120087793925,True
Nigeria,2008,1.060790420311281,0.054126059988225034,True
Nigeria,2009,0.8074747824193395,0.046564942478232015,True
Nigeria,2010,1.0359826995447265,0.047319128633613566,True
Nigeria,2011,0.826538705587572,0.053261337135616274,True
Nigeria,2012,0.9920021286433482,0.06566340431401275,True
Nigeria,2013,0.87924468020087,0.030671402152398514,True
Nigeria,2014,0.9668494054954816,0.0285907906184809,True
