,occupation,sport,direct_correlation,indirect_correlation,same_correlation
0,accountant,football,0.42053010343295616,0.09454706500425256,True
1,accountant,basketball,0.3871377484057774,0.09195263933125966,True
2,accountant,cricket,0.027313220312653503,0.18375791501347205,True
3,accountant,hockey,0.4868722703471141,0.2042967261101893,True
4,accountant,tennis,0.7065940370923935,0.09402138122540307,True
5,accountant,volleyball,0.01593007136664451,0.06067545922824149,True
6,accountant,baseball,0.34916555383026515,0.15661383370426904,True
7,accountant,rugby,0.3582379199467813,0.16787689931216818,True
8,accountant,golf,1.716474634559627,0.16784684154948745,True
9,accountant,athletics,0.016976185100248013,0.3599293217621116,True
10,accountant,badminton,-0.016921359932333343,0.2406827716924059,False
11,accountant,boxing,-0.6694434508848864,0.26899598393799995,False
12,accountant,cycling,-0.11116187913822984,0.3145030053983336,False
13,accountant,swimming,-1.000426319224293,-0.1154047241012884,True
14,accountant,shooting,-0.9227876074451188,-0.014919142555492532,True
15,accountant,gymnastics,-0.3899120104762162,0.21241144191384626,False
16,accountant,wrestling,-1.1623966185581431,0.37401457634070456,False
17,accountant,skiing,0.3801954432524147,0.21968089479151867,True
18,accountant,bowling,-0.11204784178307113,0.3605208858695997,False
19,air traffic controller,football,0.4895040915597824,0.07011460933656151,True
20,air traffic controller,basketball,0.3398450100775817,0.06834000989567515,True
21,air traffic controller,cricket,0.35293476233190224,0.11843879663183444,True
22,air traffic controller,hockey,0.3039397176882574,0.1326653655668941,True
23,air traffic controller,tennis,0.6378218859042387,0.017523653434454504,True
24,air traffic controller,volleyball,0.5963222640550798,0.0494770467866909,True
25,air traffic controller,baseball,0.6955295007622544,0.13068480474993655,True
26,air traffic controller,rugby,0.25893959086336626,0.10784863990713868,True
27,air traffic controller,golf,1.2562588219156492,0.1071108686680008,True
28,air traffic controller,athletics,0.7921681411398125,0.3367078811188957,True
29,air traffic controller,badminton,0.2741091090012847,0.1599929569325686,True
30,air traffic controller,boxing,0.2781137103234413,0.2539372286100113,True
31,air traffic controller,cycling,0.6838872158418894,0.25197556059292703,True
32,air traffic controller,swimming,-0.30586606366700164,-0.10365179216113553,True
33,air traffic controller,shooting,0.3830407619563724,0.019538563876010332,True
34,air traffic controller,gymnastics,0.62047397226109,0.19887869353781906,True
35,air traffic controller,wrestling,-0.4291241571293857,0.3479574221715616,False
36,air traffic controller,skiing,1.321087745057833,0.17617382427589595,True
37,air traffic controller,bowling,0.4494862003052952,0.299076995549212,True
38,architect,football,-0.05494168964137319,0.1691858548528165,False
39,architect,basketball,0.20225175333163836,0.1227486435924294,True
40,architect,cricket,-0.0209524291394985,0.2139447452365061,False
41,architect,hockey,-0.4564420397596155,0.21705693668217935,False
42,architect,tennis,0.6753440358048661,0.06588218488531887,True
43,architect,volleyball,-0.375400729370443,0.00798122574839893,False
44,architect,baseball,-0.3976268010365918,0.23949421725032194,False
45,architect,rugby,-0.2069036111156293,0.2168816044788677,False
46,architect,golf,1.3482262994941636,0.20029574767902306,True
47,architect,athletics,-0.5856985426893864,0.4113401725731624,False
48,architect,badminton,-0.4488543465933052,0.2090921706226838,False
49,architect,boxing,-2.2121943653054665,0.356742791320154,False
50,architect,cycling,-0.09381737089218754,0.3469615802650776,False
51,architect,swimming,-0.8676627268667941,-0.10074359952340456,True
52,architect,shooting,0.13899478602223647,0.04112348889192974,True
53,architect,gymnastics,-0.7281495405779069,0.19691608997691512,False
54,architect,wrestling,-2.5476561902073263,0.417176989096633,False
55,architect,skiing,-0.4041291290196284,0.2389677457555397,False
56,architect,bowling,-0.9451700640100916,0.3435306724063384,False
57,artist,football,-1.9427395196475936,0.1621492394980355,False
58,artist,basketball,-2.128389915530991,0.15184801992021274,False
59,artist,cricket,-1.7815603106305762,0.1912907425640918,False
60,artist,hockey,-2.0879478513890724,0.1966383741072908,False
61,artist,tennis,-1.8455754834408744,0.06966552159485265,False
62,artist,volleyball,-1.890033314416528,0.0665752170146922,False
63,artist,baseball,-2.0324092725427447,0.21373388397087048,False
64,artist,rugby,-2.465287920245125,0.1677072231266673,False
65,artist,golf,-1.9561211177816729,0.15793898915628826,False
66,artist,athletics,-1.0698338251051993,0.4100432450301847,False
67,artist,badminton,-2.123286289219084,0.2195640488742035,False
68,artist,boxing,-1.4618205354687483,0.3523629202220133,False
69,artist,cycling,-0.6364584076451011,0.33070895668643124,False
70,artist,swimming,-1.6726764221923338,-0.1097826079319531,True
71,artist,shooting,0.08404237784947607,0.024543915707249717,True
72,artist,gymnastics,-1.1979057543798182,0.2497828472391159,False
73,artist,wrestling,-2.0353929549663734,0.4294706159659673,False
74,artist,skiing,-1.4423940273897158,0.21124469536628915,False
75,artist,bowling,-2.2112786483615285,0.3425795358416627,False
76,attorney,football,0.3472918180011253,0.217700165718374,True
77,attorney,basketball,0.7070211511805725,0.1420851207595942,True
78,attorney,cricket,-0.6622931601697338,0.2821798636360222,False
79,attorney,hockey,0.17747484857306364,0.24732602153244404,True
80,attorney,tennis,0.7703510988054189,0.044628449324679215,True
81,attorney,volleyball,0.16537088763656632,-0.04718551469223185,False
82,attorney,baseball,0.6043742436072141,0.28382489723610743,True
83,attorney,rugby,-0.2378676374135492,0.2719528673410089,False
84,attorney,golf,1.599857223613134,0.25009341960261056,True
85,attorney,athletics,-0.4284184873665938,0.4513681809632151,False
86,attorney,badminton,-0.6732433778343718,0.1954909386641076,False
87,attorney,boxing,-0.6201676378456236,0.3868543153708509,False
88,attorney,cycling,-0.6228000021983672,0.3420106792509872,False
89,attorney,swimming,-1.3034174005572143,-0.13774470789990195,True
90,attorney,shooting,-0.15797530385066846,0.039072129936007186,False
91,attorney,gymnastics,-1.5014055281455938,0.20079293366625608,False
92,attorney,wrestling,-0.8863781364018032,0.4530022590063174,False
93,attorney,skiing,-0.4613478230225172,0.21428754874380745,False
94,attorney,bowling,-0.9383252190737044,0.3902683899232975,False
95,baker,football,0.008259037430556648,0.045808409029064204,True
96,baker,basketball,-0.4693843092912268,0.06570346386993421,False
97,baker,cricket,0.3594809176167819,0.0768130203852566,True
98,baker,hockey,0.16047827083358898,0.13376342598218502,True
99,baker,tennis,0.2985653677288935,0.10163184586896648,True
100,baker,volleyball,-0.2737636328029495,0.12569541840552467,False
101,baker,baseball,-0.255246831450592,0.1166794764398028,False
102,baker,rugby,0.12097692103957587,0.08003279523755698,True
103,baker,golf,0.3663799683980392,0.07634592875244878,True
104,baker,athletics,0.023522130247130242,0.2899676065173757,True
105,baker,badminton,0.4253175354710709,0.21717656642756847,True
106,baker,boxing,-0.0998322682958362,0.2263111603274368,False
107,baker,cycling,-0.2480730191389315,0.2884584273840626,False
108,baker,swimming,-1.0247376830893224,0.0004331965275577712,False
109,baker,shooting,-1.2781244453373604,0.01648033114132941,False
110,baker,gymnastics,0.3705428065396867,0.22323573673743735,True
111,baker,wrestling,-0.464542781929243,0.3131673217554036,False
112,baker,skiing,-0.4091352457992792,0.2214942653861421,False
113,baker,bowling,-0.007118393540487771,0.2614531189872899,False
114,banker,football,0.4702764318524266,0.17754636509679775,True
115,banker,basketball,0.08289557370297476,0.10138055384889767,True
116,banker,cricket,0.11789401580456382,0.2262489792390797,True
117,banker,hockey,-0.255129920567608,0.22255685827123806,False
118,banker,tennis,0.9463622550161546,0.10218211036738654,True
119,banker,volleyball,-0.7417008888238246,-0.11091337301583412,True
120,banker,baseball,0.17726752763333115,0.2292822456059503,True
121,banker,rugby,-0.06811200969025948,0.23528200125108986,False
122,banker,golf,1.5171413096619148,0.23115774773787395,True
123,banker,athletics,-0.5166740677249024,0.2301745673253676,False
124,banker,badminton,-0.5284095258559839,0.1721459086241006,False
125,banker,boxing,-0.8934899762394176,0.2539525386764361,False
126,banker,cycling,-0.6729502751760204,0.2627995247416833,False
127,banker,swimming,-0.701050197418301,-0.048919715647655314,True
128,banker,shooting,-0.5262545907104407,0.04752213436259437,False
