,occupation,country,direct_correlation,indirect_correlation,same_correlation
0,accountant,Nigeria,-0.4391291290264971,0.24022264580887834,False
1,accountant,Ethiopia,-0.9003006559236825,-0.050565193912512976,True
2,accountant,Egypt,-0.9506900558805428,-0.2894457775362096,True
3,accountant,Congo,-1.2253170878718342,-0.12767461974099478,True
4,accountant,Tanzania,-0.588802126921307,0.13319779698902245,False
5,accountant,Kenya,-0.15904132944506302,0.11048650710513072,False
6,accountant,Uganda,-0.6258695593753659,0.1122779693037742,False
7,accountant,Sudan,-1.4195955008007233,0.04818886037765352,False
8,accountant,Algeria,-0.35961399420739193,0.12495038288262104,False
9,accountant,China,-0.7959209087717382,-0.26673576741971394,True
10,accountant,India,0.1853868890312607,-0.23958809501342065,False
11,accountant,Indonesia,-0.03795344872066901,-0.04185552151745312,True
12,accountant,Pakistan,-0.5307112093628424,-0.017066702809523666,True
13,accountant,Bangladesh,-0.256670493327757,0.14094614389790386,False
14,accountant,Japan,0.08163547505156599,-0.17542507308302574,False
15,accountant,Philippines,-0.09926520632235236,-0.017099244019789683,True
16,accountant,Vietnam,-0.1242433800552236,-0.10885094130936476,True
17,accountant,Iran,-0.9318668944533416,-0.1544723846534929,True
18,accountant,Turkey,-0.5999547415456097,-0.16555184194229924,True
19,accountant,Russia,-1.1181038331321331,-0.26158298431285315,True
20,accountant,Germany,0.6873497484765828,-0.05333700647588288,False
21,accountant,France,0.13673398866585867,-0.17568162174647456,False
22,accountant,Italy,-0.17563510829408413,-0.21258900806553346,True
23,accountant,Spain,-0.01764273057789328,-0.1780269177831046,True
24,accountant,Ukraine,-0.5142352835912936,-0.16658334793589494,True
25,accountant,Poland,-0.07435816406683989,-0.13706144023841324,True
26,accountant,Romania,-0.1224000259910048,-0.1432552957310695,True
27,accountant,Netherlands,0.3896289855679387,0.13709429079928573,True
28,accountant,Austria,0.2279663834468625,-0.08266605948410738,False
29,accountant,Mexico,-0.5037766894983658,-0.1320162125336791,True
30,accountant,Canada,0.4368900103510807,0.08364272430576489,True
31,accountant,Guatemala,-0.5974832183690323,0.015951627365343522,False
32,accountant,Haiti,-0.8907143233827166,-0.07949684004776246,True
33,accountant,Cuba,-0.8194918077183012,-0.12580173281247947,True
34,accountant,Honduras,-0.15552668744460565,0.05924229432613009,False
35,accountant,Nicaragua,-0.4104714873891577,0.1541412953616322,False
36,accountant,Brazil,-0.18268569056792625,-0.09300451272853827,True
37,accountant,Colombia,-0.4056327098047003,0.01127137603046096,False
38,accountant,Argentina,0.0464332327522724,-0.07742673401397399,False
39,accountant,Peru,-0.6561678633420681,-0.1288988846503367,True
40,accountant,Venezuela,-0.7511041735223155,0.0219818218072214,False
41,accountant,Chile,-0.06689031373110324,0.04106191372365433,False
42,accountant,Ecuador,-0.194690352797038,0.09560321537487368,False
43,accountant,Bolivia,-0.8398924622878211,-0.13345662941901199,True
