country,gender,direct_correlation,indirect_correlation,same_correlation
Nigeria,male,0.36932667426834787,-0.03499860908150157,False
Nigeria,female,0.2946897122145447,-0.02177699255401387,False
Nigeria,boy,-0.542402431414902,-0.0642834716146707,True
Nigeria,girl,-0.5008939861181492,-0.04797808798408396,True
Nigeria,man,-0.43139351497379547,-0.03340993995566673,True
Nigeria,woman,0.019870429012907257,-0.024327621813440288,False
Ethiopia,male,0.14232170214680623,-0.027585635638707407,False
Ethiopia,female,0.03855002728993337,0.12597679203589976,True
Ethiopia,boy,-0.3297840713100071,-0.06948499455941326,True
Ethiopia,girl,-0.4846387015568003,0.12196142105511658,False
Ethiopia,man,-0.349835093886994,-0.09282088948354812,True
Ethiopia,woman,0.08227905315613955,0.11868118458358437,True
Egypt,male,-0.3107552717566492,-0.14977060837387351,True
Egypt,female,0.09450987482950184,0.29597189114226535,True
Egypt,boy,-0.6200286938791801,-0.22884718460184456,True
Egypt,girl,-0.3991597191338108,0.3226440450671808,False
Egypt,man,-0.24832288484133574,-0.3078019318138268,True
Egypt,woman,0.4391584682326243,0.2788074704205736,True
Congo,male,-0.057633227075482345,0.021197127107532573,False
Congo,female,0.06913048529177268,-0.01881001554005574,False
Congo,boy,0.1978722820029176,0.08333377124620626,True
Congo,girl,0.09800371487280028,0.028494576248357537,True
Congo,man,-0.21786113649577518,0.07285733029382377,False
Congo,woman,0.15258289065037095,0.02863989637461719,True
Tanzania,male,0.14100293222414456,0.03684921516197627,True
Tanzania,female,0.1375769234895724,-0.014118741387185376,False
Tanzania,boy,-0.5563730246593054,0.022994527756971125,False
Tanzania,girl,-0.5956517414995329,-0.031236184067447468,True
Tanzania,man,-0.6938286649310129,0.04452182714325134,False
Tanzania,woman,-0.23469105327759898,-0.01333541007292177,True
South Africa,male,0.3654408722535782,0.07708918850256083,True
South Africa,female,-0.00315919966040327,-0.0858739436799063,True
South Africa,boy,-1.145802554474148,0.12102329112363405,False
South Africa,girl,-1.0292383875155822,-0.05520270663322771,True
South Africa,man,-0.7994503300820118,0.17941833520781741,False
South Africa,woman,-0.5382051504184664,-0.0005930033411356866,True
Kenya,male,0.22598084752862155,0.15101396710959064,True
Kenya,female,-0.09084571957696175,-0.11175913652944071,True
Kenya,boy,-0.5492227425321402,0.21290393068808885,False
Kenya,girl,-0.7166522678206577,-0.08968654841846481,True
Kenya,man,-0.6841759543424143,0.26117453255530015,False
Kenya,woman,-0.27414090307556405,-0.03835720001198209,True
Uganda,male,0.09876078324849391,0.05819297788588168,True
Uganda,female,0.023845683144613165,-0.1265678693445198,False
Uganda,boy,0.0008454877156514755,0.10584253322288022,True
Uganda,girl,-0.24432404146136633,-0.11880922586101964,True
Uganda,man,-0.5355967575762058,0.14132850771182273,False
Uganda,woman,-0.09168688795509426,-0.09400376190368182,True
Sudan,male,0.5494341427155093,0.0005628913577531202,True
Sudan,female,0.5105075672035787,0.11412571143230768,True
Sudan,boy,-0.4729835574484143,-0.04665557837077572,True
Sudan,girl,-0.4702497664135791,0.10756631343305144,False
Sudan,man,-0.2455607982294581,-0.05836250934870101,True
Sudan,woman,0.4169977099185429,0.10215689075027393,True
Algeria,male,-0.13565417353460268,-0.07873387587263085,True
Algeria,female,0.1638761440443298,0.1643966973313426,True
Algeria,boy,-1.0091789974091312,-0.10954401842664356,True
Algeria,girl,-0.49524797821246735,0.19896707733604327,False
Algeria,man,-0.3517702717167403,-0.16248743289242276,True
Algeria,woman,0.3589940565850347,0.16712685745397016,True
China,male,-0.08497401800743835,0.05086830310572699,False
China,female,0.39283037737969695,0.003869391266836948,True
China,boy,-0.2750858311123657,0.012784521688681553,False
China,girl,-0.16219919820303294,-0.03891008698670813,True
China,man,-0.3449351550359647,0.033262548395731506,False
China,woman,0.14067971013937838,-0.03502777073411138,False
India,male,-0.33304082071911617,-0.030776296341826725,True
India,female,-0.3905862738244478,0.07766009439488311,False
India,boy,-0.6904191912692237,-0.05566405616016647,True
India,girl,-0.6631402230622564,0.0874221801756921,False
India,man,-0.7785065665279995,-0.056315230765953975,True
India,woman,-0.3729650535427557,0.06664425899472366,False
Indonesia,male,0.5738659744492942,0.05685643427076108,True
Indonesia,female,0.3633622282421062,0.09669773820653108,True
Indonesia,boy,-0.8003871719891252,0.043585469704286416,False
Indonesia,girl,-0.5277152676783999,0.11190443441326703,False
Indonesia,man,-0.5945088114991762,0.04522818906222949,False
Indonesia,woman,-0.3374900581306959,0.11816203261832714,False
Pakistan,male,0.16874115693915978,0.016471693709462124,True
Pakistan,female,0.271438063386764,0.07894662582434564,True
Pakistan,boy,-0.7500034970674572,-0.025597823289605595,True
Pakistan,girl,-0.41492585721599967,0.06439689736537073,False
Pakistan,man,-0.5750664245135059,-0.015575062278629002,True
Pakistan,woman,0.19583256775377889,0.0719620554738458,True
Bangladesh,male,-0.1939757843243838,0.06463176833627945,False
Bangladesh,female,0.12893117320539585,-0.08008989039483846,False
Bangladesh,boy,-0.44149484858384963,0.07844287271345479,False
Bangladesh,girl,-0.19746350361407652,-0.10012253757404631,True
Bangladesh,man,-0.8763432141602193,0.11405541302065579,False
Bangladesh,woman,-0.05497222126748849,-0.08492694601749586,True
Japan,male,0.5690594578327083,0.11016700089205105,True
Japan,female,0.6301669255338558,0.10240954819432775,True
Japan,boy,-0.43787489687147146,0.08838667090603737,False
Japan,girl,-0.25624258471788636,0.09814671858664764,False
Japan,man,-0.6052383834504556,0.06778428606236495,False
Japan,woman,-0.5022126963293425,0.09311294013263252,False
Philippines,male,0.6595536097493523,-0.056088159210620804,False
Philippines,female,0.5927486302956301,-0.056872258964076994,False
Philippines,boy,-0.49450346619110136,-0.015069650689084915,True
Philippines,girl,-0.07868692054514335,-0.030725494360041218,True
Philippines,man,-0.5522501453180495,0.005064070663653993,False
Philippines,woman,-0.3957634973518964,-0.03338773140653875,True
Vietnam,male,-0.5551180058188511,0.04739646975863398,False
Vietnam,female,-0.1766214062932166,0.03337580025245625,False
Vietnam,boy,-0.800870567117489,0.056921957767339625,False
Vietnam,girl,-0.5274898358114584,0.04494497944028762,False
Vietnam,man,-0.6654887629642279,0.08464407230506518,False
Vietnam,woman,-0.2769373448457167,0.06207425499171809,False
Iran,male,0.003654136952351849,-0.0662104568626664,False
Iran,female,0.2624669931499812,0.2591681052935903,True
Iran,boy,-0.5828581876429678,-0.1557849849450711,True
Iran,girl,-0.37325754862948646,0.26559771376442753,False
Iran,man,-0.4735899506789724,-0.20243229801164234,True
Iran,woman,0.08314653597031559,0.23319278457346215,True
Turkey,male,0.26751540120210116,0.015155900536343914,True
Turkey,female,0.6274911293507902,0.11922309084216079,True
Turkey,boy,-0.7669888074882011,-0.029838529383387942,True
Turkey,girl,-0.11491479952208392,0.12731678056524043,False
Turkey,man,-0.3683879218027327,-0.05970040676082128,True
Turkey,woman,0.3346756726116926,0.0980854478888676,True
Russia,male,-0.04661470886213149,-0.04567927058750835,True
Russia,female,0.5170017624717763,0.23097722739240475,True
Russia,boy,-0.18543147545622016,-0.0721144850389602,True
Russia,girl,0.23262579794741134,0.2723602022971125,True
Russia,man,-0.05037117601727615,-0.15374984109810613,True
Russia,woman,0.5777625464863245,0.23733631676265504,True
Germany,male,0.12213236876707276,0.1835399958968207,True
Germany,female,0.08167174431784616,0.10602851330380882,True
Germany,boy,-1.0408292327704511,0.22382802213697642,False
Germany,girl,-0.5640817320638244,0.18475857891335126,False
Germany,man,-0.9909432873730963,0.22800666666345767,False
Germany,woman,-0.6774446452600557,0.23101802918209566,False
United Kingdom,male,0.992727937108744,0.16629829562415946,True
United Kingdom,female,0.7617091015926898,-0.21504796012714217,False
United Kingdom,boy,-1.3639321860984897,0.21119365681684943,False
United Kingdom,girl,-1.0115832173378716,-0.23201315032511807,True
United Kingdom,man,-0.4443961889236487,0.3064106689598529,False
United Kingdom,woman,-0.2342450450744051,-0.1496842373657836,True
France,male,-0.4075775732700506,-0.008237723030756795,True
France,female,-0.5250894993862409,0.08828432362931601,False
France,boy,-0.9197511091669133,0.04629332437880156,False
France,girl,-0.5502401912018179,0.18214759445744802,False
France,man,-0.5876472148726651,0.011793677660995372,False
France,woman,-0.4317916541811536,0.18083696791686624,False
Italy,male,-0.26988695874341956,-0.10427825451867463,True
Italy,female,-0.15333566476707625,0.2530292960454935,False
Italy,boy,-0.9885888750030312,-0.10867477357852129,True
Italy,girl,-0.6423946940536804,0.3389635548960054,False
Italy,man,-0.888843172880631,-0.1976605255266039,True
Italy,woman,-0.39958708963491124,0.299000015984092,False
Spain,male,-0.05152571718550756,-0.06643450889040205,True
Spain,female,-0.17060627245599666,0.24344126717788336,False
Spain,boy,-0.953525719706224,-0.06211492644664949,True
Spain,girl,-0.45893755872367387,0.3176551398873148,False
Spain,man,-0.5966963794986442,-0.1666608599982604,True
Spain,woman,-0.40947640870932217,0.2601929743621144,False
Ukraine,male,0.2637612413397269,0.03677169883636187,True
Ukraine,female,0.37431921097790843,0.07422563008365278,True
Ukraine,boy,-0.44147263314763435,0.06677104041370653,False
Ukraine,girl,-0.038062973945109664,0.12703662743591174,False
Ukraine,man,-0.5744146291290115,0.008431432193928175,False
Ukraine,woman,-0.025097051587934908,0.0897875200155481,False
Poland,male,-0.11718501512623068,0.09548935858303591,False
Poland,female,0.03460180378073496,0.04499856278389804,True
Poland,boy,-0.42311459797304735,0.1545184366300898,False
Poland,girl,-0.12253461691590713,0.11627296475946705,False
Poland,man,-0.6909438434350629,0.1291863755149885,False
Poland,woman,-0.23974910817325226,0.10992136147083893,False
Romania,male,0.3375354869658756,-0.026685739026250148,False
Romania,female,0.2588242041672448,0.10426255016616578,True
Romania,boy,-0.3723025558999982,-0.01868052838998323,True
Romania,girl,-0.18660768427415553,0.1393375675327446,False
Romania,man,-0.6917444977635072,-0.09186537672672847,True
Romania,woman,-0.3195496952152575,0.08977625307885255,False
Netherlands,male,0.1106094599668947,0.20448235968245163,True
Netherlands,female,0.020139521070973665,-0.16216736477404212,False
Netherlands,boy,-1.104681748118257,0.33112904047447456,False
Netherlands,girl,-0.72013600890859,-0.08545080147025119,True
Netherlands,man,-1.0885556090733737,0.3800532577664651,False
Netherlands,woman,-0.8404539389636196,-0.029061690914289076,True
Austria,male,0.019733354435991442,0.16754369426268065,True
Austria,female,-0.00026170072125252403,0.08104791622632145,False
Austria,boy,-0.9782155911056678,0.18216041191083593,False
