index,country_isomap_x,country_isomap_y,country_tsne_x,country_tsne_y,country_umap_x,country_umap_y
accountant,-0.3882134650359459,0.06448761978709479,84.82212,-81.73325,12.093362,6.0106854
air traffic controller,-0.35605846153376713,-0.28024536515356047,62.01889,-173.61577,11.341822,7.061881
architect,-0.2721038428281311,-0.19073167521999246,159.66835,-127.34289,13.499214,7.488656
artist,0.014700678139072922,-0.43101619132984725,13.234617,64.09169,9.59593,6.8221445
attorney,-0.712984547307218,0.1406197318693862,-165.6072,-73.57505,12.860157,3.3111775
baker,0.6226612779388061,-0.10685258102570347,28.917645,180.3669,1.8875242,10.643598
banker,0.2815561275050722,1.0791087852989387,-126.69278,110.99562,3.138422,12.630531
bartender,-0.7392813631857117,0.30951318270901973,-194.75768,-6.094512,11.771039,4.156061
barber,-0.31172378706059367,-0.2732255332654785,144.60635,-136.02655,13.364713,7.353499
barman,-0.7381384754236101,0.3972823962645253,-166.24818,-45.21468,12.297542,3.470031
barmaid,1.091655918150131,-0.11671938402967315,50.563877,128.43874,2.8478286,10.64009
bookkeeper,0.15891374244316628,0.23185184523856908,-45.76517,152.07452,1.7046263,12.138039
broadcaster,-0.563580736269199,0.1354189845498739,16.245493,-63.111706,11.814204,5.1531353
builder,-0.5069829913202033,0.7136529078569737,-146.86838,67.13064,11.280808,3.3507984
businessperson,-0.5240406899636161,0.4177625349005108,-159.91039,8.199666,11.453814,3.8451436
businessman,0.11332017638669101,0.12350904643918922,-34.06273,134.88556,1.9374291,12.345762
businesswoman,1.2922548558763467,0.3264082517286956,43.38359,106.781784,2.8764706,10.989903
butcher,0.9709092585072723,0.3866667990340621,-27.98831,211.72604,2.7996917,11.532558
captain,0.38435268665984795,0.6503126103616877,-82.242355,133.15012,2.671196,12.38987
carpenter,0.35359501928860637,0.10594561483381927,3.5450597,178.87852,1.701532,11.369386
cashier,-0.5275639761849367,0.36050438001203966,-12.52518,-52.23982,11.5093975,4.046538
chef,0.35548162168745057,-0.5151201851770725,-706.0999,-12.155208,3.1820142,9.590412
coach,-1.136518448322147,0.5573228014765743,-93.859,-74.04855,12.510864,2.592706
cook,0.711611084495755,-0.3536503481525586,69.815636,166.73877,2.2960575,9.951189
computer programmer,-0.39470284150253215,-0.22104094408443445,48.476746,-156.13925,11.665393,6.9573064
dancer,1.9204178914633245,-0.6904610917401193,112.10622,241.68791,0.9032449,9.195706
dental hygienist,-0.4812732650352043,-0.2011836162008459,-1.9348702,-154.02464,11.977423,7.2466736
dentist,-0.47853736355336035,-0.1812012925093368,19.655148,-124.989136,12.040659,6.5737734
designer,-0.574635581712943,-0.24978817570214595,-42.781235,-168.13412,11.764034,7.890741
developer,-0.439659619778767,-0.28897356137408814,34.212418,-171.71349,11.479079,6.681936
dietician,-0.4780128978879345,-0.22091909747202476,5.47092,-165.5921,11.9726515,7.1752596
doctor,0.5287450075247009,0.442260332101317,-38.328667,199.68974,2.626576,11.85524
economist,-0.4335294252616564,0.17511502493779457,80.51281,-67.66405,12.545027,5.5665646
editor,-0.5775014950083962,0.06122474993246985,-204.61673,-99.1549,12.955777,4.159178
electrician,-0.5346588921032707,-0.04301524487684652,-189.299,-95.63077,13.17364,4.018049
engineer,-0.40456954318218774,-0.1676435449068126,44.731236,-127.04222,11.688163,6.2839475
farmer,0.9387267199332447,-0.12166063264415213,57.13886,176.84315,2.1071727,10.23396
filmmaker,0.14526904419028036,-0.4706427044877791,729.277,186.7838,9.362894,7.0110936
financier,-0.13425601251007757,0.6273297496295421,-153.50539,46.1543,11.315893,3.6330261
fireman,-1.1325204740629087,0.11807214033227648,-101.81015,-62.596764,12.625374,2.6311586
fisherman,1.0435202528963317,-0.5916226374970627,99.68901,183.3418,1.3370128,9.424722
flight attendant,-0.5172105897102527,-0.21251486969108827,-10.783584,-9.949335,10.900013,5.42763
gardener,1.2626435606953095,-0.3722020190869627,101.76197,221.20921,0.8190379,9.512659
guidance counselor,-1.019562081512835,-0.002478013083818895,-115.507935,-41.64956,12.722149,2.8225973
hairdresser,-0.31776936816088214,-0.13295230599983654,121.70442,-121.72481,13.091375,7.054109
homemaker,1.011829275407192,0.21507302371147952,34.177185,117.48122,2.8538413,10.945206
housekeeper,0.9184994611755432,-0.279690257670886,60.147167,147.236,2.5285962,10.268517
interior designer,-0.5664761699306734,-0.20717447290294821,-45.04045,-181.65219,11.74588,8.103516
jeweler,1.1336118036058316,-0.13456561131185504,83.820465,218.88144,1.033814,9.719468
journalist,-0.38565568792316784,-0.3866874274250496,14.037373,-204.5789,11.255769,8.405247
judge,0.35968534393774343,1.5828514665444546,-145.19507,135.81529,3.5228755,12.873681
lawyer,-0.24454836754493464,0.07591892520011974,120.44209,-100.255905,13.07355,6.921496
librarian,-0.6844135725221424,-0.05846564675395297,-172.18988,-110.9096,13.392887,3.5341198
maestro,1.111767520979833,0.18772876138667693,122.69861,213.04648,0.6335873,9.411777
magician,0.459322835290243,-0.7524047827096058,128.86916,97.9914,2.86212,9.324575
mason,-0.08318604432933101,0.9159170531643496,-134.95699,93.9882,11.065782,3.228511
mechanic,-0.2906040273155265,-0.20862497281461276,51.10374,-110.04047,11.43279,6.343542
musician,0.9304035964038321,-0.6235426799779571,111.61828,155.49083,1.7988107,9.498416
nanny,-0.44946991708415773,-0.18509113864901433,7.482903,-91.95342,11.431633,5.7623334
nurse,0.5887991558750804,0.10543167261062339,9.349484,123.57869,2.5140724,11.324143
nutritionist,-0.47082653978979305,-0.24195948947318754,-22.282175,-193.46454,11.653723,8.298308
optician,-0.24324382264463942,-0.37925887178230894,137.31528,-153.0034,13.478261,7.5591416
painter,0.616828011333761,-0.6654501357310108,120.46483,79.50831,2.6962261,9.296179
pharmacist,-0.28347479098618517,-0.20648659977518577,131.33195,-134.34244,13.306569,7.2949944
philosopher,1.5377309755712811,-0.21785620725727523,81.97091,240.45766,0.84125817,9.22222
photographer,-0.2122238665824815,-0.5084612808691045,85.382484,-157.55476,10.6559925,6.981788
physiscian,-0.43781760707437023,-0.4198727854618214,-26.772257,-224.65135,11.736896,8.471885
physician's assistant,-0.589264477803301,0.06577051837066998,-187.87675,-79.69492,12.745352,3.860753
pilot,-0.04935666337088185,-0.10528570999817914,12.87911,22.231249,9.745416,6.2835536
plumber,-0.6654500732808752,-0.00515398782779112,-204.01361,-74.49526,12.76769,3.6816146
police officer,-0.704099309542094,-0.033835514816760504,-30.68719,-16.995136,11.298391,5.0057063
policeman,-0.08332641462808008,-0.0622286054621815,22.632383,7.489186,9.902,6.1028295
politician,0.7435319340399592,1.0779688336886746,-117.6736,125.87549,3.341579,12.685902
postman,-0.7497677491697274,0.11866018067730008,-155.04964,-88.19145,13.130657,3.19459
professor,0.06061187297990678,0.17165917813079073,-30.909616,149.12263,1.8102597,12.163185
programmer,-0.3324386576974412,-0.317986399680743,63.578007,-154.16672,11.232866,6.8172455
psychologist,-0.42774505026852583,-0.11970195091061903,13.521314,-143.77505,12.0072565,6.840135
receptionist,-0.486384285429526,-0.10114727362475266,22.314602,-81.128136,11.5058565,5.6236877
salesperson,-0.7403516441385876,0.451253413302548,-175.16469,-7.3021336,11.928023,3.8779867
scientist,-0.4293149040311878,0.020912259639835895,103.01708,-65.114006,12.263263,5.9124207
scholar,0.7547351152747854,0.11521918318859131,12.7783375,199.80545,1.6826977,10.932985
secretary,0.17773274900176766,0.30226876700449035,-55.865997,133.12831,2.1722956,12.170843
server,-0.940865513602052,0.013042261603218036,-123.29975,-51.143475,12.881138,2.9106913
singer,0.8203581727749817,-0.6570336866151314,-39.389484,-65.75205,1.8306321,9.503977
skipper,-0.7535501588524288,0.16193427780656472,-194.64784,-26.986423,12.316785,4.018802
soldier,1.0618710692494913,1.2461632146289636,-238.10934,1059.8955,3.582703,12.720026
socialite,0.5942963230738706,0.30759340210189623,-56.197693,199.93375,2.5269094,11.739134
stylist,-0.5559863031909172,-0.2308605604595702,-29.306988,-156.04048,11.729471,7.6299767
surgeon,0.21103478917458576,0.2487381894614196,-26.16668,166.11436,1.955823,11.9309635
teacher,1.2252858977767227,-0.2871768417266231,98.588066,203.95963,0.90658194,9.434921
therapist,-0.6914290195180833,-0.0586115558155396,-220.3943,-73.91013,13.087385,3.8913312
translator,0.4248529531523713,-0.6888128146496092,111.45345,88.82205,2.718407,9.120579
undertaker,-0.7369150895425783,-0.06402063034590155,-153.31905,-107.303566,13.438197,3.3832972
veterinarian,0.006819170361497134,-0.15001318671110467,14.110431,35.553505,9.624393,6.5647645
videographer,-0.44816033455539706,-0.3895158207882356,-63.972546,-35.84475,11.375999,8.561013
waiter,0.8632704626847034,-0.46747554580404255,88.00325,167.89722,2.1834927,9.637447
waitress,-0.23422462911765551,-0.16305812732747005,2.4771786,-0.048933104,9.958753,6.0464244
warrior,1.3633651744856954,1.3461586254174898,155.68529,-946.5734,3.5152428,12.732017
writer,-0.5004176605070603,-0.34126110909324603,-32.870865,-204.11078,11.66875,8.369517
