country,sport,direct_correlation,indirect_correlation,same_correlation
Nigeria,football,1.4905325056100716,-0.036789035132893756,False
Nigeria,basketball,0.989130699746285,-0.040025528992106325,False
Nigeria,cricket,1.4633438781748822,0.06680828311582102,True
Nigeria,hockey,-0.8835821592295262,-0.09536608029593185,True
Nigeria,tennis,-0.47858219428173143,-0.07424109356560833,True
Nigeria,volleyball,1.2170969576545674,-0.06289751737497494,False
Nigeria,baseball,-0.031154214915394367,-0.04456656493751752,True
Nigeria,rugby,1.1079681673468451,-0.044214674403187756,False
Nigeria,golf,-0.4179436344248476,-0.024059756711920236,True
Nigeria,athletics,1.3903878224435209,0.00471671364209033,True
Nigeria,badminton,0.4426007097946837,-0.07068614620501551,False
Nigeria,boxing,1.1461948318573496,-0.04245820147108153,False
Nigeria,cycling,-0.43670231094372586,-0.1116615044043763,True
Nigeria,swimming,-0.09924173212132495,-0.03291715091660326,True
Nigeria,shooting,0.026045624513492998,-0.007158016997942716,False
Nigeria,gymnastics,-0.45998161949165933,-0.02818737272412788,True
Nigeria,wrestling,0.954510715961865,0.018762997204512973,True
Nigeria,skiing,-1.7491341336229693,-0.11817649051364046,True
Nigeria,bowling,0.24955778838014464,0.023476255742454988,True
Ethiopia,football,0.3879968338756873,-0.1342625615997707,False
Ethiopia,basketball,0.8185821344863699,-0.06104435886368777,False
Ethiopia,cricket,0.8284740354237111,-0.07700648178198219,False
Ethiopia,hockey,-1.174456902105001,-0.15377439785620892,True
Ethiopia,tennis,-0.18447913148778008,-0.011514951166415908,True
Ethiopia,volleyball,1.505694940234111,0.09493263962139734,True
Ethiopia,baseball,-0.5058101194151721,-0.14833083161596142,True
Ethiopia,rugby,0.4066285705926883,-0.1553911366161802,False
Ethiopia,golf,-1.0807853990638645,-0.1368343938506728,True
Ethiopia,athletics,1.3562048329605287,-0.07442053540614517,False
Ethiopia,badminton,0.6767834148262757,-0.03920625764813297,False
Ethiopia,boxing,-0.05811204416521785,-0.11536715264016438,True
Ethiopia,cycling,-0.28959561927730276,-0.10893314007615794,True
Ethiopia,swimming,0.06751790619672805,0.056187317847149275,True
Ethiopia,shooting,-0.4418888844813693,-0.01695427060520469,True
Ethiopia,gymnastics,0.10424639287309262,0.042931449545606626,True
Ethiopia,wrestling,0.40515595045062347,-0.007813459913492757,False
Ethiopia,skiing,-0.6868841068825328,-0.08067470898675531,True
Ethiopia,bowling,-0.8571930689450042,-0.028643694805536725,True
Egypt,football,0.22057810544552456,-0.2785243976206269,False
Egypt,basketball,0.6405409201147569,-0.14293472202126836,False
Egypt,cricket,0.5916782878489383,-0.17469738897817425,False
Egypt,hockey,-1.644967773258388,-0.21998948441117225,True
Egypt,tennis,0.20136569963125275,0.03345164368266906,True
Egypt,volleyball,0.9944457981785163,0.1718519063380903,True
Egypt,baseball,-0.22509133827583452,-0.29616842138774463,True
Egypt,rugby,-0.4476219639179712,-0.26616740910591474,True
Egypt,golf,-0.03849692977652168,-0.26581411672477534,True
Egypt,athletics,-0.052140643616299956,-0.3431808517056368,True
Egypt,badminton,0.057836692395622245,-0.040955333554623746,False
Egypt,boxing,-0.6629648287797667,-0.3489866338843776,True
Egypt,cycling,-1.178683725650458,-0.26766300414005334,True
Egypt,swimming,0.10152513668837297,0.16786588371567518,True
Egypt,shooting,-0.22775724418611565,-0.0546747619331635,True
Egypt,gymnastics,0.01335281984954296,-0.05287293537115393,False
Egypt,wrestling,-0.25784004516837555,-0.3070161799578433,True
Egypt,skiing,-1.3462058736972315,-0.1716096789659581,True
Egypt,bowling,-0.940422750157881,-0.2545807826557811,True
Congo,football,0.7471661438684253,0.04789112928838101,True
Congo,basketball,0.655319797070857,0.023547058347039802,True
Congo,cricket,0.5077716791225536,0.046317226724059815,True
Congo,hockey,0.026149504672452542,0.019861105465812476,True
Congo,tennis,-0.6950646356147976,0.08393078130347377,False
Congo,volleyball,0.8120948948177746,0.020370039546757715,True
Congo,baseball,-0.286209681860367,0.01101955069986526,False
Congo,rugby,1.0424778730888102,0.08872770284028358,True
Congo,golf,-0.442740642608932,0.059723258013067736,False
Congo,athletics,0.26782183447367264,-0.19366786767834854,False
Congo,badminton,0.1136346082505483,0.013723344089052568,True
Congo,boxing,0.958492684600492,0.03477395580471541,True
Congo,cycling,0.21563958222979526,0.059356507476462345,True
Congo,swimming,-0.38292284419504413,0.19148292312452644,False
Congo,shooting,0.46001631558419614,0.11850877115576357,True
Congo,gymnastics,-0.4659194252014697,-0.1201779684946579,True
Congo,wrestling,0.19704409845109294,-0.05961964609514886,False
Congo,skiing,-1.1129889554659365,0.047126842021495204,False
Congo,bowling,-1.1305760019306816,-0.0487446036286474,True
Tanzania,football,0.4823690681209458,-0.018285937857750376,False
Tanzania,basketball,0.8181636426519503,0.01261707218337959,True
Tanzania,cricket,1.6840529468372538,0.0788377999457492,True
Tanzania,hockey,-0.560118867431054,-0.06174927821135949,True
Tanzania,tennis,0.2318652825181818,-0.018060582802540904,False
Tanzania,volleyball,1.4085032454835302,0.00893406112452022,True
Tanzania,baseball,-0.27619686739752247,-0.015578096911671287,True
Tanzania,rugby,1.3164852639215674,-0.006349006118197406,False
Tanzania,golf,0.07588632102179925,-0.011180016539747588,False
Tanzania,athletics,1.371669322144717,0.053610413516055264,True
Tanzania,badminton,1.2807960658248254,0.018016635934453618,True
Tanzania,boxing,0.5977720002155364,0.03810380150372303,True
Tanzania,cycling,0.9587802309733697,0.00816844767730833,True
Tanzania,swimming,0.37536474084001614,-0.015540905897941973,False
Tanzania,shooting,-0.2524294998028547,0.008575548492647272,False
Tanzania,gymnastics,0.4645342897992775,0.04127020217633891,True
Tanzania,wrestling,0.8778904261857753,0.13850669491045742,True
Tanzania,skiing,-0.3212361911487238,-0.04741257686197241,True
Tanzania,bowling,0.40077163425190876,0.09152313574321794,True
South Africa,football,0.4540040902392282,0.13076088660753177,True
South Africa,basketball,0.3043147347026177,0.08029613647695057,True
South Africa,cricket,1.6552625312227036,0.2567662036244483,True
South Africa,hockey,0.0995459215056698,0.16509866544565482,True
South Africa,tennis,0.23214610933552052,0.11530713870650972,True
South Africa,volleyball,0.5859361344099145,0.009470758160549821,True
South Africa,baseball,-0.42157670517195517,0.10991277194093219,False
South Africa,rugby,2.150050687812241,0.23569074060603154,True
South Africa,golf,0.48625889960055857,0.22426138807523824,True
South Africa,athletics,0.9002859476091233,0.12216647836456841,True
South Africa,badminton,0.7157828647464253,0.10825627472743155,True
South Africa,boxing,0.8728310394785493,0.043623237757137,True
South Africa,cycling,0.6657728782059036,0.16773568109256762,True
South Africa,swimming,0.09604080450570386,-0.06435384129480558,False
South Africa,shooting,0.06641922368894948,-0.04746983476876203,False
South Africa,gymnastics,0.31301237744939886,0.06551067157468411,True
South Africa,wrestling,0.14878574368013642,0.1948640560216119,True
South Africa,skiing,0.19745005464195114,0.08516112364983039,True
South Africa,bowling,0.9015853453200638,0.23796421942055873,True
Kenya,football,0.5076799427700049,0.10065047505321043,True
Kenya,basketball,1.4172426270649907,0.08625675056079389,True
Kenya,cricket,1.9006088613341732,0.2468188874341762,True
Kenya,hockey,-0.5605482348375794,0.059865580744882005,False
Kenya,tennis,-0.013907191665054197,0.04812886111980174,False
Kenya,volleyball,1.0730166139276969,-0.09255730349600062,False
Kenya,baseball,-0.2433509587495014,0.08311856464207831,False
Kenya,rugby,1.7800596301694365,0.1558925642383943,True
Kenya,golf,0.23514816467841948,0.14434177110708618,True
Kenya,athletics,1.6560090044061793,0.08753734999138621,True
Kenya,badminton,1.0708603288098482,0.03269055964393789,True
Kenya,boxing,0.9306375695761724,0.05853502085500231,True
Kenya,cycling,0.23539205748168354,0.05370447554369089,True
Kenya,swimming,0.32093078818661497,-0.11497090957766383,False
Kenya,shooting,0.12773370689679292,-0.06540230449342864,False
Kenya,gymnastics,0.35940375704645844,0.017128259481190695,True
Kenya,wrestling,0.9454949873549832,0.1787791068397357,True
Kenya,skiing,-0.9339249050089741,-0.050769462051114975,True
Kenya,bowling,0.22729872734428552,0.15927800496477273,True
Uganda,football,0.7281008670730611,0.08528296661406749,True
Uganda,basketball,1.363812696691534,0.040576637154350746,True
Uganda,cricket,1.560090175066642,0.15663360672732535,True
Uganda,hockey,-0.5167309253691796,-0.002543876595043541,True
Uganda,tennis,-0.13876738294251978,-0.017228795347377975,True
Uganda,volleyball,1.6418277125276894,-0.06769775932065122,False
Uganda,baseball,-0.05026687150955184,0.06338439944758019,False
Uganda,rugby,1.0522955526021396,0.08593101650569723,True
Uganda,golf,-0.3325414605471545,0.06867861059681743,False
Uganda,athletics,1.2090367677607308,0.031173787640157952,True
Uganda,badminton,1.0461894476640825,-0.025466135239296504,False
Uganda,boxing,0.5559447974166174,0.0604070672156454,True
Uganda,cycling,0.2672328933171836,0.02616524429173119,True
Uganda,swimming,-0.25916640210469466,-0.004513506223711849,True
Uganda,shooting,0.1122491864156579,0.03097448936867351,True
Uganda,gymnastics,-0.035151694121853934,-0.020317835732366736,True
Uganda,wrestling,0.4810945591625282,0.10992335961567114,True
Uganda,skiing,-1.0230939723563177,-0.030706217448200717,True
Uganda,bowling,0.03929059827950331,0.08539565895621054,True
Sudan,football,0.7673735970359862,-0.09687313882636683,False
Sudan,basketball,0.7400793697209159,-0.034758904633273725,False
Sudan,cricket,1.1856292607888048,0.010347363247232474,True
Sudan,hockey,-1.1114313278332948,-0.11983807369301638,True
Sudan,tennis,-0.017075768378384152,0.023576049425867836,False
Sudan,volleyball,1.0720552050312366,0.06538123465117064,True
Sudan,baseball,-0.17577914207896747,-0.10936936948487957,True
Sudan,rugby,0.3957470878972397,-0.10596777447677411,False
Sudan,golf,-0.15856420349399705,-0.09192825653259452,True
Sudan,athletics,0.7194287585412461,-0.09429710079798016,False
Sudan,badminton,0.8485924941009527,0.017418626402797267,True
Sudan,boxing,0.2075504635402479,-0.09965126258027347,False
Sudan,cycling,-0.13210626234487746,-0.1071037494818938,True
Sudan,swimming,0.2855974009169743,0.0963431495714149,True
Sudan,shooting,0.2711279180613916,0.012311564606387796,True
Sudan,gymnastics,-0.046093189400467194,0.022206551574988298,False
Sudan,wrestling,0.7087828801439524,-0.012578820778451896,False
Sudan,skiing,-0.8552841316709585,-0.09760771750330563,True
Sudan,bowling,-0.6518007491373919,-0.039510567038781925,True
Algeria,football,1.1311788574541741,-0.1666063128369391,False
Algeria,basketball,0.44009255154234245,-0.07082940670837068,False
Algeria,cricket,0.3451084579119241,-0.1531820044264816,False
Algeria,hockey,-0.9978676123395372,-0.12135653396768875,True
Algeria,tennis,0.1719015065854114,0.0661127566001157,True
Algeria,volleyball,1.2976572026463902,0.23736546950717502,True
Algeria,baseball,-0.41052742763676403,-0.18352953494646604,True
Algeria,rugby,0.5492130008917594,-0.1226747893943286,False
Algeria,golf,-0.0037862668077965934,-0.21554155768984132,True
Algeria,athletics,0.7879585617488246,-0.16996678025046694,False
Algeria,badminton,-0.23610168717534924,0.0463115280693953,False
Algeria,boxing,0.7810422035094791,-0.12098229020110857,False
Algeria,cycling,1.4194149945943415,0.0053679253003565295,True
Algeria,swimming,-0.05077012607031845,0.17412423976990216,False
Algeria,shooting,0.8761026277898226,0.008257341592915022,True
Algeria,gymnastics,0.2996779303274477,0.0011280664989654142,True
Algeria,wrestling,0.3708567127693646,-0.10203257715159067,False
Algeria,skiing,0.9886586483916427,-0.0032377266523228726,False
Algeria,bowling,-0.7197654218404044,-0.15538479638306632,True
China,football,-0.1611921133773061,0.06493222234903685,False
China,basketball,0.5216622547946347,0.08628741533943433,True
China,cricket,0.034729273517863646,0.10985960794598726,True
China,hockey,-0.13929788108184737,0.07117892480858304,False
China,tennis,0.5904445094347628,0.05704258573247771,True
China,volleyball,0.7430690056331918,-0.042621173266719985,False
