country,sexual_orientation,direct_correlation,indirect_correlation,same_correlation
Nigeria,heterosexual,0.9347998006784267,0.006240569506597616,True
Nigeria,straight,0.21783450510477156,-0.047253978396911124,False
Nigeria,homosexual,0.18130501299815438,0.008345896858549239,True
Nigeria,gay,-0.10918806676873219,-0.04202584390558927,True
Nigeria,lesbian,0.2843647884713503,-0.05003696494901059,False
Nigeria,bisexual,1.021099747913762,-0.03727782019940946,False
Nigeria,bi,0.3254339523287403,-0.19580404767695886,False
Ethiopia,heterosexual,0.11388275344106044,-0.0518138055265379,False
Ethiopia,straight,-0.3677998681845966,-0.06991285621197489,True
Ethiopia,homosexual,-0.29614066520536897,-0.07632514050289618,True
Ethiopia,gay,-0.5200594874114963,-0.07871923749092283,True
Ethiopia,lesbian,-0.21988882269715598,0.1121101941766231,False
Ethiopia,bisexual,0.3869506712962108,0.00978541762962203,True
Ethiopia,bi,0.14212480355888393,-0.08887085179320015,False
Egypt,heterosexual,-0.3038363570320443,-0.2858133502567754,True
Egypt,straight,-0.6703259033050406,-0.10854247272669995,True
Egypt,homosexual,-0.08352923415945109,-0.36845359242081316,True
Egypt,gay,-0.33763437468363405,-0.2439736252766869,True
Egypt,lesbian,-0.350946958688773,0.31713143323249277,False
Egypt,bisexual,-0.2837399174245779,-0.016630656705945907,True
Egypt,bi,-0.12302321760258365,-0.040493305325159705,True
Congo,heterosexual,0.29015620597580205,-0.06302994880147259,False
Congo,straight,-0.3736141265604684,0.11970512133445024,False
Congo,homosexual,0.15934577299572605,0.003944228007436456,True
Congo,gay,-0.05377807945865294,0.12370413580147252,False
Congo,lesbian,-0.18458480313188824,0.04596179005553557,False
Congo,bisexual,0.7198804770038185,0.017525422849988013,True
Congo,bi,0.38084150769519676,0.07765337746462411,True
Tanzania,heterosexual,0.40873262943956057,0.08495058147652912,True
Tanzania,straight,-0.32948108535886617,-0.0341251433569562,True
Tanzania,homosexual,-0.19373112176483032,0.10660938120831463,False
Tanzania,gay,-0.41360655164974053,0.022671997613147612,False
Tanzania,lesbian,-0.24516252079781117,-0.052036666330462764,True
Tanzania,bisexual,0.6377784069876093,0.02674006658315861,True
Tanzania,bi,0.5825814206430519,-0.09838169079670346,False
South Africa,heterosexual,1.3434539317964023,0.162685803540565,True
South Africa,straight,0.31857397489792033,0.19537515236603115,True
South Africa,homosexual,0.5898323366874482,0.1928902701172572,True
South Africa,gay,0.5640251160917991,0.2292422385370393,True
South Africa,lesbian,0.7135957334555245,-0.041940594943821255,False
South Africa,bisexual,1.3363501220570788,0.06788447767361468,True
South Africa,bi,0.9383806039276192,0.01805613221825984,True
Kenya,heterosexual,0.67420841002498,0.11814512905981947,True
Kenya,straight,-0.007279404750093949,0.22338950364880195,False
Kenya,homosexual,-0.08467351548314406,0.20087482943054702,False
Kenya,gay,-0.089929152875451,0.249369091610771,False
Kenya,lesbian,-0.07435716606982276,-0.12723687674800022,True
Kenya,bisexual,0.5989043354671701,0.012841847112738843,True
Kenya,bi,0.4772619427697291,-0.07341401004831499,False
Uganda,heterosexual,0.4605409765288392,0.05070865229507316,True
Uganda,straight,-0.18618144120661032,0.08832874201258693,False
Uganda,homosexual,-0.16161585483773463,0.12778425495974377,False
Uganda,gay,-0.14225996765737361,0.12519641868324533,False
Uganda,lesbian,-0.08385928452265132,-0.14018143700824448,True
Uganda,bisexual,0.7562864508757584,-0.026110102667890225,False
Uganda,bi,0.35435342416108084,-0.14469904307263243,False
Sudan,heterosexual,0.38748269659707346,-0.0965407134934613,False
Sudan,straight,-0.47200108015101816,-0.034310166667728424,True
Sudan,homosexual,0.2102200762194802,-0.08727038485891912,False
Sudan,gay,-0.11100925901010962,-0.065748235978773,True
Sudan,lesbian,0.0113191937195759,0.08116391103039834,True
Sudan,bisexual,0.5538266393977176,-0.006206742563446825,False
Sudan,bi,0.05776647433168772,-0.1162631378084404,False
Algeria,heterosexual,0.08147269026225135,-0.07147796882233243,False
Algeria,straight,-0.4209409876920498,-0.14752448758469894,True
Algeria,homosexual,0.0699225424689997,-0.09380292327413245,False
Algeria,gay,-0.1307357990639763,-0.08198304028405386,True
Algeria,lesbian,0.3181109715719754,0.25832900710946655,True
Algeria,bisexual,0.5827340881916434,0.08951171197561407,True
Algeria,bi,0.6316440159719645,0.08970605456473568,True
China,heterosexual,0.293471736334062,0.015730255403492606,True
China,straight,-0.5463695600748628,0.07604553502326337,False
China,homosexual,0.24344174160065288,0.014986944253538338,True
China,gay,-0.25106802519651655,0.04795842376483164,False
