country,beverage,direct_correlation,indirect_correlation,same_correlation
Nigeria,water,0.16194167941142704,0.11858075848588716,True
Nigeria,coffee,0.7075511024609354,-0.0999837834760743,False
Nigeria,tea,-0.8711328665549213,0.013352184149478408,False
Nigeria,juice,1.6200098175336581,-0.05666663136079164,False
Nigeria,milk,-0.12977635076942132,0.0030835903881925105,False
Nigeria,soda,0.5574682870198695,-0.11460183703316024,False
Nigeria,alcohol,0.8334501638274824,-0.061314645409435944,False
Nigeria,liquor,0.2884918907481319,-0.035097442639449854,False
Nigeria,beer,-0.001077688052717955,-0.060816780156607145,True
Nigeria,wine,-1.1830739275874473,-0.04774761681604007,True
Nigeria,vodka,-2.001531902060274,-0.16214417614835952,True
Nigeria,whiskey,-0.02927501022986712,0.019474830171365358,False
Nigeria,champagne,-1.005699787690087,-0.09148462770736464,True
Ethiopia,water,0.6924112563784347,0.20822207183031274,True
Ethiopia,coffee,1.6268815266705532,-0.17695480620698775,False
Ethiopia,tea,-0.035474239487763036,0.08114222135689138,False
Ethiopia,juice,1.0318683615033906,0.0658420543240326,True
Ethiopia,milk,0.6752976080202914,0.19944123271371195,True
Ethiopia,soda,-0.6711923720015288,-0.14031230970905698,True
Ethiopia,alcohol,-0.9508628603131305,-0.1012070868931339,True
Ethiopia,liquor,-1.5806228183287825,-0.11967428857082042,True
Ethiopia,beer,-0.9287420859329907,-0.24253751289000117,True
Ethiopia,wine,-1.0653639408546383,0.043078627860757224,False
Ethiopia,vodka,-2.980598675381339,-0.13690909640995505,True
Ethiopia,whiskey,-1.6248329823499679,-0.166795894865515,True
Ethiopia,champagne,-1.2671012942792825,-0.018549277257528,True
Egypt,water,0.7077602473966909,0.28571017220621114,True
Egypt,coffee,0.07279794662965104,-0.2857884464127101,False
Egypt,tea,0.744406076681838,0.30220919249053774,True
Egypt,juice,-0.09597127875347754,0.18052214595984323,False
Egypt,milk,0.3005227558667995,0.44286061321729,True
Egypt,soda,-0.9334974846047286,-0.3263230281663518,True
Egypt,alcohol,-0.7816191515644272,-0.22974911944438528,True
Egypt,liquor,-1.1409534633238678,-0.28667088805254004,True
Egypt,beer,-1.4771564431475854,-0.5630670610356886,True
Egypt,wine,0.004321397754339182,0.12962135051817392,True
Egypt,vodka,-2.220589091313297,-0.1666797125015685,True
Egypt,whiskey,-1.4161106253196079,-0.45731632916212006,True
Egypt,champagne,-0.5432421036537645,0.24026761763965324,False
Congo,water,0.3929889633557888,0.033752563318852825,True
Congo,coffee,1.1612202429239313,-0.21250768700731662,False
Congo,tea,-0.07262281548266324,-0.04271396232338891,True
Congo,juice,1.2634705217905509,-0.03351138663009212,False
Congo,milk,0.208212451480071,0.07722797731337422,True
Congo,soda,-0.29120007011309146,-0.17698547985160729,True
Congo,alcohol,-0.8356354466631654,-0.04780003658124056,True
Congo,liquor,-0.22346244392464643,0.0237168974623542,False
Congo,beer,-0.47482626115215293,-0.12625846132772706,True
Congo,wine,-1.4898116166119264,0.17197507551766983,False
Congo,vodka,-2.2154449319059477,-0.00302029826024258,True
Congo,whiskey,-0.26166885805241535,-0.09015232204400435,True
Congo,champagne,-0.4409746582326596,0.1003842792539202,False
Tanzania,water,0.47251844582846136,0.1348158821454828,True
Tanzania,coffee,0.7285772197201775,-0.08441101145714106,False
Tanzania,tea,1.0700879123819707,-0.03033307224015682,False
Tanzania,juice,1.743734963347283,-0.01745524698582113,False
Tanzania,milk,0.8516845466688866,-0.005738261430663448,False
Tanzania,soda,-0.10550913764120677,-0.05896216547360285,True
Tanzania,alcohol,-0.9688826716139296,-0.024325409118040976,True
Tanzania,liquor,-0.7679087394356596,-0.011072968032238662,True
Tanzania,beer,-0.5758089216822345,-0.02672515086657631,True
Tanzania,wine,-1.2948854427755478,-0.03221784290822534,True
Tanzania,vodka,-2.1208314202519123,-0.10199241597267031,True
Tanzania,whiskey,-0.7359108572334272,0.022097805271353473,False
Tanzania,champagne,-0.7757166104119393,-0.13352350631541648,True
South Africa,water,-0.5284761580909954,-0.1341857257207669,True
South Africa,coffee,1.040269528374431,0.08638461607097705,True
South Africa,tea,0.15222935589415085,-0.07795933653662007,False
South Africa,juice,1.7048426202034437,-0.10204404655206861,False
South Africa,milk,-0.9577022705542558,-0.21892843015730581,True
South Africa,soda,0.2575588857607388,0.05420932912579697,True
South Africa,alcohol,-0.09997252385794483,-0.046076656810650506,True
South Africa,liquor,0.01404095667676375,-0.027550004666812702,False
South Africa,beer,0.4197393737187239,0.16992934875672058,True
South Africa,wine,-0.6493679316716607,0.03170018429663452,False
South Africa,vodka,-1.1752014678431713,-0.0792451097519621,True
South Africa,whiskey,-0.35011819283971546,0.16634237346662717,False
South Africa,champagne,0.7867223543156519,-0.14979297039760253,False
Kenya,water,0.5866510569744589,0.021629393478877736,True
Kenya,coffee,1.1837115348668457,-0.06765752070017401,False
Kenya,tea,0.7139073982381103,-0.11178304055587036,False
Kenya,juice,2.1734258595248312,-0.06518694745134836,False
Kenya,milk,0.9225255773696857,-0.12244563820621557,False
Kenya,soda,-0.15159718356584614,-0.050974588118875355,True
Kenya,alcohol,-0.7657618934485833,-0.05020013643346559,True
Kenya,liquor,-0.9129269253440796,-0.06419938400619163,True
Kenya,beer,-0.853431925799959,0.10856308408346792,False
Kenya,wine,-1.5073858366070114,-0.0009599302687150808,True
Kenya,vodka,-2.5888258724237296,-0.10368805559523465,True
Kenya,whiskey,-0.5035903045546756,0.15211863420003705,False
Kenya,champagne,-0.6453330962062883,-0.22924744341188408,True
Uganda,water,0.4844851797650906,0.0930617773135679,True
Uganda,coffee,1.2833452135844747,-0.15426672281399023,False
Uganda,tea,0.3886345501856566,-0.10546406225223774,False
Uganda,juice,1.7886528053468786,-0.09687532527936145,False
Uganda,milk,0.6797902039826453,-0.04921594133861262,False
Uganda,soda,0.11399886635647757,-0.1196395484619565,False
Uganda,alcohol,-0.6994281034705833,-0.04071053942250999,True
Uganda,liquor,-0.6517129241043552,-0.0042565162494671805,True
Uganda,beer,-0.23294980381076563,0.03531048904567247,False
Uganda,wine,-1.8200923423291373,-0.006899646856745144,True
Uganda,vodka,-2.6451267872956397,-0.12279834131848352,True
Uganda,whiskey,-0.8317628122274343,0.08222579919239988,False
Uganda,champagne,-1.194067594050094,-0.1823299531511406,True
Sudan,water,0.8352923407048225,0.2240429406505195,True
Sudan,coffee,0.6256113296013903,-0.22106312900810268,False
Sudan,tea,0.7136023985764463,0.08763269203157217,True
Sudan,juice,0.6773251853990033,0.04119068887347492,True
Sudan,milk,0.23684685093109034,0.16121523860517858,True
Sudan,soda,-1.03445339404483,-0.20931442681579926,True
Sudan,alcohol,-0.4809545976046748,-0.09158285826040773,True
