direct_correlation,indirect_correlation,same_correlation
-0.25256760380898163,-0.014101651370321402,True
-3.717674302824739,-0.14226872816064276,True
0.8481186204532888,-0.032124851767046936,False
0.30018683011515956,0.05015819983019629,True
-2.1442625925932526,0.11704843163282802,False
0.6614683980938723,0.02968174652730921,True
-0.4273428861073222,-0.029072533918852582,True
-2.5634154755934837,-0.18730146937585662,True
1.1330640672457788,-0.1442893648893694,False
0.07087106931399854,0.03595326166112144,True
-1.8301929366979728,0.17837375538126654,False
0.04701040382408931,-0.046644153069252736,False
-0.7619062334617054,-0.18844745000610985,True
-3.2967442880991475,-0.16051446443051978,True
-0.5830875739847972,-0.32432426147436855,True
-0.04463964385438767,0.0366434436135652,False
-0.8724939401403837,0.04685006753268396,False
1.080539875276194,-0.04561815613297403,False
-1.0278997777027368,0.03907730652723111,False
-1.3076644555818668,-0.10650493744877314,True
0.9278324809570155,-0.15842465461543678,False
-0.4166658882686332,0.1263758245885277,False
-2.579514267657435,0.011719784652538652,False
-0.5675726799268085,-0.12631142038847692,True
-0.9210089155923711,0.03223487005737762,False
-1.4410910809697446,-0.07716306447652083,True
0.7343347271236624,-0.03943284787299762,False
0.13421869330001668,0.08775042906895768,True
-2.3081864705316653,0.1469828381964749,False
0.6257791842180183,0.07952885469486809,True
-0.6424066595551808,0.21217473576408702,False
-1.8659880388795664,-0.03800012128006998,True
0.8666902384274305,0.10476798821302243,True
-0.5520429355758486,0.0417552939200903,False
-0.6436649009514906,0.16109206294750178,False
-0.006198690673463427,0.0024122251802921506,False
-1.2534410277805481,0.2413789332051894,False
-2.290717954869949,-0.11082038170644717,True
1.2177414028839233,0.06285107387976173,True
-0.031540391715611196,0.17872948203825595,False
-1.5989210589735692,0.3214778590868405,False
0.09217518344663336,-0.06263092253375734,False
-0.9343718775166406,0.11399723618402731,False
-1.9171275794859575,-0.12881684008527605,True
1.334905613164979,-0.014402927646233868,False
0.2184416037382647,0.12339581246054677,True
-2.45061475309057,0.18182919883216367,False
-0.38351024841140063,-0.05817066327450763,True
-0.7241912332672171,-0.043385531109831635,True
-3.845241180752675,-0.1648092107402416,True
0.20599839514454418,-0.17599178682127037,False
-0.03249534991271858,0.09805337896588569,False
-2.8050591944830017,0.1437700505844279,False
1.094626219414317,0.07265241630206827,True
-0.04124876543130808,-0.08485882563796232,True
-4.317955242778406,-0.22966834539825737,True
-1.107363315110415,-0.297920829737141,True
-0.7288808168334401,-0.0038609362880177053,True
-2.124630383676897,-0.030716363663100543,True
1.2184388396041979,0.0435755394406993,True
0.017718058213848073,-0.011155593996203472,False
1.7854233919664146,0.25608011894883587,True
-1.046110192919405,-0.03183244097484422,True
-0.21593043677745208,0.05427893172520688,False
-2.875826767510923,0.047359064894786224,False
-2.042332887431047,0.10897498777308738,False
0.33219767164772623,-0.058180339023168666,False
-0.17317508524994563,0.18679018820032273,False
-0.6667932069589111,-0.23885924845537881,True
3.197728046430381,0.1940330158526579,True
-2.1725768902733167,0.083037315793496,False
-0.6188837589568456,0.12903444615719514,False
-0.22061671218944687,0.06483506642634797,False
0.25827898556269113,0.13837955545574668,True
-0.16081232700472523,-0.09934947172195409,True
1.4284765997364728,0.12264124484464001,True
-2.735873275393789,0.04799040654666111,False
0.7035236604651897,0.1200081053244224,True
0.6475099397504662,0.008170867732442924,True
-2.83692329207315,0.030047636321175027,False
-1.3700970038176095,-0.21398380189942579,True
2.1794033707309235,0.13308397114809004,True
-2.364130409531336,0.16519277436819776,False
1.335145740570516,0.25419796047754134,True
0.3806855493571921,0.049565028663696095,True
-0.6234922193450527,0.0359568569084714,False
